Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score,GeneCards Link or Note,ensembl_gene_id
CCAR2,Cell Cycle And Apoptosis Regulator 2,Protein Coding,Q8N163,45,GC08P022604,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR2,ENSG00000158941
CCDC12,Coiled-Coil Domain Containing 12,Protein Coding,Q8WUD4,37,GC03M046954,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC12,ENSG00000160799
CCNL1,Cyclin L1,Protein Coding,Q9UK58,47,GC03M157146,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNL1,ENSG00000163660
CCNL2,Cyclin L2,Protein Coding,Q96S94,45,GC01M001385,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNL2,ENSG00000221978
CD2BP2,CD2 Cytoplasmic Tail Binding Protein 2,Protein Coding,O95400,41,GC16M030350,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2BP2,ENSG00000169217
CDC40,Cell Division Cycle 40,Protein Coding,O60508,46,GC06P110180,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC40,ENSG00000168438
CDC5L,Cell Division Cycle 5 Like,Protein Coding,Q99459,46,GC06P044387,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC5L,ENSG00000096401
CDH2,Cadherin 2,Protein Coding,P19022,60,GC18M034101,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2,ENSG00000170558
CDK11A,Cyclin Dependent Kinase 11A,Protein Coding,Q9UQ88,47,GC01M001702,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK11A,ENSG00000008128
CDK11B,Cyclin Dependent Kinase 11B,Protein Coding,P21127,48,GC01M014206,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK11B,ENSG00000248333
CDK12,Cyclin Dependent Kinase 12,Protein Coding,Q9NYV4,54,GC17P039461,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK12,ENSG00000167258
CDK13,Cyclin Dependent Kinase 13,Protein Coding,Q14004,52,GC07P039950,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK13,ENSG00000065883
CELF1,CUGBP Elav-Like Family Member 1,Protein Coding,Q92879,49,GC11M125009,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF1,ENSG00000149187
CELF2,CUGBP Elav-Like Family Member 2,Protein Coding,O95319,53,GC10P010462,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF2,ENSG00000048740
CELF3,CUGBP Elav-Like Family Member 3,Protein Coding,Q5SZQ8,43,GC01M151700,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF3,ENSG00000159409
CELF4,CUGBP Elav-Like Family Member 4,Protein Coding,Q9BZC1,48,GC18M037242,1.08573544,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF4,ENSG00000101489
CELF5,CUGBP Elav-Like Family Member 5,Protein Coding,Q8N6W0,45,GC19P003224,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF5,ENSG00000161082
CELF6,CUGBP Elav-Like Family Member 6,Protein Coding,Q96J87,38,GC15M148091,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF6,ENSG00000140488
CENATAC,Centrosomal AT-AC Splicing Factor,Protein Coding,Q86UT8,38,GC11P122200,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENATAC,ENSG00000280975
CENATAC,Centrosomal AT-AC Splicing Factor,Protein Coding,Q86UT8,38,GC11P122200,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENATAC,ENSG00000186166
CEP97,Centrosomal Protein 97,Protein Coding,Q8IW35,45,GC03P102055,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP97,ENSG00000182504
CHERP,Calcium Homeostasis Endoplasmic Reticulum Protein,Protein Coding,Q8IWX8,44,GC19M016517,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHERP,ENSG00000085872
CHL1,Cell Adhesion Molecule L1 Like,Protein Coding,O00533,51,GC03P000213,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHL1,ENSG00000134121
CIR1,"Corepressor Interacting With RBPJ, CIR1",Protein Coding,Q86X95,45,GC02M174348,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIR1,ENSG00000138433
CIRBP,Cold Inducible RNA Binding Protein,Protein Coding,Q14011,43,GC19P001259,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIRBP,ENSG00000099622
CLASP1,Cytoplasmic Linker Associated Protein 1,Protein Coding,Q7Z460,49,GC02M121337,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLASP1,ENSG00000074054
CLASRP,CLK4 Associating Serine/Arginine Rich Protein,Protein Coding,Q8N2M8,41,GC19P045039,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLASRP,ENSG00000104859
CLK1,CDC Like Kinase 1,Protein Coding,P49759,45,GC02M200853,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK1,ENSG00000013441
CLK2,CDC Like Kinase 2,Protein Coding,P49760,44,GC01M155262,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK2,ENSG00000261893
CLK2,CDC Like Kinase 2,Protein Coding,P49760,44,GC01M155262,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK2,ENSG00000176444
CLK3,CDC Like Kinase 3,Protein Coding,P49761,45,GC15P074598,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK3,ENSG00000179335
CLK4,CDC Like Kinase 4,Protein Coding,Q9HAZ1,47,GC05M178602,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK4,ENSG00000113240
CLNS1A,Chloride Nucleotide-Sensitive Channel 1A,Protein Coding,P54105,42,GC11M125839,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLNS1A,ENSG00000074201
CLP1,Cleavage Factor Polyribonucleotide Kinase Subunit 1,Protein Coding,Q92989,50,GC11P057648,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLP1,ENSG00000172409
CLSTN1,Calsyntenin 1,Protein Coding,O94985,47,GC01M014473,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLSTN1,ENSG00000171603
CRIPT,CXXC Repeat Containing Interactor Of PDZ3 Domain,Protein Coding,Q9P021,47,GC02P046616,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRIPT,ENSG00000119878
CRNKL1,Crooked Neck Pre-MRNA Splicing Factor 1,Protein Coding,Q9BZJ0,44,GC20M020034,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRNKL1,ENSG00000101343
CTNNBL1,Catenin Beta Like 1,Protein Coding,Q8WYA6,46,GC20P041015,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNBL1,ENSG00000132792
CWC15,CWC15 Spliceosome Associated Protein Homolog,Protein Coding,Q9P013,39,GC11M094962,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWC15,ENSG00000150316
CWC22,CWC22 Spliceosome Associated Protein Homolog,Protein Coding,Q9HCG8,39,GC02M179944,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWC22,ENSG00000163510
CWC25,CWC25 Spliceosome Associated Protein Homolog,Protein Coding,Q9NXE8,39,GC17M077497,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWC25,ENSG00000276761
CWC25,CWC25 Spliceosome Associated Protein Homolog,Protein Coding,Q9NXE8,39,GC17M077497,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWC25,ENSG00000273559
CWC27,CWC27 Spliceosome Associated Cyclophilin,Protein Coding,Q6UX04,47,GC05P064768,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWC27,ENSG00000153015
CWF19L1,CWF19 Like Cell Cycle Control Factor 1,Protein Coding,Q69YN2,44,GC10M100232,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWF19L1,ENSG00000095485
CWF19L2,CWF19 Like Cell Cycle Control Factor 2,Protein Coding,Q2TBE0,38,GC11M107326,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWF19L2,ENSG00000152404
DAB1,DAB Adaptor Protein 1,Protein Coding,O75553,52,GC01M056994,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB1,ENSG00000173406
DAZAP1,DAZ Associated Protein 1,Protein Coding,Q96EP5,46,GC19P001407,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAZAP1,ENSG00000071626
DBR1,Debranching RNA Lariats 1,Protein Coding,Q9UK59,44,GC03M138160,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBR1,ENSG00000138231
DCPS,"Decapping Enzyme, Scavenger",Protein Coding,Q96C86,48,GC11P126326,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCPS,ENSG00000110063
DDX1,DEAD-Box Helicase 1,Protein Coding,Q92499,53,GC02P015591,1.463359833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX1,ENSG00000079785
DDX17,DEAD-Box Helicase 17,Protein Coding,Q92841,50,GC22M038483,0.841007054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX17,ENSG00000100201
DDX20,DEAD-Box Helicase 20,Protein Coding,Q9UHI6,50,GC01P111758,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX20,ENSG00000064703
DDX23,DEAD-Box Helicase 23,Protein Coding,Q9BUQ8,48,GC12M048829,3.128165722,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX23,ENSG00000174243
DDX39A,DExD-Box Helicase 39A,Protein Coding,O00148,44,GC19M014408,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39A,ENSG00000123136
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000198563
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000237889
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000225859
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000235439
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000225073
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000229496
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000230624
DDX39B,DExD-Box Helicase 39B,Protein Coding,Q13838,50,GC06M031530,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B,ENSG00000215425
DDX41,DEAD-Box Helicase 41,Protein Coding,Q9UJV9,52,GC05M177511,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX41,ENSG00000183258
DDX42,DEAD-Box Helicase 42,Protein Coding,Q86XP3,41,GC17P063773,2.287158728,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX42,ENSG00000198231
DDX46,DEAD-Box Helicase 46,Protein Coding,Q7L014,43,GC05P134758,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX46,ENSG00000145833
DDX47,DEAD-Box Helicase 47,Protein Coding,Q9H0S4,44,GC12P039211,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX47,ENSG00000213782
DDX5,DEAD-Box Helicase 5,Protein Coding,P17844,54,GC17M064498,2.353935242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX5,ENSG00000108654
DHX15,DEAH-Box Helicase 15,Protein Coding,O43143,46,GC04M024519,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX15,ENSG00000109606
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000204560
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000227222
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000226171
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000233049
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000233561
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000231377
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000233418
DHX16,DEAH-Box Helicase 16,Protein Coding,O60231,50,GC06M030653,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX16,ENSG00000206486
DHX35,DEAH-Box Helicase 35,Protein Coding,Q9H5Z1,43,GC20P041149,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX35,ENSG00000101452
DHX38,DEAH-Box Helicase 38,Protein Coding,Q92620,50,GC16P083109,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX38,ENSG00000140829
DHX8,DEAH-Box Helicase 8,Protein Coding,Q14562,46,GC17P043483,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX8,ENSG00000067596
DHX9,DExH-Box Helicase 9,Protein Coding,Q08211,52,GC01P182839,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX9,ENSG00000135829
DNAJC8,DnaJ Heat Shock Protein Family (Hsp40) Member C8,Protein Coding,O75937,44,GC01M028199,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC8,ENSG00000126698
DYRK1A,Dual Specificity Tyrosine Phosphorylation Regulated Kinase 1A,Protein Coding,Q13627,59,GC21P037365,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1A,ENSG00000157540
ECD,Ecdysoneless Cell Cycle Regulator,Protein Coding,O95905,48,GC10M073130,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECD,ENSG00000122882
EFNA5,Ephrin A5,Protein Coding,P52803,52,GC05M107376,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFNA5,ENSG00000184349
EFTUD2,Elongation Factor Tu GTP Binding Domain Containing 2,Protein Coding,Q15029,50,GC17M077874,2.973838091,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFTUD2,ENSG00000108883
EIF1,Eukaryotic Translation Initiation Factor 1,Protein Coding,P41567,45,GC17P041688,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF1,ENSG00000173812
EIF4A3,Eukaryotic Translation Initiation Factor 4A3,Protein Coding,P38919,53,GC17M080237,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A3,ENSG00000291508
EIF4A3,Eukaryotic Translation Initiation Factor 4A3,Protein Coding,P38919,53,GC17M080237,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A3,ENSG00000141543
ELAVL4,ELAV Like RNA Binding Protein 4,Protein Coding,P26378,48,GC01P050098,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL4,ENSG00000162374
ENY2,ENY2 Transcription And Export Complex 2 Subunit,Protein Coding,Q9NPA8,41,GC08P109334,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENY2,ENSG00000120533
EPB41,Erythrocyte Membrane Protein Band 4.1,Protein Coding,P11171,54,GC01P028887,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41,ENSG00000159023
EPB41L1,Erythrocyte Membrane Protein Band 4.1 Like 1,Protein Coding,Q9H4G0,51,GC20P036091,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L1,ENSG00000088367
EPB41L2,Erythrocyte Membrane Protein Band 4.1 Like 2,Protein Coding,O43491,46,GC06M130820,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L2,ENSG00000079819
EPB41L3,Erythrocyte Membrane Protein Band 4.1 Like 3,Protein Coding,Q9Y2J2,50,GC18M005392,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L3,ENSG00000082397
ERN1,Endoplasmic Reticulum To Nucleus Signaling 1,Protein Coding,O75460,56,GC17M064039,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERN1,ENSG00000178607
ESRP1,Epithelial Splicing Regulatory Protein 1,Protein Coding,Q6NXG1,45,GC08P094641,1.664483547,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRP1,ENSG00000104413
ESRP2,Epithelial Splicing Regulatory Protein 2,Protein Coding,Q9H6T0,44,GC16M068229,1.818811178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRP2,ENSG00000103067
ESS2,Ess-2 Splicing Factor Homolog,Protein Coding,Q96DF8,46,GC22M019130,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESS2,ENSG00000100056
EXOSC10,Exosome Component 10,Protein Coding,Q01780,47,GC01M014495,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC10,ENSG00000171824
FAM32A,Family With Sequence Similarity 32 Member A,Protein Coding,Q9Y421,37,GC19P112588,1.382823944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM32A,ENSG00000105058
FAM50A,Family With Sequence Similarity 50 Member A,Protein Coding,Q14320,47,GC0XP154738,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM50A,ENSG00000071859
FAM98A,Family With Sequence Similarity 98 Member A,Protein Coding,Q8NCA5,37,GC02M033532,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM98A,ENSG00000119812
FAM98B,Family With Sequence Similarity 98 Member B,Protein Coding,Q52LJ0,41,GC15P038454,1.463359833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM98B,ENSG00000171262
FASTK,Fas Activated Serine/Threonine Kinase,Protein Coding,Q14296,43,GC07M151077,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASTK,ENSG00000164896
FMR1,Fragile X Messenger Ribonucleoprotein 1,Protein Coding,Q06787,53,GC0XP148000,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMR1,ENSG00000102081
FRA10AC1,FRA10A Associated CGG Repeat 1,Protein Coding,Q70Z53,43,GC10M093667,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRA10AC1,ENSG00000148690
FRG1,FSHD Region Gene 1,Protein Coding,Q14331,50,GC04P189940,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRG1,ENSG00000283153
FRG1,FSHD Region Gene 1,Protein Coding,Q14331,50,GC04P189940,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRG1,ENSG00000283630
FRG1,FSHD Region Gene 1,Protein Coding,Q14331,50,GC04P189940,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRG1,ENSG00000275145
FRG1,FSHD Region Gene 1,Protein Coding,Q14331,50,GC04P189940,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRG1,ENSG00000109536
FUS,FUS RNA Binding Protein,Protein Coding,P35637,54,GC16P031180,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUS,ENSG00000089280
FXR1,FMR1 Autosomal Homolog 1,Protein Coding,P51114,53,GC03P180868,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXR1,ENSG00000114416
FXR2,FMR1 Autosomal Homolog 2,Protein Coding,P51116,48,GC17M074874,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXR2,ENSG00000129245
