gene_id	gene_name
ENSG00000076826	CAMSAP3
ENSG00000077254	USP33
ENSG00000077549	CAPZB
ENSG00000077585	GPR137B
ENSG00000077684	JADE1
ENSG00000078053	AMPH
ENSG00000078070	MCCC1
ENSG00000078269	SYNJ2
ENSG00000078304	PPP2R5C
ENSG00000078328	RBFOX1
ENSG00000078403	MLLT10
ENSG00000079101	CLUL1
ENSG00000079134	THOC1
ENSG00000079246	XRCC5
ENSG00000079459	FDFT1
ENSG00000079819	EPB41L2
ENSG00000080546	SESN1
ENSG00000080845	DLGAP4
ENSG00000081059	TCF7
ENSG00000081087	OSTM1
ENSG00000081138	CDH7
ENSG00000082014	SMARCD3
ENSG00000082397	EPB41L3
ENSG00000082515	MRPL22
ENSG00000083067	TRPM3
ENSG00000083312	TNPO1
ENSG00000083807	SLC27A5
ENSG00000084676	NCOA1
ENSG00000085491	SLC25A24
ENSG00000085832	EPS15
ENSG00000085871	MGST2
ENSG00000086619	ERO1B
ENSG00000087053	MTMR2
ENSG00000087258	GNAO1
ENSG00000087266	SH3BP2
ENSG00000087274	ADD1
ENSG00000087884	AAMDC
ENSG00000088179	PTPN4
ENSG00000088205	DDX18
ENSG00000089006	SNX5
ENSG00000089053	ANAPC5
ENSG00000089057	SLC23A2
ENSG00000089248	ERP29
ENSG00000089356	FXYD3
ENSG00000089486	CDIP1
ENSG00000090006	LTBP4
ENSG00000090020	SLC9A1
ENSG00000090054	SPTLC1
ENSG00000090060	PAPOLA
ENSG00000090097	PCBP4
ENSG00000091164	TXNL1
ENSG00000091651	ORC6
ENSG00000091656	ZFHX4
ENSG00000092094	OSGEP
ENSG00000092199	HNRNPC
ENSG00000092531	SNAP23
ENSG00000092820	EZR
ENSG00000092841	MYL6
ENSG00000092964	DPYSL2
ENSG00000094880	CDC23
ENSG00000095203	EPB41L4B
ENSG00000095261	PSMD5
ENSG00000095906	NUBP2
ENSG00000096063	SRPK1
ENSG00000099330	OCEL1
ENSG00000099385	BCL7C
ENSG00000099622	CIRBP
ENSG00000099785	MARCHF2
ENSG00000099864	PALM
ENSG00000100106	TRIOBP
ENSG00000100124	ANKRD54
ENSG00000100142	POLR2F
ENSG00000100207	TCF20
ENSG00000100219	XBP1
ENSG00000100221	JOSD1
ENSG00000100225	FBXO7
ENSG00000100321	SYNGR1
ENSG00000100354	TNRC6B
ENSG00000100359	SGSM3
ENSG00000100413	POLR3H
ENSG00000100519	PSMC6
ENSG00000100612	DHRS7
ENSG00000100644	HIF1A
ENSG00000100650	SRSF5
ENSG00000100722	ZC3H14
ENSG00000100749	VRK1
ENSG00000100796	PPP4R3A
ENSG00000100813	ACIN1
ENSG00000100883	SRP54
ENSG00000100934	SEC23A
ENSG00000100979	PLTP
ENSG00000101004	NINL
ENSG00000101150	TPD52L2
ENSG00000101210	EEF1A2
ENSG00000101224	CDC25B
ENSG00000101294	HM13
ENSG00000101489	CELF4
ENSG00000101654	RNMT
ENSG00000101844	ATG4A
ENSG00000101849	TBL1X
ENSG00000102054	RBBP7
ENSG00000102119	EMD
ENSG00000102225	CDK16
ENSG00000102226	USP11
ENSG00000102230	PCYT1B
ENSG00000102606	ARHGEF7
ENSG00000102786	INTS6
ENSG00000102805	CLN5
ENSG00000102897	LYRM1
ENSG00000102901	CENPT
ENSG00000102974	CTCF
ENSG00000103245	CIAO3
ENSG00000103274	NUBP1
ENSG00000103423	DNAJA3
ENSG00000103942	HOMER2
ENSG00000103994	ZNF106
ENSG00000104064	GABPB1
ENSG00000104237	RP1
ENSG00000104327	CALB1
ENSG00000104529	EEF1D
ENSG00000104691	UBXN8
ENSG00000104728	ARHGEF10
ENSG00000104888	SLC17A7
ENSG00000104957	YJU2B
ENSG00000104980	TIMM44
ENSG00000105088	OLFM2
ENSG00000105176	URI1
ENSG00000105185	PDCD5
ENSG00000105329	TGFB1
ENSG00000105379	ETFB
ENSG00000105409	ATP1A3
ENSG00000105705	SUGP1
ENSG00000105792	CFAP69
ENSG00000105808	RASA4
ENSG00000105835	NAMPT
ENSG00000105953	OGDH
ENSG00000106009	BRAT1
ENSG00000106012	IQCE
ENSG00000106052	TAX1BP1
ENSG00000106069	CHN2
ENSG00000106070	GRB10
ENSG00000106089	STX1A
ENSG00000106105	GARS1
ENSG00000106125	MINDY4
ENSG00000106211	HSPB1
ENSG00000106245	BUD31
ENSG00000106305	AIMP2
ENSG00000106462	EZH2
ENSG00000106477	CEP41
ENSG00000106617	PRKAG2
ENSG00000106633	GCK
ENSG00000106683	LIMK1
ENSG00000107105	ELAVL2
ENSG00000107164	FUBP3
ENSG00000107262	BAG1
ENSG00000107282	APBA1
ENSG00000107554	DNMBP
ENSG00000107643	MAPK8
ENSG00000107736	CDH23
ENSG00000107864	CPEB3
ENSG00000107902	LHPP
ENSG00000108061	SHOC2
ENSG00000108094	CUL2
ENSG00000108370	RGS9
ENSG00000108433	GOSR2
ENSG00000108641	B9D1
ENSG00000108654	DDX5
ENSG00000108671	PSMD11
ENSG00000108852	MPP2
ENSG00000108946	PRKAR1A
ENSG00000109180	OCIAD1
ENSG00000109184	DCUN1D4
ENSG00000109332	UBE2D3
ENSG00000109381	ELF2
ENSG00000109475	RPL34
ENSG00000109534	GAR1
ENSG00000109572	CLCN3
ENSG00000109756	RAPGEF2
ENSG00000109775	UFSP2
ENSG00000109911	ELP4
ENSG00000109944	JHY
ENSG00000109971	HSPA8
ENSG00000110172	CHORDC1
ENSG00000110436	SLC1A2
ENSG00000110536	PTPMT1
ENSG00000110811	P3H3
ENSG00000111058	ACSS3
ENSG00000111224	PARP11
ENSG00000111328	CDK2AP1
ENSG00000111445	RFC5
ENSG00000111490	TBC1D30
ENSG00000111652	COPS7A
ENSG00000111666	CHPT1
ENSG00000111678	C12orf57
ENSG00000111790	FGFR1OP2
ENSG00000111860	CEP85L
ENSG00000112029	FBXO5
ENSG00000112033	PPARD
ENSG00000112242	E2F3
ENSG00000112282	MED23
ENSG00000112514	CUTA
ENSG00000112695	COX7A2
ENSG00000112701	SENP6
ENSG00000112877	CEP72
ENSG00000113108	APBB3
ENSG00000113231	PDE8B
ENSG00000113240	CLK4
ENSG00000113269	RNF130
ENSG00000113282	CLINT1
ENSG00000113312	TTC1
ENSG00000113448	PDE4D
ENSG00000113575	PPP2CA
ENSG00000113643	RARS1
ENSG00000113648	MACROH2A1
ENSG00000113657	DPYSL3
ENSG00000113810	SMC4
ENSG00000114098	ARMC8
ENSG00000114115	RBP1
ENSG00000114127	XRN1
ENSG00000114209	PDCD10
ENSG00000114331	ACAP2
ENSG00000114503	NCBP2
ENSG00000114541	FRMD4B
ENSG00000114861	FOXP1
ENSG00000114867	EIF4G1
ENSG00000114956	DGUOK
ENSG00000115159	GPD2
ENSG00000115216	NRBP1
ENSG00000115255	REEP6
ENSG00000115310	RTN4
ENSG00000115380	EFEMP1
ENSG00000115415	STAT1
ENSG00000115504	EHBP1
ENSG00000115524	SF3B1
ENSG00000115760	BIRC6
ENSG00000115977	AAK1
ENSG00000116044	NFE2L2
ENSG00000116141	MARK1
ENSG00000116151	MORN1
ENSG00000116237	ICMT
ENSG00000116288	PARK7
ENSG00000116478	HDAC1
ENSG00000116560	SFPQ
ENSG00000116670	MAD2L2
ENSG00000116793	PHTF1
ENSG00000117500	TMED5
ENSG00000117593	DARS2
ENSG00000117620	SLC35A3
ENSG00000117632	STMN1
ENSG00000117643	MAN1C1
ENSG00000117859	OSBPL9
ENSG00000118096	IFT46
ENSG00000118263	KLF7
ENSG00000118298	CA14
ENSG00000118473	SGIP1
ENSG00000118515	SGK1
ENSG00000118705	RPN2
ENSG00000118733	OLFM3
ENSG00000119147	ECRG4
ENSG00000119699	TGFB3
ENSG00000119720	NRDE2
ENSG00000119725	ZNF410
ENSG00000119772	DNMT3A
ENSG00000119969	HELLS
ENSG00000120008	WDR11
ENSG00000120071	KANSL1
ENSG00000120278	PLEKHG1
ENSG00000120334	CENPL
ENSG00000120458	MSANTD2
ENSG00000120756	PLS1
ENSG00000120948	TARDBP
ENSG00000121390	PSPC1
ENSG00000121542	SEC22A
ENSG00000121775	TMEM39B
ENSG00000121931	LRIF1
ENSG00000122033	MTIF3
ENSG00000122218	COPA
ENSG00000122512	PMS2
ENSG00000122566	HNRNPA2B1
ENSG00000122674	CCZ1
ENSG00000122705	CLTA
ENSG00000122786	CALD1
ENSG00000122958	VPS26A
ENSG00000123136	DDX39A
ENSG00000123411	IKZF4
ENSG00000123415	SMUG1
ENSG00000123607	TTC21B
ENSG00000124140	SLC12A5
ENSG00000124177	CHD6
ENSG00000124214	STAU1
ENSG00000124406	ATP8A1
ENSG00000124570	SERPINB6
ENSG00000124588	NQO2
ENSG00000124831	LRRFIP1
ENSG00000125246	CLYBL
ENSG00000125347	IRF1
ENSG00000125351	UPF3B
ENSG00000125354	SEPTIN6
ENSG00000125375	DMAC2L
ENSG00000125450	NUP85
ENSG00000125746	EML2
ENSG00000125877	ITPA
ENSG00000125898	FAM110A
ENSG00000125952	MAX
ENSG00000125971	DYNLRB1
ENSG00000125991	ERGIC3
ENSG00000126001	CEP250
ENSG00000126226	PCID2
ENSG00000126522	ASL
ENSG00000126790	L3HYPDH
ENSG00000127124	HIVEP3
ENSG00000127249	ATP13A4
ENSG00000127419	TMEM175
ENSG00000127616	SMARCA4
ENSG00000127774	EMC6
ENSG00000127804	METTL16
ENSG00000127914	AKAP9
ENSG00000127955	GNAI1
ENSG00000128272	ATF4
ENSG00000128513	POT1
ENSG00000128536	CDHR3
ENSG00000128585	MKLN1
ENSG00000128699	ORMDL1
ENSG00000128951	DUT
ENSG00000128965	CHAC1
ENSG00000129197	RPAIN
ENSG00000129235	TXNDC17
ENSG00000129422	MTUS1
ENSG00000129474	AJUBA
ENSG00000129521	EGLN3
ENSG00000129682	FGF13
ENSG00000129691	ASH2L
ENSG00000130164	LDLR
ENSG00000130202	NECTIN2
ENSG00000130204	TOMM40
ENSG00000130396	AFDN
ENSG00000130402	ACTN4
ENSG00000130511	SSBP4
ENSG00000130787	HIP1R
ENSG00000130844	ZNF331
ENSG00000130876	SLC7A10
ENSG00000131018	SYNE1
ENSG00000131051	RBM39
ENSG00000131149	GSE1
ENSG00000131165	CHMP1A
ENSG00000131446	MGAT1
ENSG00000131748	STARD3
ENSG00000131788	PIAS3
ENSG00000132463	GRSF1
ENSG00000132466	ANKRD17
ENSG00000132507	EIF5A
ENSG00000132535	DLG4
ENSG00000132773	TOE1
ENSG00000132906	CASP9
ENSG00000132938	MTUS2
ENSG00000132963	POMP
ENSG00000133069	TMCC2
ENSG00000133083	DCLK1
ENSG00000133112	TPT1
ENSG00000133134	BEX2
ENSG00000133138	TBC1D8B
ENSG00000133401	PDZD2
ENSG00000133466	C1QTNF6
ENSG00000133606	MKRN1
ENSG00000133612	AGAP3
ENSG00000133657	ATP13A3
ENSG00000133773	CCDC59
ENSG00000133789	SWAP70
ENSG00000133872	SARAF
ENSG00000134013	LOXL2
ENSG00000134030	CTIF
ENSG00000134245	WNT2B
ENSG00000134255	CEPT1
ENSG00000134285	FKBP11
ENSG00000134324	LPIN1
ENSG00000134369	NAV1
ENSG00000134490	TMEM241
ENSG00000134508	CABLES1
ENSG00000134569	LRP4
ENSG00000134853	PDGFRA
ENSG00000135164	DMTF1
ENSG00000135250	SRPK2
ENSG00000135316	SYNCRIP
ENSG00000135333	EPHA7
ENSG00000135439	AGAP2
ENSG00000135486	HNRNPA1
ENSG00000135525	MAP7
ENSG00000135677	GNS
ENSG00000135749	PCNX2
ENSG00000135924	DNAJB2
ENSG00000135953	MFSD9
ENSG00000135976	ANKRD36
ENSG00000136010	ALDH1L2
ENSG00000136237	RAPGEF5
ENSG00000136243	NUP42
ENSG00000136261	BZW2
ENSG00000136450	SRSF1
ENSG00000136463	TACO1
ENSG00000136527	TRA2B
ENSG00000136682	ZNG1B
ENSG00000136709	WDR33
ENSG00000136717	BIN1
ENSG00000136731	UGGT1
ENSG00000136877	FPGS
ENSG00000136891	TEX10
ENSG00000137094	DNAJB5
ENSG00000137210	TMEM14B
ENSG00000137343	ATAT1
ENSG00000137500	CCDC90B
ENSG00000137502	RAB30
ENSG00000137575	SDCBP
ENSG00000137817	PARP6
ENSG00000137872	SEMA6D
ENSG00000137936	BCAR3
ENSG00000137941	TTLL7
ENSG00000137942	FNBP1L
ENSG00000138029	HADHB
ENSG00000138079	SLC3A1
ENSG00000138162	TACC2
ENSG00000138382	METTL5
ENSG00000138399	FASTKD1
ENSG00000138434	ITPRID2
ENSG00000138443	ABI2
ENSG00000138448	ITGAV
ENSG00000138663	COPS4
ENSG00000138668	HNRNPD
ENSG00000138686	BBS7
ENSG00000138688	BLTP1
ENSG00000138757	G3BP2
ENSG00000138777	PPA2
ENSG00000138834	MAPK8IP3
ENSG00000139116	KIF21A
ENSG00000139219	COL2A1
ENSG00000139220	PPFIA2
ENSG00000139436	GIT2
ENSG00000139624	CERS5
ENSG00000139668	WDFY2
ENSG00000139737	SLAIN1
ENSG00000139842	CUL4A
ENSG00000139890	REM2
ENSG00000139970	RTN1
ENSG00000140199	SLC12A6
ENSG00000140262	TCF12
ENSG00000140299	BNIP2
ENSG00000140332	TLE3
ENSG00000140395	SKIC8
ENSG00000140416	TPM1
ENSG00000140525	FANCI
ENSG00000140575	IQGAP1
ENSG00000141026	MED9
ENSG00000141068	KSR1
ENSG00000141298	SSH2
ENSG00000141378	PTRH2
ENSG00000141428	C18orf21
ENSG00000141447	OSBPL1A
ENSG00000141449	GREB1L
ENSG00000141551	CSNK1D
ENSG00000141562	NARF
ENSG00000141622	ARK2C
ENSG00000141627	DYM
ENSG00000141736	ERBB2
ENSG00000142192	APP
ENSG00000142444	TIMM29
ENSG00000142875	PRKACB
ENSG00000143153	ATP1B1
ENSG00000143164	DCAF6
ENSG00000143179	UCK2
ENSG00000143190	POU2F1
ENSG00000143207	COP1
ENSG00000143228	NUF2
ENSG00000143248	RGS5
ENSG00000143320	CRABP2
ENSG00000143376	SNX27
ENSG00000143384	MCL1
ENSG00000143515	ATP8B2
ENSG00000143612	C1orf43
ENSG00000143621	ILF2
ENSG00000143630	HCN3
ENSG00000143669	LYST
ENSG00000143774	GUK1
ENSG00000143776	CDC42BPA
ENSG00000143786	CNIH3
ENSG00000143793	C1orf35
ENSG00000143850	PLEKHA6
ENSG00000143889	HNRNPLL
ENSG00000143995	MEIS1
ENSG00000144029	MRPS5
ENSG00000144040	SFXN5
ENSG00000144381	HSPD1
ENSG00000144395	CCDC150
ENSG00000144455	SUMF1
ENSG00000144560	VGLL4
ENSG00000144645	OSBPL10
ENSG00000144711	IQSEC1
ENSG00000144744	UBA3
ENSG00000145012	LPP
ENSG00000145216	FIP1L1
ENSG00000145439	CBR4
ENSG00000145495	MARCHF6
ENSG00000145555	MYO10
ENSG00000145687	SSBP2
ENSG00000145736	GTF2H2
ENSG00000146063	TRIM41
ENSG00000146112	PPP1R18
ENSG00000146416	AIG1
ENSG00000146433	TMEM181
ENSG00000146540	C7orf50
ENSG00000146648	EGFR
ENSG00000146670	CDCA5
ENSG00000146950	SHROOM2
ENSG00000146963	LUC7L2
ENSG00000147050	KDM6A
ENSG00000147144	CCDC120
ENSG00000147255	IGSF1
ENSG00000147274	RBMX
ENSG00000147403	RPL10
ENSG00000147535	PLPP5
ENSG00000147548	NSD3
ENSG00000147642	SYBU
ENSG00000147650	LRP12
ENSG00000147789	ZNF7
ENSG00000148057	IDNK
ENSG00000148120	AOPEP
ENSG00000148297	MED22
ENSG00000148341	SH3GLB2
ENSG00000148396	SEC16A
ENSG00000148541	FAM13C
ENSG00000148835	TAF5
ENSG00000148841	ITPRIP
ENSG00000149089	APIP
ENSG00000149196	HIKESHI
ENSG00000149231	CCDC82
ENSG00000149269	PAK1
ENSG00000149483	TMEM138
ENSG00000149527	PLCH2
ENSG00000149591	TAGLN
ENSG00000149600	COMMD7
ENSG00000149646	CNBD2
ENSG00000149716	LTO1
ENSG00000149761	NUDT22
ENSG00000149930	TAOK2
ENSG00000150093	ITGB1
ENSG00000150510	FAM124A
ENSG00000150722	PPP1R1C
ENSG00000150764	DIXDC1
ENSG00000150779	TIMM8B
ENSG00000151065	DCP1B
ENSG00000151092	NGLY1
ENSG00000151135	TMEM263
ENSG00000151150	ANK3
ENSG00000151239	TWF1
ENSG00000151276	MAGI1
ENSG00000151322	NPAS3
ENSG00000151413	NUBPL
ENSG00000151532	VTI1A
ENSG00000151665	PIGF
ENSG00000151773	CCDC122
ENSG00000151789	ZNF385D
ENSG00000151834	GABRA2
ENSG00000151923	TIAL1
ENSG00000152061	RABGAP1L
ENSG00000152284	TCF7L1
ENSG00000152492	CCDC50
ENSG00000152795	HNRNPDL
ENSG00000152977	ZIC1
ENSG00000153037	SRP19
ENSG00000153048	CARHSP1
ENSG00000153113	CAST
ENSG00000153187	HNRNPU
ENSG00000153201	RANBP2
ENSG00000153250	RBMS1
ENSG00000153317	ASAP1
ENSG00000153404	PLEKHG4B
ENSG00000153487	ING1
ENSG00000153560	UBP1
ENSG00000153707	PTPRD
ENSG00000153827	TRIP12
ENSG00000153896	ZNF599
ENSG00000153914	SREK1
ENSG00000153956	CACNA2D1
ENSG00000154102	C16orf74
ENSG00000154305	MIA3
ENSG00000154330	PGM5
ENSG00000154518	ATP5MC3
ENSG00000154556	SORBS2
ENSG00000155085	AK9
ENSG00000155366	RHOC
ENSG00000155463	OXA1L
ENSG00000155957	TMBIM4
ENSG00000156206	CFAP161
ENSG00000156299	TIAM1
ENSG00000156313	RPGR
ENSG00000156381	ANKRD9
ENSG00000156453	PCDH1
ENSG00000156599	ZDHHC5
ENSG00000156642	NPTN
ENSG00000156976	EIF4A2
ENSG00000157045	NTAN1
ENSG00000157077	ZFYVE9
ENSG00000157106	SMG1
ENSG00000157168	NRG1
ENSG00000157191	NECAP2
ENSG00000157450	RNF111
ENSG00000157456	CCNB2
ENSG00000157540	DYRK1A
ENSG00000157657	ZNF618
ENSG00000157764	BRAF
ENSG00000157800	SLC37A3
ENSG00000157827	FMNL2
ENSG00000157985	AGAP1
ENSG00000158023	CFAP251
ENSG00000158201	ABHD3
ENSG00000158234	FAIM
ENSG00000158286	RNF207
ENSG00000158321	AUTS2
ENSG00000158615	PPP1R15B
ENSG00000158691	ZSCAN12
ENSG00000158805	ZNF276
ENSG00000158856	DMTN
ENSG00000158966	CACHD1
ENSG00000158987	RAPGEF6
ENSG00000159079	CFAP298
ENSG00000159147	DONSON
ENSG00000159210	SNF8
ENSG00000159433	STARD9
ENSG00000159593	NAE1
ENSG00000159658	EFCAB14
ENSG00000159842	ABR
ENSG00000160202	CRYAA
ENSG00000160218	TRAPPC10
ENSG00000160221	GATD3
ENSG00000160226	CFAP410
ENSG00000160298	C21orf58
ENSG00000160584	SIK3
ENSG00000160688	FLAD1
ENSG00000160783	PMF1
ENSG00000160961	ZNF333
ENSG00000161011	SQSTM1
ENSG00000161203	AP2M1
ENSG00000161298	ZNF382
ENSG00000161558	TMEM143
ENSG00000161642	ZNF385A
ENSG00000161939	RNASEK-C17orf49
ENSG00000161999	JMJD8
ENSG00000162139	NEU3
ENSG00000162144	CYB561A3
ENSG00000162174	ASRGL1
ENSG00000162607	USP1
ENSG00000162664	ZNF326
ENSG00000163110	PDLIM5
ENSG00000163291	PAQR3
ENSG00000163382	NAXE
ENSG00000163607	GTPBP8
ENSG00000163618	CADPS
ENSG00000163686	ABHD6
ENSG00000163689	CFAP20DC
ENSG00000163738	MTHFD2L
ENSG00000163755	HPS3
ENSG00000163875	MEAF6
ENSG00000163930	BAP1
ENSG00000163945	UVSSA
ENSG00000163947	ARHGEF3
ENSG00000163995	ABLIM2
ENSG00000164032	H2AZ1
ENSG00000164051	CCDC51
ENSG00000164054	SHISA5
ENSG00000164088	PPM1M
ENSG00000164104	HMGB2
ENSG00000164134	NAA15
ENSG00000164305	CASP3
ENSG00000164402	SEPTIN8
ENSG00000164506	STXBP5
ENSG00000164548	TRA2A
ENSG00000164733	CTSB
ENSG00000164828	SUN1
ENSG00000164830	OXR1
ENSG00000164889	SLC4A2
ENSG00000164975	SNAPC3
ENSG00000164985	PSIP1
ENSG00000165156	ZHX1
ENSG00000165181	SHOC1
ENSG00000165209	STRBP
ENSG00000165219	GAPVD1
ENSG00000165238	WNK2
ENSG00000165338	HECTD2
ENSG00000165671	NSD1
ENSG00000165792	METTL17
ENSG00000165801	ARHGEF40
ENSG00000165819	METTL3
ENSG00000165821	SALL2
ENSG00000165868	HSPA12A
ENSG00000165915	SLC39A13
ENSG00000166037	CEP57
ENSG00000166130	IKBIP
ENSG00000166140	ZFYVE19
ENSG00000166272	WBP1L
ENSG00000166295	ANAPC16
ENSG00000166402	TUB
ENSG00000166436	TRIM66
ENSG00000166508	MCM7
ENSG00000166598	HSP90B1
ENSG00000166704	ZNF606
ENSG00000166793	YPEL4
ENSG00000166794	PPIB
ENSG00000166833	NAV2
ENSG00000166900	STX3
ENSG00000166925	TSC22D4
ENSG00000166949	SMAD3
ENSG00000166963	MAP1A
ENSG00000167004	PDIA3
ENSG00000167186	COQ7
ENSG00000167220	HDHD2
ENSG00000167232	ZNF91
ENSG00000167244	IGF2
ENSG00000167272	POP5
ENSG00000167553	TUBA1C
ENSG00000167614	TTYH1
ENSG00000167641	PPP1R14A
ENSG00000167699	GLOD4
ENSG00000167842	MIS12
ENSG00000167912	TOX-DT
ENSG00000168000	BSCL2
ENSG00000168003	SLC3A2
ENSG00000168066	SF1
ENSG00000168077	SCARA3
ENSG00000168209	DDIT4
ENSG00000168291	PDHB
ENSG00000168385	SEPTIN2
ENSG00000168393	DTYMK
ENSG00000168488	ATXN2L
ENSG00000168944	CEP120
ENSG00000169045	HNRNPH1
ENSG00000169057	MECP2
ENSG00000169490	TM2D2
ENSG00000169756	LIMS1
ENSG00000169764	UGP2
ENSG00000169851	PCDH7
ENSG00000169862	CTNND2
ENSG00000169992	NLGN2
ENSG00000170004	CHD3
ENSG00000170035	UBE2E3
ENSG00000170271	FAXDC2
ENSG00000170473	PYM1
ENSG00000170893	TRH
ENSG00000170917	NUDT6
ENSG00000170949	ZNF160
ENSG00000171163	ZNF692
ENSG00000171307	ZDHHC16
ENSG00000171533	MAP6
ENSG00000171552	BCL2L1
ENSG00000171680	PLEKHG5
ENSG00000171735	CAMTA1
ENSG00000171824	EXOSC10
ENSG00000171853	TRAPPC12
ENSG00000171862	PTEN
ENSG00000171877	FRMD5
ENSG00000171953	ATPAF2
ENSG00000172071	EIF2AK3
ENSG00000172270	BSG
ENSG00000172340	SUCLG2
ENSG00000172687	ZNF738
ENSG00000172771	EFCAB12
ENSG00000172785	ZNG1A
ENSG00000172922	RNASEH2C
ENSG00000172965	MIR4435-2HG
ENSG00000173120	KDM2A
ENSG00000173171	MTX1
ENSG00000173275	ZNF449
ENSG00000173320	STOX2
ENSG00000173327	MAP3K11
ENSG00000173581	CCDC106
ENSG00000173588	CEP83
ENSG00000173611	SCAI
ENSG00000173715	C11orf80
ENSG00000173818	ENDOV
ENSG00000173889	PHC3
ENSG00000173890	GPR160
ENSG00000173894	CBX2
ENSG00000173933	RBM4
ENSG00000173960	UBXN2A
ENSG00000174437	ATP2A2
ENSG00000174442	ZWILCH
ENSG00000174469	CNTNAP2
ENSG00000174501	ANKRD36C
ENSG00000174606	ANGEL2
ENSG00000174652	ZNF266
ENSG00000174796	THAP6
ENSG00000174827	PDZK1
ENSG00000175029	CTBP2
ENSG00000175110	MRPS22
ENSG00000175161	CADM2
ENSG00000175182	FAM131A
ENSG00000175183	CSRP2
ENSG00000175309	PHYKPL
ENSG00000175387	SMAD2
ENSG00000175416	CLTB
ENSG00000175544	CABP4
ENSG00000175582	RAB6A
ENSG00000175611	ERCC6L2-AS1
ENSG00000175634	RPS6KB2
ENSG00000175899	A2M
ENSG00000176102	CSTF3
ENSG00000176105	YES1
ENSG00000176124	DLEU1
ENSG00000176406	RIMS2
ENSG00000176485	PLAAT3
ENSG00000176623	RMDN1
ENSG00000176731	RBIS
ENSG00000176732	PFN4
ENSG00000177054	ZDHHC13
ENSG00000177182	CLVS1
ENSG00000177311	ZBTB38
ENSG00000177380	PPFIA3
ENSG00000177463	NR2C2
ENSG00000177565	TBL1XR1
ENSG00000177674	AGTRAP
ENSG00000177853	ZNF518A
ENSG00000177917	ARL6IP6
ENSG00000178028	DMAP1
ENSG00000178104	PDE4DIP
ENSG00000178342	KCNG2
ENSG00000178449	COX14
