gene_id	start	end	n_variants
ENSG00000130764.10	3778559	3796498	57
ENSG00000116198.14	3812086	3857396	194
ENSG00000169598.17	3857267	3885429	66
ENSG00000198912.12	3889125	3900293	8
ENSG00000196581.11	4654609	4792534	239
ENSG00000131697.18	5862811	5992473	124
ENSG00000069424.16	5990927	6101193	120
ENSG00000116254.18	6101787	6180321	51
ENSG00000285629.1	6159430	6197757	9
ENSG00000116251.11	6185020	6209389	7
ENSG00000158286.13	6205475	6221299	10
ENSG00000116237.16	6221193	6235972	27
ENSG00000173673.9	6244179	6245578	3
ENSG00000158292.7	6247353	6261098	35
ENSG00000097021.21	6264269	6393767	154
ENSG00000069812.11	6412418	6424670	18
ENSG00000187017.18	6424776	6461367	24
ENSG00000215788.11	6460786	6466175	4
ENSG00000171680.23	6467122	6520074	53
ENSG00000162408.11	6521347	6554513	102
ENSG00000173662.21	6555307	6579755	38
ENSG00000204859.13	6579994	6589280	2
ENSG00000162413.17	6590724	6614607	22
ENSG00000116273.6	6613731	6624030	11
ENSG00000041988.16	6624868	6635586	17
ENSG00000007923.17	6634168	6701924	59
ENSG00000171735.21	6785454	7769706	1325
ENSG00000049245.13	7771296	7781432	19
ENSG00000049246.15	7784291	7845177	96
ENSG00000049247.14	7843083	7853512	23
ENSG00000049249.10	7915871	7943165	21
ENSG00000116288.13	7954291	7985505	40
ENSG00000116285.13	8004404	8026309	22
ENSG00000162426.16	8318114	8344167	59
ENSG00000142599.20	8352397	8848921	488
ENSG00000074800.16	8861000	8879190	32
ENSG00000131686.15	8945867	8975092	74
ENSG00000197241.4	9002973	9026423	22
ENSG00000142583.18	9035106	9088478	63
ENSG00000180758.12	9100305	9129102	43
ENSG00000049239.13	9234774	9271337	37
ENSG00000171621.14	9292894	9369532	159
ENSG00000171612.7	9539465	9585173	15
ENSG00000188807.13	9588911	9614877	19
ENSG00000171608.18	9629889	9729114	49
ENSG00000171603.18	9728926	9823984	55
ENSG00000178585.15	9848276	9910336	11
ENSG00000162441.12	9922113	9943407	26
ENSG00000173614.14	9943428	9985501	59
ENSG00000162444.12	9997206	10016021	28
ENSG00000130939.20	10032832	10181239	95
ENSG00000054523.20	10210570	10381603	263
ENSG00000142657.21	10398592	10420511	42
ENSG00000251503.8	10430102	10452153	61
ENSG00000175279.22	10430433	10442808	39
ENSG00000241563.4	10450031	10451998	5
ENSG00000160049.12	10456522	10472529	21
ENSG00000142655.13	10472288	10630758	306
ENSG00000130940.15	10636604	10796650	158
ENSG00000175262.15	10946471	10982076	10
ENSG00000120948.19	11012344	11030528	33
ENSG00000009724.18	11022009	11047239	51
ENSG00000116649.10	11054584	11060020	3
ENSG00000171824.14	11066618	11099869	43
ENSG00000198793.14	11106535	11262556	135
ENSG00000171819.5	11189355	11195981	4
ENSG00000120942.14	11273198	11296049	3
ENSG00000204624.8	11479155	11537551	65
ENSG00000116661.11	11637018	11655785	34
ENSG00000132879.14	11654375	11663327	14
ENSG00000116670.16	11658918	11691811	68
ENSG00000116663.11	11664200	11674354	30
ENSG00000162490.7	11691710	11725857	68
ENSG00000177674.16	11736084	11754802	37
ENSG00000215910.8	11761787	11789585	100
ENSG00000177000.13	11785723	11806455	32
ENSG00000011021.23	11806096	11848079	21
ENSG00000175206.11	11845709	11848345	0
ENSG00000120937.9	11857464	11858945	1
ENSG00000116685.17	11919591	11926428	4
ENSG00000083444.17	11934205	11975538	39
ENSG00000116688.18	11980181	12015211	59
ENSG00000116691.11	12019466	12032045	11
ENSG00000120949.15	12063303	12144207	51
ENSG00000028137.19	12166991	12209228	75
ENSG00000048707.15	12230030	12512047	67
ENSG00000162496.9	12567910	12618210	75
ENSG00000204518.3	12644085	12667076	11
ENSG00000188984.12	12716110	12728760	8
ENSG00000157330.10	12746200	12763699	2
ENSG00000116726.5	12773738	12777906	0
ENSG00000116721.9	12791397	12796628	0
ENSG00000239810.3	12824605	12831410	0
ENSG00000179172.10	12847377	12848720	0
ENSG00000120952.4	12857086	12861909	0
ENSG00000243073.4	12879212	12886201	0
ENSG00000187545.5	12892896	12898270	0
ENSG00000204510.6	12916610	12920751	0
ENSG00000232423.6	12938472	12947580	0
ENSG00000274764.6	13049476	13056575	0
ENSG00000277058.3	13060769	13062878	0
ENSG00000229571.7	13068677	13077884	0
ENSG00000275774.3	13115488	13116854	0
ENSG00000280267.6	13148905	13158116	0
ENSG00000179412.11	13163914	13165631	0
ENSG00000204505.5	13171848	13179459	1
ENSG00000279169.3	13196188	13201409	0
ENSG00000279804.3	13222695	13226154	1
ENSG00000270601.5	13254198	13263435	0
ENSG00000182330.11	13281304	13285137	0
ENSG00000237700.2	13303539	13308907	0
ENSG00000204501.7	13315581	13322598	0
ENSG00000204481.8	13341892	13347134	0
ENSG00000204480.9	13368431	13371947	1
ENSG00000204479.4	13389632	13392629	0
ENSG00000204478.11	13410450	13421328	9
ENSG00000162494.6	13474973	13514003	61
ENSG00000162493.17	13583465	13617957	45
ENSG00000116731.23	13700188	13825079	165
ENSG00000189337.17	13892792	15118043	2145
ENSG00000171729.14	15152532	15220478	206
ENSG00000142621.21	15236521	15400283	210
ENSG00000142634.13	15409888	15430339	13
ENSG00000162438.12	15438442	15449242	15
ENSG00000142615.8	15456728	15472091	16
ENSG00000215704.10	15465909	15491395	6
ENSG00000132906.18	15490832	15526534	8
ENSG00000116138.13	15526813	15592379	10
ENSG00000116771.6	15571699	15585051	1
ENSG00000197312.13	15617458	15669044	7
ENSG00000215695.2	15659713	15662033	0
ENSG00000116786.13	15684320	15734769	15
ENSG00000162461.8	15736258	15741392	1
ENSG00000162460.7	15742499	15747982	5
ENSG00000162458.13	15756607	15786594	28
ENSG00000233954.7	15807169	15809348	2
ENSG00000065526.13	15836095	15940456	114
ENSG00000116809.12	15941869	15976132	36
ENSG00000183888.4	16004236	16008807	12
ENSG00000173641.18	16014028	16019594	33
ENSG00000186510.12	16018875	16034050	17
ENSG00000184908.20	16040252	16057311	41
ENSG00000185519.9	16057769	16073651	16
ENSG00000142627.13	16124337	16156069	24
ENSG00000142632.17	16197854	16212652	15
ENSG00000132881.12	16231692	16237183	5
ENSG00000037637.11	16246840	16352480	67
ENSG00000055070.17	16352575	16398145	23
ENSG00000187144.11	16387117	16437424	47
ENSG00000157191.20	16440721	16460078	20
ENSG00000219481.11	16562319	16613562	8
ENSG00000058453.17	16740273	16972964	111
ENSG00000117122.14	16974502	16980632	11
ENSG00000159363.19	16985958	17011928	46
ENSG00000288636.1	17005068	17011757	12
ENSG00000117118.11	17018664	17054032	54
ENSG00000117115.13	17066761	17119451	93
ENSG00000142623.11	17205128	17246007	49
ENSG00000142619.4	17249098	17284233	29
ENSG00000159339.13	17308195	17364004	185
ENSG00000276747.1	17372196	17401699	72
ENSG00000179051.14	17406760	17439677	46
ENSG00000074964.17	17539698	17697874	184
ENSG00000117148.8	17755333	17827063	118
ENSG00000117154.12	18107798	18378483	482
ENSG00000179023.9	18480930	18485974	11
ENSG00000009709.12	18630846	18748866	153
ENSG00000179002.6	18839599	18859660	64
ENSG00000159423.17	18871430	18902724	45
ENSG00000169991.11	18904280	18956676	59
ENSG00000127481.15	19074510	19210266	174
ENSG00000127463.16	19215660	19251552	57
ENSG00000053372.5	19251805	19260128	32
ENSG00000211454.16	19265982	19274194	6
ENSG00000162482.5	19282573	19288770	2
ENSG00000053371.13	19303965	19312144	12
ENSG00000040487.13	19312326	19329300	44
ENSG00000077549.19	19338775	19485539	375
ENSG00000173436.15	19484403	19629821	250
ENSG00000158747.15	19596979	19658456	65
ENSG00000270136.6	19597067	19656927	62
ENSG00000158748.4	19664875	19680966	19
ENSG00000162542.14	19682240	19799945	145
ENSG00000178828.7	19814029	19815283	0
ENSG00000169914.6	19882395	19912945	32
ENSG00000188784.4	19920009	19923617	0
ENSG00000188257.12	19975431	19980416	4
ENSG00000127472.11	20028179	20091911	57
ENSG00000117215.15	20111939	20119566	10
ENSG00000158786.5	20139323	20150381	9
ENSG00000187980.7	20161253	20186518	32
ENSG00000162543.6	20186096	20196050	1
ENSG00000158816.16	20290875	20359518	104
ENSG00000162545.6	20482391	20486210	1
ENSG00000090432.7	20499448	20508151	10
ENSG00000183114.8	20552573	20555020	0
ENSG00000158825.6	20589086	20618903	78
ENSG00000158828.8	20633458	20651511	53
ENSG00000244038.11	20651767	20661544	17
ENSG00000117245.13	20664014	20718017	83
ENSG00000189410.12	20719731	20732837	3
ENSG00000127483.19	20740266	20787323	17
ENSG00000075151.24	20806292	21177285	262
ENSG00000117298.16	21217247	21345572	136
ENSG00000142794.19	21440128	21485005	15
ENSG00000162551.14	21509397	21578410	191
ENSG00000289715.1	21547404	21554002	14
ENSG00000076864.21	21596221	21669357	154
ENSG00000090686.16	21678298	21783606	219
ENSG00000187942.12	21812265	21825225	10
ENSG00000142798.20	21822244	21937310	180
ENSG00000219073.8	21977022	21998642	41
ENSG00000142789.20	22001657	22012542	9
ENSG00000289694.1	22025142	22092943	154
ENSG00000070831.18	22052627	22101360	71
ENSG00000162552.15	22117313	22143969	57
ENSG00000184677.18	22428838	22531157	124
ENSG00000070886.12	22563489	22603595	80
ENSG00000173372.18	22635077	22639678	12
ENSG00000289692.1	22636506	22644067	14
ENSG00000159189.13	22643014	22648110	22
ENSG00000173369.18	22652762	22661637	20
ENSG00000133216.17	22710839	22921500	396
ENSG00000215906.9	22953043	22972866	30
ENSG00000227868.7	23010834	23019100	9
ENSG00000004487.18	23019443	23083689	55
ENSG00000169641.15	23084030	23177808	91
ENSG00000179546.5	23191895	23217502	53
ENSG00000125944.21	23303771	23344336	20
ENSG00000125945.15	23359448	23369836	11
ENSG00000204219.11	23380909	23424748	57
ENSG00000088280.20	23428563	23484568	57
ENSG00000007968.7	23506438	23531233	23
ENSG00000117318.9	23557926	23559501	4
ENSG00000142676.14	23691742	23696835	8
ENSG00000011007.13	23743448	23762059	5
ENSG00000057757.10	23778418	23788232	6
ENSG00000011009.11	23791145	23795539	2
ENSG00000117308.15	23795599	23800781	1
ENSG00000117305.15	23801885	23838620	35
ENSG00000179163.12	23845077	23868290	5
ENSG00000188822.8	23870515	23913362	227
ENSG00000189266.13	23956839	23963462	19
ENSG00000188529.15	23964347	23980927	46
ENSG00000142661.19	24056035	24112135	103
ENSG00000142677.4	24119771	24143140	27
ENSG00000185436.12	24154168	24187959	108
ENSG00000158055.17	24199558	24364482	363
ENSG00000001460.18	24356999	24416934	116
ENSG00000001461.17	24415802	24472976	129
ENSG00000117602.13	24502351	24541040	61
ENSG00000184454.7	24556087	24609328	154
ENSG00000133226.19	24631716	24673281	18
ENSG00000169504.15	24745382	24844321	102
ENSG00000020633.19	24899511	24965121	73
ENSG00000117614.10	25222276	25232502	3
ENSG00000117616.18	25242249	25338213	12
ENSG00000187010.21	25272393	25330445	4
ENSG00000183726.11	25338317	25362361	25
ENSG00000188672.19	25362249	25430192	21
ENSG00000204178.11	25430858	25500209	48
ENSG00000157978.12	25543606	25568886	29
ENSG00000117643.15	25616791	25786206	120
ENSG00000162430.18	25800193	25818221	37
ENSG00000255054.3	25811470	25823744	29
ENSG00000117640.18	25818640	25832942	30
ENSG00000127423.11	25831913	25859458	63
ENSG00000182749.6	25861484	25875708	9
ENSG00000117632.23	25884181	25906991	22
ENSG00000158006.14	25959767	25998117	66
ENSG00000158008.10	26019884	26036464	13
ENSG00000158014.15	26037252	26046118	16
ENSG00000158022.7	26051301	26068436	15
ENSG00000175087.10	26111165	26125555	5
ENSG00000197245.6	26159079	26163962	6
ENSG00000282872.2	26164101	26168963	11
ENSG00000236782.8	26169516	26171832	5
ENSG00000142684.9	26169908	26170873	3
ENSG00000142675.18	26177484	26189884	9
ENSG00000188782.9	26190561	26202968	33
ENSG00000130695.16	26234200	26278808	64
ENSG00000142669.15	26280086	26281522	2
ENSG00000158062.21	26281328	26318363	79
ENSG00000169442.9	26317958	26320523	7
ENSG00000176092.17	26321698	26360080	41
ENSG00000176083.18	26361634	26374522	3
ENSG00000131914.11	26410817	26429728	23
ENSG00000117682.18	26432282	26471306	41
ENSG00000198830.12	26472440	26476642	4
ENSG00000117676.14	26529761	26575030	64
ENSG00000117713.21	26693236	26782104	19
ENSG00000060642.12	26787054	26800659	2
ENSG00000204160.12	26826688	26857604	13
ENSG00000175793.12	26863149	26864456	0
ENSG00000142751.15	26876132	26890283	3
ENSG00000198746.13	26890488	26900467	4
ENSG00000090273.14	26900238	26946871	13
ENSG00000131910.5	26911489	26913975	2
ENSG00000175707.10	26949562	26960468	1
ENSG00000253368.4	26993692	27000886	1
ENSG00000158246.8	27005020	27012850	0
ENSG00000090020.11	27098809	27166981	30
ENSG00000142784.16	27234632	27308636	66
ENSG00000186501.15	27322145	27336400	15
ENSG00000142765.18	27342020	27353937	9
ENSG00000142733.18	27355184	27366961	9
ENSG00000142748.14	27369110	27374824	8
ENSG00000174950.11	27379176	27383333	4
ENSG00000181773.7	27392622	27395814	2
ENSG00000158195.11	27404230	27490167	108
ENSG00000126705.15	27534035	27604431	38
ENSG00000000938.13	27612064	27635185	35
ENSG00000126709.16	27666064	27672212	8
ENSG00000009780.16	27725961	27763116	9
ENSG00000117758.14	27773219	27824443	15
ENSG00000117751.18	27830782	27851676	5
ENSG00000130775.16	27872543	27886685	39
ENSG00000117748.10	27891524	27914746	54
ENSG00000130768.15	27935000	27959157	52
ENSG00000158156.9	27959588	27968093	0
ENSG00000158161.16	27970344	28088637	60
ENSG00000169403.12	28147166	28193936	35
ENSG00000126698.11	28199456	28233029	46
ENSG00000130770.18	28236109	28246906	31
ENSG00000130766.5	28259518	28282491	4
ENSG00000130772.14	28329002	28335965	1
ENSG00000204138.13	28369582	28500364	96
ENSG00000180198.17	28505943	28539300	52
ENSG00000180098.9	28553085	28578545	34
ENSG00000120656.14	28587829	28648291	32
ENSG00000188060.8	28592200	28595449	1
ENSG00000162419.13	28668778	28719353	36
ENSG00000198492.16	28736621	28769775	37
ENSG00000116329.12	28812170	28871267	83
ENSG00000159023.23	28887091	29120046	339
ENSG00000253304.2	29119429	29123903	9
ENSG00000116350.18	29147743	29181900	35
ENSG00000116353.16	29192657	29230942	42
ENSG00000060656.20	29236516	29326813	86
ENSG00000289710.1	30576655	30576825	0
ENSG00000162510.6	30711277	30723585	29
ENSG00000162511.8	30732469	30757774	36
ENSG00000162512.16	30869466	30908758	42
ENSG00000134644.16	30931506	31065991	19
ENSG00000084628.10	31179745	31239887	187
ENSG00000060688.13	31259568	31296788	110
ENSG00000121766.16	31296982	31364953	152
ENSG00000121769.8	31365253	31376850	15
ENSG00000168528.12	31409565	31434680	59
ENSG00000142910.16	31576485	31587686	5
ENSG00000121764.12	31617686	31632518	1
ENSG00000162517.13	31629866	31644896	1
ENSG00000084636.18	31652263	31704319	43
ENSG00000121753.13	31727117	31764893	27
ENSG00000134668.13	31790422	31816022	25
ENSG00000184007.22	31906421	31944856	5
ENSG00000288678.2	31919563	31938010	3
ENSG00000121774.18	32013868	32060850	6
ENSG00000121775.18	32072031	32102866	5
ENSG00000025800.14	32108056	32176563	18
ENSG00000084652.16	32179675	32198285	7
ENSG00000160050.16	32200595	32205453	0
ENSG00000160051.12	32205671	32208682	0
ENSG00000222046.3	32209089	32216192	2
ENSG00000160055.20	32214472	32222359	1
ENSG00000084623.12	32221077	32245397	5
ENSG00000183615.6	32247222	32248856	0
ENSG00000182866.18	32251244	32286165	21
ENSG00000116478.12	32292083	32333635	7
ENSG00000175130.7	32333839	32336233	0
ENSG00000162526.7	32351521	32364312	2
ENSG00000225828.2	32361270	32364278	0
ENSG00000160058.19	32364633	32394731	7
ENSG00000254553.1	32465057	32600792	25
ENSG00000273274.2	32465072	32496686	4
ENSG00000160062.15	32539427	32605941	12
ENSG00000176261.16	32600172	32650903	38
ENSG00000162521.19	32651142	32686211	75
ENSG00000162520.15	32679906	32703596	39
ENSG00000162522.11	32741830	32774970	44
ENSG00000134684.13	32775237	32818031	52
ENSG00000116497.18	32816767	32858875	63
ENSG00000160097.21	32862268	32872482	6
ENSG00000121905.10	32885994	32898441	8
ENSG00000121900.19	32894594	32901438	3
ENSG00000116514.17	32936445	32964809	38
ENSG00000004455.18	33007986	33080996	79
ENSG00000142920.18	33081104	33123492	31
ENSG00000116525.14	33145399	33182059	84
ENSG00000160094.15	33256492	33300719	63
ENSG00000184389.9	33306766	33321098	17
ENSG00000134686.21	33323623	33431095	208
ENSG00000121903.15	33472645	33501643	54
ENSG00000121904.19	33513998	34165842	548
ENSG00000176256.11	33860475	33864791	1
ENSG00000142698.15	34166883	34219131	89
ENSG00000163866.9	34712737	34859755	331
ENSG00000189280.3	34755047	34758512	5
ENSG00000189433.7	34759740	34762327	2
ENSG00000188910.8	34781214	34786369	4
ENSG00000187513.9	34792999	34795747	4
ENSG00000116544.12	34865436	34929650	54
ENSG00000284773.1	34974356	34985313	1
ENSG00000243749.2	34981380	34985347	0
ENSG00000271741.1	34981533	35031741	4
ENSG00000163867.17	34986165	35031945	4
ENSG00000197056.11	35032172	35115859	48
ENSG00000116560.12	35176378	35193446	2
ENSG00000146463.12	35268709	35422058	64
ENSG00000142687.19	35393883	35557950	29
ENSG00000020129.16	35557473	35567274	1
ENSG00000116819.9	35573314	35595328	4
ENSG00000126067.12	35599541	35641526	17
ENSG00000142686.8	35713877	35718894	1
ENSG00000092853.14	35720218	35769978	49
ENSG00000134698.11	35808016	35857890	56
ENSG00000092847.14	35869808	35930532	35
ENSG00000126070.20	35930718	36072500	95
ENSG00000092850.12	36084094	36088275	2
ENSG00000116863.11	36088892	36093932	1
ENSG00000171812.13	36095239	36125222	12
ENSG00000054116.12	36136570	36156053	2
ENSG00000116871.16	36155579	36180849	6
ENSG00000054118.15	36224432	36305357	136
ENSG00000214193.11	36306368	36329340	31
ENSG00000142694.7	36322030	36324154	4
ENSG00000196182.11	36339624	36385924	42
ENSG00000181817.6	36391238	36397908	12
ENSG00000116885.18	36415827	36450451	37
ENSG00000116898.12	36455718	36464384	13
ENSG00000119535.20	36466043	36483278	15
ENSG00000163873.10	36795527	37034515	317
ENSG00000163874.11	37474580	37484377	8
ENSG00000163875.16	37489993	37514766	40
ENSG00000163877.11	37534449	37554293	22
ENSG00000163879.11	37556919	37566857	6
ENSG00000134697.13	37566816	37595937	29
ENSG00000169218.14	37611350	37634892	33
ENSG00000116922.15	37681570	37692249	32
ENSG00000134690.11	37692481	37709719	33
ENSG00000183317.17	37713880	37765133	138
ENSG00000185090.15	37793847	37801137	3
ENSG00000196449.4	37802945	37808208	5
ENSG00000197982.14	37806979	37809454	1
ENSG00000188786.10	37809574	37859592	47
ENSG00000204084.14	37860697	37947053	106
ENSG00000183431.12	37956975	37990075	71
ENSG00000183386.10	37996770	38005606	14
ENSG00000183520.12	38009258	38024820	13
ENSG00000185668.8	38043829	38046793	1
ENSG00000116954.8	38838198	38859772	30
ENSG00000214114.9	38862493	38873368	16
ENSG00000274944.4	38864501	38881617	33
ENSG00000131233.10	38874069	38881587	15
ENSG00000158315.11	38885807	38941830	95
ENSG00000174574.16	38991276	39006059	19
ENSG00000168653.11	39026318	39034636	28
ENSG00000127603.32	39081316	39487177	316
ENSG00000183682.8	39491636	39529869	29
ENSG00000090621.15	39560709	39576790	8
ENSG00000163909.8	39623435	39639643	17
ENSG00000116981.4	39651229	39672107	17
ENSG00000116983.13	39678648	39691485	35
ENSG00000084072.17	39692182	39763914	112
ENSG00000116985.12	39757182	39788865	30
ENSG00000198754.5	39769523	39771348	0
ENSG00000043514.17	39838110	39883511	70
ENSG00000116990.12	39895428	39902256	5
ENSG00000168389.18	39955112	39969968	6
ENSG00000131236.18	40040233	40072649	56
ENSG00000131238.18	40072710	40097260	69
ENSG00000117000.9	40161387	40240921	27
ENSG00000188800.6	40245947	40251684	5
ENSG00000084073.10	40258041	40294180	21
ENSG00000049089.15	40300489	40317813	6
ENSG00000084070.12	40344850	40423326	101
ENSG00000187801.15	40450102	40463718	9
ENSG00000187815.10	40477290	40496343	24
ENSG00000164002.12	40508741	40516038	15
ENSG00000117010.17	40531573	40548167	35
ENSG00000117016.10	40620680	40665682	49
ENSG00000066136.21	40691648	40771603	134
ENSG00000117013.17	40783787	40840452	76
ENSG00000179862.7	40861054	40862363	2
ENSG00000171793.17	40979300	41012565	42
ENSG00000171790.16	41015589	41023237	11
ENSG00000010803.17	41027202	41242306	225
ENSG00000204060.8	41361922	41383590	40
ENSG00000127129.10	41478775	41484683	11
ENSG00000127124.16	41506365	42035925	757
ENSG00000284895.1	41585306	41628816	73
ENSG00000044012.4	42153410	42155820	3
ENSG00000197273.4	42162690	42164745	1
ENSG00000198815.9	42176539	42335877	193
ENSG00000177181.15	42380792	42424232	80
ENSG00000066185.13	42430329	42456253	63
ENSG00000127125.9	42456117	42473385	26
ENSG00000186409.19	42463221	42657190	383
ENSG00000171960.12	42658335	42676758	15
ENSG00000065978.19	42682418	42703805	23
ENSG00000164007.11	42733093	42740254	1
ENSG00000117385.16	42746335	42767084	26
ENSG00000164008.17	42767245	42779491	16
ENSG00000283580.4	42767292	42794493	31
ENSG00000274386.6	42784991	42816619	30
ENSG00000177868.12	42807052	42817397	13
ENSG00000164010.15	42817122	42844991	40
ENSG00000164011.18	42846573	42852477	2
ENSG00000117394.24	42925353	42958893	66
ENSG00000186973.11	43145153	43156396	17
ENSG00000117395.13	43164175	43270936	142
ENSG00000243710.8	43172330	43254358	112
ENSG00000179178.11	43269983	43274002	2
ENSG00000253313.6	43281877	43285617	5
ENSG00000066056.14	43300982	43323108	10
ENSG00000117400.18	43337818	43354466	8
ENSG00000117399.14	43358981	43363203	2
ENSG00000066322.15	43363398	43368074	1
ENSG00000159479.17	43383917	43389808	1
ENSG00000198198.17	43389882	43454247	57
ENSG00000178922.18	43450989	43453989	3
ENSG00000142949.17	43525187	43623666	90
ENSG00000066135.13	43650149	43705518	18
ENSG00000284989.1	43650149	43931014	187
ENSG00000126091.21	43705824	43931165	170
ENSG00000117407.17	43933320	43937240	3
ENSG00000117408.11	43946950	43968022	10
ENSG00000132768.14	43970000	43973369	2
ENSG00000117410.14	43974487	43978295	2
ENSG00000117411.18	43978943	43991170	8
ENSG00000159214.13	43991359	43996528	4
ENSG00000196517.13	43991500	44031467	36
ENSG00000171872.5	44118821	44135140	25
ENSG00000283039.1	44137821	44141631	5
ENSG00000178028.14	44213455	44220681	6
ENSG00000117419.16	44221070	44355260	104
ENSG00000187147.19	44405194	44651723	383
ENSG00000126106.14	44635238	44674481	71
ENSG00000198520.12	44674692	44725591	43
ENSG00000142945.13	44739818	44767767	5
ENSG00000142937.12	44775251	44778779	0
ENSG00000142959.5	44783585	44788170	0
ENSG00000173846.13	44800377	44805990	0
ENSG00000188396.4	44805893	44807351	1
ENSG00000222009.9	44808523	44815585	0
ENSG00000117425.14	44819844	44843253	6
ENSG00000070785.17	44850522	44986722	19
ENSG00000126107.15	45002540	45011324	11
ENSG00000126088.14	45010950	45015575	2
ENSG00000162415.7	45016399	45306209	113
ENSG00000186603.7	45326895	45328710	0
ENSG00000132781.21	45329163	45340893	7
ENSG00000288208.1	45329262	45491155	95
ENSG00000132773.12	45340052	45343973	0
ENSG00000070759.17	45343883	45491163	88
ENSG00000280670.3	45493866	45500079	8
ENSG00000132763.15	45500300	45513382	15
ENSG00000117450.15	45510914	45542732	58
ENSG00000117448.14	45550543	45570049	24
ENSG00000132780.17	45583846	45618904	36
ENSG00000159588.15	45620044	45624057	7
ENSG00000159592.11	45627304	45688113	110
ENSG00000159596.7	45688181	45694436	13
ENSG00000197429.11	45694324	45750653	102
ENSG00000086015.23	45786987	46036122	401
ENSG00000117461.15	46040140	46133036	6
ENSG00000278139.1	46043661	46176488	35
ENSG00000117472.10	46175073	46185962	11
ENSG00000250719.2	46175486	46176488	3
ENSG00000085998.15	46188683	46220305	28
ENSG00000171357.6	46203334	46221256	11
ENSG00000085999.13	46246461	46278480	13
ENSG00000132128.18	46261196	46303616	13
ENSG00000173660.12	46303698	46316776	15
ENSG00000117481.11	46340789	46365152	18
ENSG00000117480.16	46394317	46413848	13
ENSG00000197587.12	46489836	46516216	33
ENSG00000282881.3	46532166	46543969	22
ENSG00000162456.10	46545641	46551647	13
ENSG00000079277.22	46557407	46616843	48
ENSG00000142961.16	46607719	46616811	14
ENSG00000123472.13	46632737	46673867	58
ENSG00000186118.9	46668855	46673594	4
ENSG00000159658.15	46674659	46719146	36
ENSG00000142973.16	46757838	46819413	55
ENSG00000187048.14	46929177	46941484	1
ENSG00000186377.8	47023669	47050751	34
ENSG00000186160.5	47067231	47118318	25
ENSG00000162365.13	47137435	47149727	0
ENSG00000162366.8	47183582	47191044	5
ENSG00000162367.12	47216290	47232225	16
ENSG00000123473.17	47250139	47314892	134
ENSG00000162368.15	47333790	47394866	146
