**** Job starts ****
2023-11-04 09:40:06
**** JHPCE info ****
User: sparthib
Job id: 718809
Job name: fastq2bam
Node name: compute-116
Task id: 2
[M::mm_idx_gen::66.985*1.68] collected minimizers
[M::mm_idx_gen::72.594*2.67] sorted minimizers
[M::main::72.595*2.67] loaded/built the index for 194 target sequence(s)
[M::mm_mapopt_update::74.717*2.62] mid_occ = 706
[M::worker_pipeline::5328.290*24.31] mapped 293261 sequences
[M::worker_pipeline::5485.369*24.32] mapped 295524 sequences
[M::worker_pipeline::5645.512*24.33] mapped 293584 sequences
[M::worker_pipeline::5802.349*24.34] mapped 293963 sequences
[M::worker_pipeline::5961.821*24.35] mapped 293785 sequences
[M::worker_pipeline::6119.471*24.36] mapped 295665 sequences
[M::worker_pipeline::6277.932*24.37] mapped 294041 sequences
[M::worker_pipeline::6444.252*24.34] mapped 295119 sequences
[M::worker_pipeline::6601.711*24.34] mapped 293489 sequences
[M::worker_pipeline::6758.187*24.35] mapped 293393 sequences
[M::worker_pipeline::6916.655*24.36] mapped 295136 sequences
[M::worker_pipeline::7074.785*24.37] mapped 294139 sequences
[M::worker_pipeline::7233.162*24.38] mapped 294512 sequences
[M::worker_pipeline::7390.602*24.39] mapped 296023 sequences
[M::worker_pipeline::7549.367*24.40] mapped 295654 sequences
[M::worker_pipeline::7705.284*24.41] mapped 294129 sequences
[M::worker_pipeline::7863.341*24.42] mapped 293649 sequences
[M::worker_pipeline::8021.475*24.43] mapped 294329 sequences
[M::worker_pipeline::8178.211*24.44] mapped 293923 sequences
[M::worker_pipeline::8336.603*24.44] mapped 293161 sequences
[M::worker_pipeline::8501.952*24.42] mapped 294011 sequences
[M::worker_pipeline::8664.458*24.41] mapped 294906 sequences
[M::worker_pipeline::8841.176*24.37] mapped 296384 sequences
[M::worker_pipeline::8993.980*24.37] mapped 295268 sequences
[M::worker_pipeline::9153.817*24.38] mapped 293502 sequences
[M::worker_pipeline::9313.112*24.38] mapped 293922 sequences
[M::worker_pipeline::9469.613*24.39] mapped 298229 sequences
[M::worker_pipeline::9626.880*24.40] mapped 295106 sequences
[M::worker_pipeline::9785.713*24.40] mapped 295240 sequences
[M::worker_pipeline::9944.874*24.40] mapped 296624 sequences
[M::worker_pipeline::10135.105*24.32] mapped 297052 sequences
[M::worker_pipeline::10303.520*24.30] mapped 295220 sequences
[M::worker_pipeline::10469.932*24.29] mapped 296469 sequences
[M::worker_pipeline::10624.488*24.30] mapped 297016 sequences
[M::worker_pipeline::10783.960*24.30] mapped 296652 sequences
[M::worker_pipeline::10962.904*24.25] mapped 296268 sequences
[M::worker_pipeline::11174.244*24.10] mapped 299218 sequences
[M::worker_pipeline::11398.354*23.94] mapped 295303 sequences
[M::worker_pipeline::11576.222*23.89] mapped 296035 sequences
[M::worker_pipeline::11757.382*23.83] mapped 301249 sequences
[M::worker_pipeline::11917.640*23.85] mapped 295363 sequences
[M::worker_pipeline::12073.535*23.86] mapped 298947 sequences
[M::worker_pipeline::12231.241*23.87] mapped 297001 sequences
[M::worker_pipeline::12390.376*23.88] mapped 295620 sequences
[M::worker_pipeline::12548.683*23.89] mapped 304286 sequences
[M::worker_pipeline::12705.997*23.90] mapped 296117 sequences
[M::worker_pipeline::12863.984*23.91] mapped 303735 sequences
[M::worker_pipeline::13020.647*23.92] mapped 300061 sequences
[M::worker_pipeline::13177.517*23.93] mapped 303767 sequences
[M::worker_pipeline::13337.368*23.94] mapped 304728 sequences
[M::worker_pipeline::13495.556*23.94] mapped 305779 sequences
[M::worker_pipeline::13653.403*23.95] mapped 304198 sequences
[M::worker_pipeline::13810.081*23.96] mapped 309796 sequences
[M::worker_pipeline::13966.211*23.96] mapped 305986 sequences
[M::worker_pipeline::14128.571*23.96] mapped 315708 sequences
[M::worker_pipeline::14281.544*23.97] mapped 310272 sequences
[M::worker_pipeline::14437.624*23.98] mapped 307266 sequences
[M::worker_pipeline::14593.156*23.99] mapped 311464 sequences
[M::worker_pipeline::14749.489*23.99] mapped 304829 sequences
[M::worker_pipeline::14907.322*24.00] mapped 300217 sequences
[M::worker_pipeline::15064.487*24.00] mapped 292253 sequences
[M::worker_pipeline::15225.191*24.01] mapped 296568 sequences
[M::worker_pipeline::15382.741*24.01] mapped 296940 sequences
[M::worker_pipeline::15543.462*24.02] mapped 301408 sequences
[M::worker_pipeline::15703.411*24.02] mapped 295945 sequences
[M::worker_pipeline::15713.296*24.02] mapped 35666 sequences
[M::main] Version: 2.26-r1175
[M::main] CMD: ./minimap2 -ax map-ont -N 50 --secondary=no -t 25 /dcs04/hicks/data/sparthib/GENCODE_FASTA.fa /dcs04/hicks/data/sparthib/casey/fastqs/H9-BRN3B-RO.fastq.gz
[M::main] Real time: 15713.681 sec; CPU: 377453.435 sec; Peak RSS: 15.543 GB
Loading LIBD module for samtools/1.18
[bam_sort_core] merging from 32 files and 1 in-memory blocks...
chr1	248956422	5131509	0
chr2	242193529	4416262	0
chr3	198295559	3968468	0
chr4	190214555	2864857	0
chr5	181538259	3232533	0
chr6	170805979	2952924	0
chr7	159345973	2819326	0
chr8	145138636	2199636	0
chr9	138394717	2203150	0
chr10	133797422	2318028	0
chr11	135086622	3354227	0
chr12	133275309	2914452	0
chr13	114364328	1329583	0
chr14	107043718	2028353	0
chr15	101991189	1961666	0
chr16	90338345	1873505	0
chr17	83257441	2702064	0
chr18	80373285	1070415	0
chr19	58617616	2224098	0
chr20	64444167	1422144	0
chr21	46709983	5224927	0
chr22	50818468	959871	0
chrX	156040895	2123049	0
chrY	57227415	48238	0
chrM	16569	1968030	0
GL000008.2	209709	3572	0
GL000009.2	201709	2485	0
GL000194.1	191469	1664	0
GL000195.1	182896	3145	0
GL000205.2	185591	2887	0
GL000208.1	92689	1061	0
GL000213.1	164239	264	0
GL000214.1	137718	2446	0
GL000216.2	176608	6713	0
GL000218.1	161147	2120	0
GL000219.1	179198	761	0
GL000220.1	161802	2189735	0
GL000221.1	155397	2211	0
GL000224.1	179693	3614	0
GL000225.1	211173	4957	0
GL000226.1	15008	1849	0
KI270302.1	2274	6	0
KI270303.1	1942	36	0
KI270304.1	2165	17	0
KI270305.1	1472	15	0
KI270310.1	1201	58	0
KI270311.1	12399	60	0
KI270312.1	998	12	0
KI270315.1	2276	13	0
KI270316.1	1444	8	0
KI270317.1	37690	34	0
KI270320.1	4416	116	0
KI270322.1	21476	65	0
KI270329.1	1040	6	0
KI270330.1	1652	140	0
KI270333.1	2699	2640	0
KI270334.1	1368	2	0
KI270335.1	1048	0	0
KI270336.1	1026	358	0
KI270337.1	1121	839	0
KI270338.1	1428	2	0
KI270340.1	1428	4	0
KI270362.1	3530	16	0
KI270363.1	1803	18	0
KI270364.1	2855	14	0
KI270366.1	8320	34	0
KI270371.1	2805	8	0
KI270372.1	1650	1	0
KI270373.1	1451	5	0
KI270374.1	2656	2	0
KI270375.1	2378	4	0
KI270376.1	1136	2	0
KI270378.1	1048	5	0
KI270379.1	1045	5	0
KI270381.1	1930	2	0
KI270382.1	4215	16	0
KI270383.1	1750	1	0
KI270384.1	1658	9	0
KI270385.1	990	8	0
KI270386.1	1788	5	0
KI270387.1	1537	6	0
KI270388.1	1216	0	0
KI270389.1	1298	4	0
KI270390.1	2387	7	0
KI270391.1	1484	5	0
KI270392.1	971	0	0
KI270393.1	1308	8	0
KI270394.1	970	12	0
KI270395.1	1143	17	0
KI270396.1	1880	15	0
KI270411.1	2646	18	0
KI270412.1	1179	7	0
KI270414.1	2489	13	0
KI270417.1	2043	9	0
KI270418.1	2145	8	0
KI270419.1	1029	6	0
KI270420.1	2321	30	0
KI270422.1	1445	16	0
KI270423.1	981	9	0
KI270424.1	2140	1	0
KI270425.1	1884	3	0
KI270429.1	1361	15	0
KI270435.1	92983	1177	0
KI270438.1	112505	35902	0
KI270442.1	392061	7539	0
KI270448.1	7992	100	0
KI270465.1	1774	48	0
KI270466.1	1233	2154	0
KI270467.1	3920	12689	0
KI270468.1	4055	50	0
KI270507.1	5353	73	0
KI270508.1	1951	64	0
KI270509.1	2318	34	0
KI270510.1	2415	37	0
KI270511.1	8127	88	0
KI270512.1	22689	329	0
KI270515.1	6361	144	0
KI270516.1	1300	20	0
KI270517.1	3253	79	0
KI270518.1	2186	43	0
KI270519.1	138126	1524	0
KI270521.1	7642	52	0
KI270522.1	5674	20	0
KI270528.1	2983	16	0
KI270529.1	1899	30	0
KI270530.1	2168	10	0
KI270538.1	91309	1013	0
KI270539.1	993	2	0
KI270544.1	1202	22	0
KI270548.1	1599	1	0
KI270579.1	31033	129	0
KI270580.1	1553	40	0
KI270581.1	7046	56	0
KI270582.1	6504	63	0
KI270583.1	1400	29	0
KI270584.1	4513	78	0
KI270587.1	2969	107	0
KI270588.1	6158	83	0
KI270589.1	44474	775	0
KI270590.1	4685	177	0
KI270591.1	5796	213	0
KI270593.1	3041	35	0
KI270706.1	175055	1258	0
KI270707.1	32032	235	0
KI270708.1	127682	668	0
KI270709.1	66860	8091	0
KI270710.1	40176	401	0
KI270711.1	42210	3002	0
KI270712.1	176043	1359	0
KI270713.1	40745	511	0
KI270714.1	41717	357	0
KI270715.1	161471	617	0
KI270716.1	153799	689	0
KI270717.1	40062	396	0
KI270718.1	38054	600	0
KI270719.1	176845	1392	0
KI270720.1	39050	338	0
KI270721.1	100316	2326	0
KI270722.1	194050	1087	0
KI270723.1	38115	380	0
KI270724.1	39555	529	0
KI270725.1	172810	1053	0
KI270726.1	43739	19	0
KI270727.1	448248	2300	0
KI270728.1	1872759	2819	0
KI270729.1	280839	8835	0
KI270730.1	112551	2515	0
KI270731.1	150754	471	0
KI270732.1	41543	626	0
KI270733.1	179772	4580881	0
KI270734.1	165050	1751	0
KI270735.1	42811	1073	0
KI270736.1	181920	7293	0
KI270737.1	103838	827	0
KI270738.1	99375	757	0
KI270739.1	73985	197	0
KI270740.1	37240	0	0
KI270741.1	157432	277	0
KI270742.1	186739	3100	0
KI270743.1	210658	1975	0
KI270744.1	168472	4131	0
KI270745.1	41891	1161	0
KI270746.1	66486	929	0
KI270747.1	198735	908	0
KI270748.1	93321	207	0
KI270749.1	158759	1277	0
KI270750.1	148850	1268	0
KI270751.1	150742	2565	0
KI270752.1	27745	356	0
KI270753.1	62944	333	0
KI270754.1	40191	520	0
KI270755.1	36723	94	0
KI270756.1	79590	979	0
KI270757.1	71251	1383	0
*	0	0	117684
**** Job ends ****
2023-11-04 21:03:28
