**** Job starts ****
2023-11-04 09:40:07
**** JHPCE info ****
User: sparthib
Job id: 718810
Job name: fastq2bam
Node name: compute-115
Task id: 3
[M::mm_idx_gen::74.790*1.55] collected minimizers
[M::mm_idx_gen::79.750*2.42] sorted minimizers
[M::main::79.750*2.42] loaded/built the index for 194 target sequence(s)
[M::mm_mapopt_update::81.704*2.39] mid_occ = 706
[M::worker_pipeline::3033.754*24.29] mapped 244782 sequences
[M::worker_pipeline::3150.556*24.31] mapped 244841 sequences
[M::worker_pipeline::3266.820*24.34] mapped 246771 sequences
[M::worker_pipeline::3384.135*24.36] mapped 245632 sequences
[M::worker_pipeline::3502.956*24.39] mapped 245637 sequences
[M::worker_pipeline::3617.547*24.41] mapped 245464 sequences
[M::worker_pipeline::3735.396*24.42] mapped 245674 sequences
[M::worker_pipeline::3850.069*24.44] mapped 245098 sequences
[M::worker_pipeline::3966.301*24.46] mapped 244844 sequences
[M::worker_pipeline::4082.549*24.48] mapped 246183 sequences
[M::worker_pipeline::4200.119*24.49] mapped 245344 sequences
[M::worker_pipeline::4317.975*24.51] mapped 244753 sequences
[M::worker_pipeline::4434.125*24.52] mapped 245863 sequences
[M::worker_pipeline::4550.982*24.53] mapped 244614 sequences
[M::worker_pipeline::4668.174*24.54] mapped 244987 sequences
[M::worker_pipeline::4783.236*24.56] mapped 247160 sequences
[M::worker_pipeline::4899.255*24.57] mapped 244573 sequences
[M::worker_pipeline::5016.238*24.58] mapped 244563 sequences
[M::worker_pipeline::5132.067*24.59] mapped 244370 sequences
[M::worker_pipeline::5248.144*24.60] mapped 244528 sequences
[M::worker_pipeline::5363.537*24.61] mapped 244723 sequences
[M::worker_pipeline::5480.454*24.62] mapped 247279 sequences
[M::worker_pipeline::5595.589*24.63] mapped 244936 sequences
[M::worker_pipeline::5711.589*24.63] mapped 244639 sequences
[M::worker_pipeline::5827.685*24.64] mapped 244227 sequences
[M::worker_pipeline::5944.023*24.65] mapped 244705 sequences
[M::worker_pipeline::6059.825*24.66] mapped 243867 sequences
[M::worker_pipeline::6176.510*24.67] mapped 245193 sequences
[M::worker_pipeline::6292.766*24.67] mapped 244328 sequences
[M::worker_pipeline::6408.582*24.68] mapped 243644 sequences
[M::worker_pipeline::6524.749*24.69] mapped 245743 sequences
[M::worker_pipeline::6641.035*24.69] mapped 244062 sequences
[M::worker_pipeline::6757.559*24.70] mapped 243990 sequences
[M::worker_pipeline::6874.139*24.70] mapped 245896 sequences
[M::worker_pipeline::6991.175*24.71] mapped 243353 sequences
[M::worker_pipeline::7108.394*24.71] mapped 246026 sequences
[M::worker_pipeline::7225.041*24.72] mapped 244861 sequences
[M::worker_pipeline::7341.484*24.72] mapped 242377 sequences
[M::worker_pipeline::7458.660*24.73] mapped 245289 sequences
[M::worker_pipeline::7576.503*24.73] mapped 243759 sequences
[M::worker_pipeline::7692.424*24.74] mapped 243233 sequences
[M::worker_pipeline::7809.123*24.74] mapped 243757 sequences
[M::worker_pipeline::7925.085*24.74] mapped 243921 sequences
[M::worker_pipeline::8041.323*24.75] mapped 242585 sequences
[M::worker_pipeline::8157.237*24.75] mapped 245100 sequences
[M::worker_pipeline::8274.517*24.75] mapped 243211 sequences
[M::worker_pipeline::8391.232*24.76] mapped 242944 sequences
[M::worker_pipeline::8507.320*24.76] mapped 243327 sequences
[M::worker_pipeline::8624.472*24.76] mapped 245599 sequences
[M::worker_pipeline::8742.279*24.77] mapped 243157 sequences
[M::worker_pipeline::8856.552*24.77] mapped 244064 sequences
[M::worker_pipeline::8972.867*24.77] mapped 243338 sequences
[M::worker_pipeline::9089.359*24.78] mapped 243345 sequences
[M::worker_pipeline::9205.625*24.78] mapped 245211 sequences
[M::worker_pipeline::9322.972*24.78] mapped 242752 sequences
[M::worker_pipeline::9438.842*24.78] mapped 242304 sequences
[M::worker_pipeline::9554.182*24.79] mapped 242238 sequences
[M::worker_pipeline::9670.565*24.79] mapped 243131 sequences
[M::worker_pipeline::9787.610*24.79] mapped 245059 sequences
[M::worker_pipeline::9904.715*24.79] mapped 244555 sequences
[M::worker_pipeline::10020.844*24.79] mapped 242466 sequences
[M::worker_pipeline::10137.621*24.80] mapped 242726 sequences
[M::worker_pipeline::10257.179*24.79] mapped 244958 sequences
[M::worker_pipeline::10373.494*24.80] mapped 242122 sequences
[M::worker_pipeline::10490.834*24.80] mapped 243080 sequences
[M::worker_pipeline::10608.051*24.80] mapped 242226 sequences
[M::worker_pipeline::10727.924*24.80] mapped 241747 sequences
[M::worker_pipeline::10842.782*24.80] mapped 245812 sequences
[M::worker_pipeline::10959.303*24.80] mapped 242255 sequences
[M::worker_pipeline::11076.499*24.80] mapped 242661 sequences
[M::worker_pipeline::11192.342*24.80] mapped 242600 sequences
[M::worker_pipeline::11309.548*24.81] mapped 245864 sequences
[M::worker_pipeline::11425.321*24.81] mapped 242948 sequences
[M::worker_pipeline::11542.454*24.81] mapped 242392 sequences
[M::worker_pipeline::11658.349*24.81] mapped 242322 sequences
[M::worker_pipeline::11774.894*24.81] mapped 248284 sequences
[M::worker_pipeline::11891.948*24.81] mapped 244750 sequences
[M::worker_pipeline::12008.705*24.81] mapped 244486 sequences
[M::worker_pipeline::12124.967*24.81] mapped 243244 sequences
[M::worker_pipeline::12244.342*24.81] mapped 245679 sequences
[M::worker_pipeline::12359.969*24.81] mapped 243307 sequences
[M::worker_pipeline::12479.126*24.81] mapped 241998 sequences
[M::worker_pipeline::12595.821*24.81] mapped 245542 sequences
[M::worker_pipeline::12712.766*24.81] mapped 244711 sequences
[M::worker_pipeline::12829.572*24.82] mapped 244933 sequences
[M::worker_pipeline::12946.834*24.82] mapped 245998 sequences
[M::worker_pipeline::13064.076*24.82] mapped 246223 sequences
[M::worker_pipeline::13180.715*24.82] mapped 244695 sequences
[M::worker_pipeline::13297.795*24.82] mapped 244277 sequences
[M::worker_pipeline::13415.692*24.82] mapped 247485 sequences
[M::worker_pipeline::13532.757*24.82] mapped 245330 sequences
[M::worker_pipeline::13648.720*24.82] mapped 242536 sequences
[M::worker_pipeline::13765.513*24.82] mapped 248778 sequences
[M::worker_pipeline::13881.699*24.82] mapped 245781 sequences
[M::worker_pipeline::13999.129*24.82] mapped 243736 sequences
[M::worker_pipeline::14116.385*24.82] mapped 250004 sequences
[M::worker_pipeline::14232.435*24.83] mapped 245298 sequences
[M::worker_pipeline::14349.080*24.83] mapped 246319 sequences
[M::worker_pipeline::14466.140*24.83] mapped 246885 sequences
[M::worker_pipeline::14583.512*24.83] mapped 244748 sequences
[M::worker_pipeline::14699.511*24.83] mapped 249959 sequences
[M::worker_pipeline::14817.136*24.83] mapped 247973 sequences
[M::worker_pipeline::14933.953*24.83] mapped 245099 sequences
[M::worker_pipeline::15050.712*24.83] mapped 248643 sequences
[M::worker_pipeline::15168.404*24.83] mapped 243875 sequences
[M::worker_pipeline::15284.334*24.83] mapped 254112 sequences
[M::worker_pipeline::15400.597*24.83] mapped 247260 sequences
[M::worker_pipeline::15527.665*24.81] mapped 251980 sequences
[M::worker_pipeline::15692.135*24.73] mapped 245333 sequences
[M::worker_pipeline::15876.347*24.62] mapped 247122 sequences
[M::worker_pipeline::16052.422*24.53] mapped 245744 sequences
[M::worker_pipeline::16196.042*24.48] mapped 246163 sequences
[M::worker_pipeline::16314.393*24.48] mapped 244801 sequences
[M::worker_pipeline::16435.170*24.48] mapped 234442 sequences
[M::worker_pipeline::16553.474*24.49] mapped 240356 sequences
[M::worker_pipeline::16674.954*24.49] mapped 243414 sequences
[M::worker_pipeline::16791.860*24.49] mapped 249929 sequences
[M::worker_pipeline::16909.025*24.49] mapped 249035 sequences
[M::worker_pipeline::16969.082*24.49] mapped 136053 sequences
[M::main] Version: 2.26-r1175
[M::main] CMD: ./minimap2 -ax map-ont -N 50 --secondary=no -t 25 /dcs04/hicks/data/sparthib/GENCODE_FASTA.fa /dcs04/hicks/data/sparthib/casey/fastqs/hRGC.fastq.gz
[M::main] Real time: 16969.556 sec; CPU: 415545.795 sec; Peak RSS: 16.711 GB
Loading LIBD module for samtools/1.18
[bam_sort_core] merging from 29 files and 1 in-memory blocks...
chr1	248956422	6424783	0
chr2	242193529	6005234	0
chr3	198295559	4557372	0
chr4	190214555	3345593	0
chr5	181538259	4084647	0
chr6	170805979	3608423	0
chr7	159345973	3834146	0
chr8	145138636	2737397	0
chr9	138394717	2753456	0
chr10	133797422	2722171	0
chr11	135086622	5107498	0
chr12	133275309	3953096	0
chr13	114364328	1664598	0
chr14	107043718	2394143	0
chr15	101991189	3018283	0
chr16	90338345	2447813	0
chr17	83257441	3515857	0
chr18	80373285	1362660	0
chr19	58617616	3121197	0
chr20	64444167	1997952	0
chr21	46709983	4493036	0
chr22	50818468	1446904	0
chrX	156040895	2527173	0
chrY	57227415	59348	0
chrM	16569	2568504	0
GL000008.2	209709	906	0
GL000009.2	201709	409	0
GL000194.1	191469	244	0
GL000195.1	182896	5426	0
GL000205.2	185591	2244	0
GL000208.1	92689	120	0
GL000213.1	164239	62	0
GL000214.1	137718	499	0
GL000216.2	176608	779	0
GL000218.1	161147	285	0
GL000219.1	179198	266	0
GL000220.1	161802	2676625	0
GL000221.1	155397	1596	0
GL000224.1	179693	671	0
GL000225.1	211173	344	0
GL000226.1	15008	199	0
KI270302.1	2274	0	0
KI270303.1	1942	3	0
KI270304.1	2165	1	0
KI270305.1	1472	3	0
KI270310.1	1201	4	0
KI270311.1	12399	12	0
KI270312.1	998	1	0
KI270315.1	2276	0	0
KI270316.1	1444	0	0
KI270317.1	37690	5	0
KI270320.1	4416	10	0
KI270322.1	21476	9	0
KI270329.1	1040	0	0
KI270330.1	1652	18	0
KI270333.1	2699	293	0
KI270334.1	1368	1	0
KI270335.1	1048	0	0
KI270336.1	1026	38	0
KI270337.1	1121	97	0
KI270338.1	1428	0	0
KI270340.1	1428	1	0
KI270362.1	3530	1	0
KI270363.1	1803	2	0
KI270364.1	2855	0	0
KI270366.1	8320	2	0
KI270371.1	2805	0	0
KI270372.1	1650	0	0
KI270373.1	1451	0	0
KI270374.1	2656	0	0
KI270375.1	2378	1	0
KI270376.1	1136	0	0
KI270378.1	1048	0	0
KI270379.1	1045	0	0
KI270381.1	1930	1	0
KI270382.1	4215	2	0
KI270383.1	1750	1	0
KI270384.1	1658	4	0
KI270385.1	990	0	0
KI270386.1	1788	0	0
KI270387.1	1537	0	0
KI270388.1	1216	1	0
KI270389.1	1298	0	0
KI270390.1	2387	0	0
KI270391.1	1484	3	0
KI270392.1	971	0	0
KI270393.1	1308	1	0
KI270394.1	970	0	0
KI270395.1	1143	2	0
KI270396.1	1880	3	0
KI270411.1	2646	3	0
KI270412.1	1179	0	0
KI270414.1	2489	7	0
KI270417.1	2043	0	0
KI270418.1	2145	2	0
KI270419.1	1029	1	0
KI270420.1	2321	0	0
KI270422.1	1445	0	0
KI270423.1	981	0	0
KI270424.1	2140	0	0
KI270425.1	1884	0	0
KI270429.1	1361	0	0
KI270435.1	92983	219	0
KI270438.1	112505	3423	0
KI270442.1	392061	1324	0
KI270448.1	7992	12	0
KI270465.1	1774	8	0
KI270466.1	1233	200	0
KI270467.1	3920	1346	0
KI270468.1	4055	2	0
KI270507.1	5353	6	0
KI270508.1	1951	9	0
KI270509.1	2318	2	0
KI270510.1	2415	1	0
KI270511.1	8127	2	0
KI270512.1	22689	59	0
KI270515.1	6361	11	0
KI270516.1	1300	2	0
KI270517.1	3253	9	0
KI270518.1	2186	6	0
KI270519.1	138126	202	0
KI270521.1	7642	8	0
KI270522.1	5674	2	0
KI270528.1	2983	0	0
KI270529.1	1899	2	0
KI270530.1	2168	0	0
KI270538.1	91309	104	0
KI270539.1	993	0	0
KI270544.1	1202	4	0
KI270548.1	1599	0	0
KI270579.1	31033	18	0
KI270580.1	1553	0	0
KI270581.1	7046	6	0
KI270582.1	6504	6	0
KI270583.1	1400	2	0
KI270584.1	4513	15	0
KI270587.1	2969	14	0
KI270588.1	6158	8	0
KI270589.1	44474	171	0
KI270590.1	4685	14	0
KI270591.1	5796	68	0
KI270593.1	3041	5	0
KI270706.1	175055	369	0
KI270707.1	32032	24	0
KI270708.1	127682	76	0
KI270709.1	66860	440	0
KI270710.1	40176	41	0
KI270711.1	42210	3832	0
KI270712.1	176043	2278	0
KI270713.1	40745	500	0
KI270714.1	41717	177	0
KI270715.1	161471	53	0
KI270716.1	153799	59	0
KI270717.1	40062	347	0
KI270718.1	38054	347	0
KI270719.1	176845	182	0
KI270720.1	39050	44	0
KI270721.1	100316	2045	0
KI270722.1	194050	147	0
KI270723.1	38115	74	0
KI270724.1	39555	231	0
KI270725.1	172810	175	0
KI270726.1	43739	0	0
KI270727.1	448248	1540	0
KI270728.1	1872759	1296	0
KI270729.1	280839	950	0
KI270730.1	112551	594	0
KI270731.1	150754	234	0
KI270732.1	41543	76	0
KI270733.1	179772	3969682	0
KI270734.1	165050	1353	0
KI270735.1	42811	272	0
KI270736.1	181920	2230	0
KI270737.1	103838	93	0
KI270738.1	99375	43	0
KI270739.1	73985	22	0
KI270740.1	37240	0	0
KI270741.1	157432	17	0
KI270742.1	186739	1502	0
KI270743.1	210658	324	0
KI270744.1	168472	876	0
KI270745.1	41891	2450	0
KI270746.1	66486	213	0
KI270747.1	198735	197	0
KI270748.1	93321	86	0
KI270749.1	158759	202	0
KI270750.1	148850	170	0
KI270751.1	150742	338	0
KI270752.1	27745	449	0
KI270753.1	62944	49	0
KI270754.1	40191	50	0
KI270755.1	36723	20	0
KI270756.1	79590	110	0
KI270757.1	71251	229	0
*	0	0	99498
**** Job ends ****
2023-11-05 01:05:31
