**** Job starts ****
2023-11-04 21:03:32
**** JHPCE info ****
User: sparthib
Job id: 718807
Job name: fastq2bam
Node name: compute-116
Task id: 4
[M::mm_idx_gen::67.428*1.68] collected minimizers
[M::mm_idx_gen::73.219*2.67] sorted minimizers
[M::main::73.219*2.67] loaded/built the index for 194 target sequence(s)
[M::mm_mapopt_update::75.760*2.62] mid_occ = 706
[M::worker_pipeline::7243.266*18.08] mapped 228183 sequences
[M::worker_pipeline::7366.976*18.18] mapped 226676 sequences
[M::worker_pipeline::7533.328*18.15] mapped 226456 sequences
[M::worker_pipeline::7685.012*18.16] mapped 227313 sequences
[M::worker_pipeline::7836.969*18.18] mapped 229493 sequences
[M::worker_pipeline::7979.821*18.21] mapped 226937 sequences
[M::worker_pipeline::8116.696*18.27] mapped 227403 sequences
[M::worker_pipeline::8237.264*18.36] mapped 227210 sequences
[M::worker_pipeline::8385.141*18.39] mapped 229077 sequences
[M::worker_pipeline::8511.842*18.47] mapped 227248 sequences
[M::worker_pipeline::8636.088*18.55] mapped 230104 sequences
[M::worker_pipeline::8760.288*18.64] mapped 227407 sequences
[M::worker_pipeline::8882.140*18.72] mapped 226978 sequences
[M::worker_pipeline::9006.621*18.79] mapped 231508 sequences
[M::worker_pipeline::9128.551*18.87] mapped 230357 sequences
[M::worker_pipeline::9249.747*18.95] mapped 228371 sequences
[M::worker_pipeline::9383.532*19.01] mapped 227292 sequences
[M::worker_pipeline::9532.129*19.00] mapped 236126 sequences
[M::worker_pipeline::9662.241*19.06] mapped 229493 sequences
[M::worker_pipeline::9815.743*19.05] mapped 229145 sequences
[M::worker_pipeline::9938.454*19.12] mapped 235715 sequences
[M::worker_pipeline::10107.306*19.07] mapped 239167 sequences
[M::worker_pipeline::10238.063*19.12] mapped 232929 sequences
[M::worker_pipeline::10385.800*19.11] mapped 231594 sequences
[M::worker_pipeline::10554.327*19.07] mapped 245072 sequences
[M::worker_pipeline::10724.560*19.03] mapped 236601 sequences
[M::worker_pipeline::10878.371*19.00] mapped 233518 sequences
[M::worker_pipeline::11032.010*18.98] mapped 245262 sequences
[M::worker_pipeline::11186.724*18.96] mapped 240453 sequences
[M::worker_pipeline::11391.482*18.88] mapped 231788 sequences
[M::worker_pipeline::11570.799*18.83] mapped 247716 sequences
[M::worker_pipeline::11738.442*18.79] mapped 245403 sequences
[M::worker_pipeline::11881.536*18.81] mapped 236534 sequences
[M::worker_pipeline::12047.639*18.77] mapped 262319 sequences
[M::worker_pipeline::12210.688*18.74] mapped 257051 sequences
[M::worker_pipeline::12345.281*18.78] mapped 246641 sequences
[M::worker_pipeline::12483.518*18.78] mapped 273157 sequences
[M::worker_pipeline::12638.561*18.77] mapped 255220 sequences
[M::worker_pipeline::12762.022*18.81] mapped 286572 sequences
[M::worker_pipeline::12882.882*18.87] mapped 270422 sequences
[M::worker_pipeline::13004.239*18.92] mapped 288887 sequences
[M::worker_pipeline::13130.776*18.96] mapped 266714 sequences
[M::worker_pipeline::13250.860*19.01] mapped 274328 sequences
[M::worker_pipeline::13375.012*19.06] mapped 271356 sequences
[M::worker_pipeline::13509.326*19.07] mapped 266258 sequences
[M::worker_pipeline::13629.870*19.12] mapped 262386 sequences
[M::worker_pipeline::13754.473*19.17] mapped 253038 sequences
[M::worker_pipeline::13876.170*19.22] mapped 235355 sequences
[M::worker_pipeline::14000.922*19.25] mapped 256772 sequences
[M::worker_pipeline::14123.059*19.30] mapped 251560 sequences
[M::worker_pipeline::14244.656*19.34] mapped 251491 sequences
[M::worker_pipeline::14369.576*19.38] mapped 249286 sequences
[M::worker_pipeline::14489.728*19.42] mapped 258835 sequences
[M::worker_pipeline::14610.760*19.46] mapped 253527 sequences
[M::worker_pipeline::14739.458*19.49] mapped 253488 sequences
[M::worker_pipeline::14859.073*19.53] mapped 247226 sequences
[M::worker_pipeline::14978.783*19.57] mapped 253693 sequences
[M::worker_pipeline::15103.601*19.61] mapped 234415 sequences
[M::worker_pipeline::15228.054*19.65] mapped 234831 sequences
[M::worker_pipeline::15355.065*19.69] mapped 236071 sequences
[M::worker_pipeline::15482.803*19.73] mapped 234359 sequences
[M::worker_pipeline::15613.670*19.75] mapped 233408 sequences
[M::worker_pipeline::15739.368*19.79] mapped 233962 sequences
[M::worker_pipeline::15855.849*19.81] mapped 225868 sequences
[M::main] Version: 2.26-r1175
[M::main] CMD: ./minimap2 -ax map-ont -N 50 --secondary=no -t 25 /dcs04/hicks/data/sparthib/GENCODE_FASTA.fa /dcs04/hicks/data/sparthib/casey/fastqs/DG-WT-hRGC.fastq.gz
[M::main] Real time: 15856.122 sec; CPU: 314141.407 sec; Peak RSS: 17.202 GB
Loading LIBD module for samtools/1.18
[bam_sort_core] merging from 9 files and 1 in-memory blocks...
chr1	248956422	4659967	0
chr2	242193529	4460562	0
chr3	198295559	3149427	0
chr4	190214555	2504056	0
chr5	181538259	3039611	0
chr6	170805979	2402235	0
chr7	159345973	2957971	0
chr8	145138636	2104752	0
chr9	138394717	1926581	0
chr10	133797422	2002608	0
chr11	135086622	3418660	0
chr12	133275309	2850785	0
chr13	114364328	1254468	0
chr14	107043718	1733006	0
chr15	101991189	1866608	0
chr16	90338345	1825306	0
chr17	83257441	2500212	0
chr18	80373285	964349	0
chr19	58617616	2137313	0
chr20	64444167	1487167	0
chr21	46709983	4301728	0
chr22	50818468	1040171	0
chrX	156040895	1544350	0
chrY	57227415	82959	0
chrM	16569	2131567	0
GL000008.2	209709	177	0
GL000009.2	201709	85	0
GL000194.1	191469	46	0
GL000195.1	182896	4782	0
GL000205.2	185591	1614	0
GL000208.1	92689	28	0
GL000213.1	164239	54	0
GL000214.1	137718	95	0
GL000216.2	176608	143	0
GL000218.1	161147	44	0
GL000219.1	179198	269	0
GL000220.1	161802	2002970	0
GL000221.1	155397	83	0
GL000224.1	179693	172	0
GL000225.1	211173	84	0
GL000226.1	15008	45	0
KI270302.1	2274	0	0
KI270303.1	1942	0	0
KI270304.1	2165	0	0
KI270305.1	1472	0	0
KI270310.1	1201	1	0
KI270311.1	12399	1	0
KI270312.1	998	1	0
KI270315.1	2276	0	0
KI270316.1	1444	0	0
KI270317.1	37690	1	0
KI270320.1	4416	1	0
KI270322.1	21476	0	0
KI270329.1	1040	0	0
KI270330.1	1652	2	0
KI270333.1	2699	49	0
KI270334.1	1368	1	0
KI270335.1	1048	1	0
KI270336.1	1026	5	0
KI270337.1	1121	14	0
KI270338.1	1428	0	0
KI270340.1	1428	1	0
KI270362.1	3530	2	0
KI270363.1	1803	1	0
KI270364.1	2855	0	0
KI270366.1	8320	0	0
KI270371.1	2805	0	0
KI270372.1	1650	0	0
KI270373.1	1451	0	0
KI270374.1	2656	0	0
KI270375.1	2378	1	0
KI270376.1	1136	0	0
KI270378.1	1048	0	0
KI270379.1	1045	0	0
KI270381.1	1930	2	0
KI270382.1	4215	16	0
KI270383.1	1750	1	0
KI270384.1	1658	0	0
KI270385.1	990	0	0
KI270386.1	1788	0	0
KI270387.1	1537	1	0
KI270388.1	1216	0	0
KI270389.1	1298	0	0
KI270390.1	2387	1	0
KI270391.1	1484	0	0
KI270392.1	971	0	0
KI270393.1	1308	0	0
KI270394.1	970	0	0
KI270395.1	1143	0	0
KI270396.1	1880	0	0
KI270411.1	2646	2	0
KI270412.1	1179	0	0
KI270414.1	2489	0	0
KI270417.1	2043	2	0
KI270418.1	2145	0	0
KI270419.1	1029	0	0
KI270420.1	2321	0	0
KI270422.1	1445	0	0
KI270423.1	981	0	0
KI270424.1	2140	0	0
KI270425.1	1884	0	0
KI270429.1	1361	0	0
KI270435.1	92983	57	0
KI270438.1	112505	1590	0
KI270442.1	392061	955	0
KI270448.1	7992	0	0
KI270465.1	1774	0	0
KI270466.1	1233	15	0
KI270467.1	3920	127	0
KI270468.1	4055	2	0
KI270507.1	5353	7	0
KI270508.1	1951	2	0
KI270509.1	2318	0	0
KI270510.1	2415	0	0
KI270511.1	8127	0	0
KI270512.1	22689	18	0
KI270515.1	6361	4	0
KI270516.1	1300	0	0
KI270517.1	3253	2	0
KI270518.1	2186	0	0
KI270519.1	138126	49	0
KI270521.1	7642	1	0
KI270522.1	5674	2	0
KI270528.1	2983	0	0
KI270529.1	1899	0	0
KI270530.1	2168	0	0
KI270538.1	91309	27	0
KI270539.1	993	0	0
KI270544.1	1202	2	0
KI270548.1	1599	0	0
KI270579.1	31033	4	0
KI270580.1	1553	3	0
KI270581.1	7046	1	0
KI270582.1	6504	0	0
KI270583.1	1400	0	0
KI270584.1	4513	3	0
KI270587.1	2969	8	0
KI270588.1	6158	0	0
KI270589.1	44474	55	0
KI270590.1	4685	3	0
KI270591.1	5796	14	0
KI270593.1	3041	2	0
KI270706.1	175055	118	0
KI270707.1	32032	21	0
KI270708.1	127682	16	0
KI270709.1	66860	114	0
KI270710.1	40176	11	0
KI270711.1	42210	4708	0
KI270712.1	176043	2115	0
KI270713.1	40745	320	0
KI270714.1	41717	86	0
KI270715.1	161471	13	0
KI270716.1	153799	12	0
KI270717.1	40062	140	0
KI270718.1	38054	245	0
KI270719.1	176845	52	0
KI270720.1	39050	32	0
KI270721.1	100316	1283	0
KI270722.1	194050	29	0
KI270723.1	38115	44	0
KI270724.1	39555	171	0
KI270725.1	172810	69	0
KI270726.1	43739	1	0
KI270727.1	448248	1071	0
KI270728.1	1872759	1018	0
KI270729.1	280839	182	0
KI270730.1	112551	130	0
KI270731.1	150754	145	0
KI270732.1	41543	20	0
KI270733.1	179772	3793324	0
KI270734.1	165050	892	0
KI270735.1	42811	52	0
KI270736.1	181920	530	0
KI270737.1	103838	24	0
KI270738.1	99375	38	0
KI270739.1	73985	4	0
KI270740.1	37240	1	0
KI270741.1	157432	21	0
KI270742.1	186739	55	0
KI270743.1	210658	90	0
KI270744.1	168472	228	0
KI270745.1	41891	220	0
KI270746.1	66486	105	0
KI270747.1	198735	588	0
KI270748.1	93321	63	0
KI270749.1	158759	50	0
KI270750.1	148850	42	0
KI270751.1	150742	107	0
KI270752.1	27745	322	0
KI270753.1	62944	12	0
KI270754.1	40191	9	0
KI270755.1	36723	26	0
KI270756.1	79590	26	0
KI270757.1	71251	51	0
*	0	0	75635
**** Job ends ****
2023-11-05 08:13:56
