isoform_id	ES	ES_genomic_start	ES_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000357337	4	77103209;77129156;77158230;77237750	77103310;77129230;77158268;77237983	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
BambuTx559	1	77021513	77021861	ENSG00000005812	FBXL3	76992635,76994188,76995666,76995909,76996759,76996761,76997699,76999351,77004081,77005912,77007135,77009133,77010213,77012178,77012180,77020597,77020830,77020959,77021965,77023292,77023294,77024916,77025799
ENST00000304543	1	24161715	24161842	ENSG00000005889	ZFX	24152615,24154634,24157478,24159055,24164805,24167902,24175447,24176576,24179138,24184403,24194891,24196933,24196935,24200904,24201453,24202702,24203064,24203620,24203721,24208351,24210237,24210453,24212371,24214765
ENST00000352832	2	50594993;50609882	50595061;50609935	ENSG00000006283	CACNA1G	50566493,50567017,50570176,50570496,50576295,50576734,50577176,50577510,50577512,50577570,50577606,50577674,50578720,50579712,50581318,50583730,50590158,50591586,50591748,50593870,50596427,50596932,50598008,50598100,50598102,50601538,50611805,50613980,50613982,50614198,50615126,50619547,50621758,50622620
ENST00000275428	1	30497741	30497896	ENSG00000006625	GGCT	30497224,30499580,30500768,30502225,30503210,30504067
ENST00000265755	1	74505992	74507676	ENSG00000006704	GTF2IRD1	74457929,74461247,74461723,74466296,74467089,74467645,74467970,74467972,74467974,74472061,74473408,74475745,74478075,74479324,74481763,74483139,74483578,74487193,74489313,74491570,74491794,74492603,74493431,74493863,74495606,74496037,74496071,74496073,74496085,74496087,74496089,74496113,74496127,74496129,74496176,74496217,74496229,74496263,74496297,74496321,74496333,74496343,74496359,74496404,74496426,74496456,74496528,74496577,74496603,74496631,74496667,74496669,74496671,74499631,74499633,74500110,74500683,74504125,74505797,74510917,74517564,74517748,74519498,74519771,74520199,74525624,74526595,74526608,74533125,74533279,74533440,74534968,74535001,74535549,74535578,74537123,74537440,74537461,74537480,74537500,74542806,74542968,74544544,74544546,74544699,74550066,74551983,74557450,74560352,74568118,74568714,74571272,74573779,74574128,74576950,74578135,74579270,74583613,74585256,74586129,74586131,74586133,74586265,74587644,74588006,74588438,74595585,74597490,74599319,74599446
ENST00000262891	1	45298143	45298222	ENSG00000007047	MARK4	45082071,45082561,45084900,45089917,45094933,45096168,45096170,45098549,45098752,45099614,45100996,45102071,45103781,45105139,45108542,45108786,45111874,45113256,45114337,45114465,45115047,45116097,45117648,45120628,45121240,45121354,45122822,45122839,45126241,45126797,45131587,45132254,45135275,45136462,45136464,45140454,45141530,45149733,45150234,45150701,45150703,45151703,45160146,45162606,45164621,45164623,45165041,45167867,45171942,45173134,45180871,45184329,45185385,45185491,45185646,45186153,45186659,45187948,45191267,45194820,45195106,45198229,45199910,45204876,45211730,45212230,45213381,45213383,45215339,45216139,45216803,45216990,45222061,45222071,45223862,45231246,45232129,45233074,45236873,45238712,45240772,45243594,45245613,45245907,45246158,45253951,45259447,45262473,45265164,45270402,45272009,45275353,45280884,45286200,45287248,45288718,45290255,45295647,45296918,45298269,45299389,45302089
ENST00000505450	2	15980277;16035735	15980301;16035761	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000447510	1	15980277	15980301	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000508167	2	15980277;16035735	15980301;16035761	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000540805	3	15979395;15980277;16035735	15979463;15980301;16035761	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000395040	1	3785064	3785286	ENSG00000007264	MATK	3778757,3781035,3782625,3785624,3785626,3789343,3797565,3798950
ENST00000358039	2	112540779;112607241	112540872;112607597	ENSG00000007341	ST7L	112525160,112527407,112530012,112530278,112531964,112533969,112536661,112537873,112542940,112544096,112549261,112553019,112556836,112557401,112557403,112559378,112563995,112565879,112574920,112575673,112584632,112584960,112589435,112591405,112595233,112599693,112602342,112602792,112603376,112604955,112605800,112606811,112609691,112610740,112611837,112613336,112614830,112616138,112620426
ENST00000629543	2	190662;208601	190802;209773	ENSG00000007392	LUC7L	191004,191448,191469,192436,195288,204106,204108,205174,206769,209358,209852,210155,212161,212332,213638,215671,222255,223027,224792,225354,227075,227077,227079,227081,227083
ENST00000293872	3	190662;208601;228333	190802;209773;228402	ENSG00000007392	LUC7L	191004,191448,191469,192436,195288,204106,204108,205174,206769,209358,209852,210155,212161,212332,213638,215671,222255,223027,224792,225354,227075,227077,227079,227081,227083
ENST00000262013	2	50975863;51046500	50975901;51046878	ENSG00000008294	SPAG9	50966226,50970382,50970997,50971419,50972183,50972746,50972957,50973953,50974421,50974826,50975938,50978325,50979804,50980731,50982602,50983686,50984770,50985278,50988877,50989201,50989432,50994885,50996102,50996324,50999691,51003107,51004305,51004972,51005022,51005055,51007861,51009524,51009778,51010825,51011194,51015301,51016230,51017873,51018624,51027715,51028791,51031961,51035605,51035884,51035900,51036515,51038692,51044268,51045652,51046643,51048754,51053704,51055917,51059620,51062065,51063280,51069992,51071638,51076604,51077630,51079383,51081922,51086124,51086521,51090088,51095066,51096217,51098236,51099510,51100787,51102104,51104318,51107774,51115514,51115646
ENST00000417368	1	122082788	122082891	ENSG00000008311	AASS	122065827,122066523,122067667,122070511,122074100,122074686,122080693,122083524,122084538,122084554,122095065,122095067,122104877,122105595,122107110,122107435,122107664,122109494,122111193,122113448,122113630,122114708,122115476,122115715,122116003,122116005,122116063,122116226,122118708,122118735,122119981,122123953,122125067,122130487,122134816,122136142,122136440,122136442,122137063,122139768,122142495,122142497
ENST00000681708	1	122082788	122082891	ENSG00000008311	AASS	122065827,122066523,122067667,122070511,122074100,122074686,122080693,122083524,122084538,122084554,122095065,122095067,122104877,122105595,122107110,122107435,122107664,122109494,122111193,122113448,122113630,122114708,122115476,122115715,122116003,122116005,122116063,122116226,122118708,122118735,122119981,122123953,122125067,122130487,122134816,122136142,122136440,122136442,122137063,122139768,122142495,122142497
ENST00000394126	1	40034916	40034972	ENSG00000008838	MED24	40022247,40022747,40026019,40026966,40029152,40029343,40031893,40032852,40033057,40033181,40033612,40039126,40040763,40045922,40046976,40048499,40050317,40053998,40061056
ENST00000394128	1	40034916	40034972	ENSG00000008838	MED24	40022247,40022747,40026019,40026966,40029152,40029343,40031893,40032852,40033057,40033181,40033612,40039126,40040763,40045922,40046976,40048499,40050317,40053998,40061056
ENST00000686025	1	114737471	114737563	ENSG00000009307	CSDE1	114717456,114719165,114722287,114731039,114738550,114740338,114742661,114750312,114750707,114750875,114750920,114753615,114753784,114755545
ENST00000339438	1	114737471	114737563	ENSG00000009307	CSDE1	114717456,114719165,114722287,114731039,114738550,114740338,114742661,114750312,114750707,114750875,114750920,114753615,114753784,114755545
ENST00000435970	1	111460300	111460406	ENSG00000009413	REV3L	111299950,111302770,111304262,111304712,111304843,111305987,111306616,111311498,111311784,111313268,111318715,111319397,111319974,111321907,111321968,111323346,111326976,111328556,111329537,111330163,111330476,111336044,111336474,111340784,111343674,111345216,111345613,111345732,111350510,111358978,111359585,111359878,111359880,111360287,111360438,111360813,111360998,111368632,111368654,111371025,111371535,111381218,111381570,111384048,111385013,111390595,111391220,111392956,111392958,111393422,111394847,111396171,111397555,111401982,111405330,111405835,111407072,111407850,111409963,111410046,111412935,111414062,111415147,111417133,111420433,111423585,111423587,111427646,111432377,111432522,111432524,111435606,111439576,111445328,111448265,111454984,111455604,111455915,111459959,111461582,111464072,111464074,111465225,111467894,111469030,111469434,111474225,111474825,111474956,111475122,111476814,111476822,111481755
ENST00000261534	1	77312298	77312635	ENSG00000009830	POMT2	77275398,77276100,77276252,77279855,77280465,77281431,77287193,77287792,77292976,77293615,77294018,77295866,77299624,77299626,77303607,77305567,77305990,77308298,77310141,77311297,77314288,77314438,77316064,77317059,77319725
ENST00000327906	1	52414728	52414836	ENSG00000010318	PHF7	52411522,52412149,52412648,52415699,52415701,52415747,52422028,52422030,52422032
ENST00000312413	1	11815846	11815911	ENSG00000011021	CLCN6	11809598,11810343,11813180,11814657,11816148,11817357,11817821,11818965,11823115,11823145,11828762,11831828,11832439,11832725,11832727,11833929,11834063,11834091,11834131,11834133,11834135,11839594,11842390,11845060,11845791,11846260
ENST00000537971	1	3083653	3083719	ENSG00000011105	TSPAN9	3082201,3082203,3086083,3087088,3087152,3088119,3088231,3088644,3089772,3092021,3093901,3100367,3101431,3103307,3103604,3105879,3106067,3107562,3107564,3112321,3113732,3113734,3123698,3123700,3124552,3128124,3129011,3131290,3132231,3136593,3137844,3137846,3140426,3141039,3141041,3145747,3150855,3151181,3151199,3151201,3151203,3151205,3151207,3154837,3162372,3164366,3165897,3167643,3170627,3170629,3173554,3178435,3179658,3181955,3183088,3184710,3185119,3187337,3187770,3187874,3189076,3189242,3189244,3189986,3190309,3190840,3191666,3192708,3193534,3194531,3195766,3196467,3201410,3203307,3204048,3205535,3206732,3207019,3208047,3209546,3210469,3211768,3213898,3213959,3218038,3218120,3218371,3219269,3220408,3221503,3222193,3223076,3223862,3225498,3227037,3228220,3228233,3230773,3231834,3232733,3233500,3233730,3234308,3238833,3238937,3240966,3241908,3247943,3249910,3250214,3250949,3254843,3254894,3254912,3255264,3259488,3261613,3261615,3261803,3266574,3267836,3267905,3271473,3271715,3272312,3272488,3275900,3277518,3278071,3279323,3279676,3281273,3281811,3282122
ENST00000397410	1	15398630	15398766	ENSG00000011243	AKAP8L	15381084,15381331,15391889,15392527,15395170,15397205,15399170,15400684,15401076,15401330,15409891,15415296
ENST00000650792	1	45391583	45391648	ENSG00000011376	LARS2	45389458,45393443,45394148,45395082,45397317,45400191,45409445,45414563,45416551,45426287,45431981,45433518,45434214,45434216,45439710,45442675,45445534,45446830,45446832,45451516,45455414,45456773,45459320,45459798,45459800,45459802,45461675,45463308,45464187,45467941,45470413,45474245,45474293,45475852,45476238,45477955,45477957,45478143,45480331,45494936,45495582,45496452,45499684,45500514,45500666,45500768,45501358,45502009,45503458,45504410,45504412,45504414,45504416,45505183,45505935,45510669,45514074,45514241,45516108,45518812,45521241,45521974,45524694,45524696,45524698,45524700,45524746,45524843,45525869,45527024,45527026,45536265,45540731,45543816,45545149,45546152,45547120,45548177,45549504,45550514,45553944,45554360
ENST00000265970	1	17141322	17141381	ENSG00000011405	PIK3C2A	17077849,17083423,17085987,17085989,17089678,17089686,17089688,17091165,17097019,17097021,17102685,17105742,17106315,17108015,17108337,17108482,17111791,17112930,17115682,17117649,17119609,17120521,17122532,17123726,17134947,17135165,17135806,17136445,17137358,17138192,17140945,17140985,17142002,17144764,17144963,17146589,17148077,17148322,17152806,17154689,17158216,17162394,17162502,17163174,17165643,17167676,17175362,17175364,17178125,17183039,17183041,17184318,17188008,17188206,17188293,17191467,17192013,17194367,17198660,17202124,17204136
ENST00000691414	1	17141322	17141381	ENSG00000011405	PIK3C2A	17077849,17083423,17085987,17085989,17089678,17089686,17089688,17091165,17097019,17097021,17102685,17105742,17106315,17108015,17108337,17108482,17111791,17112930,17115682,17117649,17119609,17120521,17122532,17123726,17134947,17135165,17135806,17136445,17137358,17138192,17140945,17140985,17142002,17144764,17144963,17146589,17148077,17148322,17152806,17154689,17158216,17162394,17162502,17163174,17165643,17167676,17175362,17175364,17178125,17183039,17183041,17184318,17188008,17188206,17188293,17191467,17192013,17194367,17198660,17202124,17204136
ENST00000396068	1	36417080	36417190	ENSG00000011426	ANLN	36391236,36393168,36393558,36394303,36395716,36397508,36401983,36401985,36402985,36406045,36406047,36407046,36408368,36408370,36412798,36413239,36413586,36414738,36421212,36422172,36422892,36427427,36428179,36428577,36428923,36428925,36434732,36434906,36434908,36436433,36437102,36439761,36439813,36439815,36443920,36445074,36445397,36445680,36446137,36446683,36447013,36447789,36448432
ENST00000389282	1	15428110	15428508	ENSG00000011451	WIZ	15420729,15420984,15421505,15421649,15423237,15439286,15439532,15440042,15448630,15448736,15449022
ENST00000391919	1	46381726	46383476	ENSG00000011485	PPP5C	46348266,46349683,46350373,46352982,46356946,46358080,46365688,46365690,46365799,46366490,46366624,46366626,46367385,46367714,46368347,46369094,46369110,46371416,46371807,46371856,46372345,46373188,46373410,46374777,46375050,46376523,46378043,46378397,46378766,46381245,46381247,46382841,46383125,46383127,46383670,46384042,46385017,46386339,46387002,46387368,46388881,46390658
ENST00000377990	1	65080276	65081574	ENSG00000011523	CEP68	65063094,65063096,65063682,65074576,65074955,65075298,65076187,65076189,65076513,65077140,65079622,65082489,65084020
ENST00000220562	1	28701965	28702709	ENSG00000012232	EXTL3	28601649,28604323,28607743,28608891,28609091,28610246,28610384,28611083,28613966,28613968,28614851,28615712,28626496,28629816,28629838,28634946,28638371,28639968,28642314,28642532,28642802,28643738,28648711,28648713,28649636,28651984,28652522,28652943,28653458,28658590,28658886,28659955,28659984,28662085,28663088,28664341,28667531,28668135,28672693,28674489,28675307,28675309,28675311,28677152,28677199,28681223,28681535,28683311,28684466,28687791,28688459,28689212,28693843,28694689,28695065,28696540,28696542,28701817,28702852,28704230,28707050,28708726,28716114,28718237,28718318,28721284,28721286,28722641,28722643,28727432,28728755,28729927,28730580,28732651,28735158,28735602,28738296,28738978,28740761,28742215,28743011,28743249,28745252,28745277,28746613,28747576,28749680,28749682,28749684,28749686,28750041,28751274,28752399
ENST00000304434	1	53294088	53294491	ENSG00000012660	ELOVL5	53268766,53268768,53270765,53272749,53272931,53273492,53273675,53274685,53274735,53275931,53277723,53277805,53280521,53281186,53284451,53291485,53292384,53293235,53295568,53300671,53301397,53301832,53304407,53307982,53317336,53317560,53321330,53323021,53325979,53327046,53330130,53330666,53331240,53338143,53345943,53346376,53347692
ENST00000557390	1	50482652	50483149	ENSG00000012983	MAP4K5	50419389,50420966,50421403,50421459,50423637,50424578,50425222,50425679,50427731,50428785,50429409,50429569,50429571,50431046,50431718,50432982,50433339,50435316,50440220,50443883,50444772,50444862,50450318,50455001,50456248,50456250,50456586,50469536,50471382,50472577,50472906,50473608,50474258,50484813,50489216,50490066,50494879,50495717,50505266,50505298,50507641,50508259,50508378,50508676,50508923,50520037,50520039,50520041,50524475,50534744,50535078,50538201,50542197,50542917,50543728,50544851,50546885,50549796,50553152,50553154,50554450,50555789,50559701,50559870
ENST00000432425	1	200860125	200860215	ENSG00000013441	CLK1	200858102,200858104
