seqnames	start	end	width	strand	isoform_id	gene_id	gene_name
chr7	38432189	38432212	24	-	ENST00000325590	AMPH	AMPH
chr7	43887790	43887811	22	-	ENST00000497914	URGCP	URGCP
chr7	47280164	47280190	27	-	ENST00000705473	TNS3	TNS3
chr7	73719602	73719626	25	-	ENST00000470878	STX1A	STX1A
chr7	105145283	105145308	26	-	ENST00000393651	SRPK2	SRPK2
chr7	122386295	122386309	15	-	ENST00000412584	CADPS2	CADPS2
chr8	22080618	22080625	8	+	ENST00000358242	DMTN	DMTN
chr8	32749561	32749584	24	+	ENST00000519301	NRG1	NRG1
chr8	32749561	32749584	24	+	ENST00000652592	NRG1	NRG1
chr8	80038217	80038235	19	-	ENST00000521241	TPD52	TPD52
chr8	80050445	80050471	27	-	ENST00000517462	TPD52	TPD52
chr8	80050445	80050471	27	-	ENST00000520527	TPD52	TPD52
chr8	80050445	80050471	27	-	ENST00000521241	TPD52	TPD52
chr8	94895177	94895201	25	-	ENST00000308108	CCNE2	CCNE2
chr9	109925061	109925082	22	+	ENST00000314527	PALM2AKAP2	PALM2AKAP2
chr9	2807814	2807830	17	-	ENST00000490444	PUM3	PUM3
chr9	8526627	8526644	18	-	ENST00000397617	PTPRD	PTPRD
chr9	99886675	99886695	21	-	ENST00000657190	STX17-DT	STX17-DT
chr9	129010670	129010693	24	-	ENST00000372564	SH3GLB2	SH3GLB2
chr10	71643861	71643866	6	+	ENST00000224721	CDH23	CDH23
chr10	71643861	71643866	6	+	ENST00000299366	CDH23	CDH23
chr10	71734656	71734658	3	+	ENST00000224721	CDH23	CDH23
chr10	82865411	82865437	27	+	ENST00000372141	NRG3	NRG3
chr10	91484334	91484345	12	+	ENST00000446394	HECTD2	HECTD2
chr10	45071565	45071588	24	-	ENST00000456938	CEP164P1	CEP164P1
chr11	5706594	5706616	23	+	ENST00000379965	TRIM22	TRIM22
chr11	5708577	5708603	27	+	ENST00000379965	TRIM22	TRIM22
chr11	20068186	20068209	24	+	ENST00000360655	NAV2	NAV2
chr11	20068186	20068209	24	+	ENST00000525322	NAV2	NAV2
chr11	48110058	48110076	19	+	ENST00000698881	PTPRJ	PTPRJ
chr11	48149990	48149998	9	+	ENST00000698881	PTPRJ	PTPRJ
chr11	62141500	62141511	12	+	ENST00000394818	INCENP	INCENP
chr11	120406118	120406141	24	+	ENST00000397843	ARHGEF12	ARHGEF12
chr11	123578410	123578430	21	+	ENST00000456860	GRAMD1B	GRAMD1B
chr11	123584312	123584332	21	+	ENST00000456860	GRAMD1B	GRAMD1B
chr11	123584312	123584332	21	+	ENST00000529750	GRAMD1B	GRAMD1B
chr11	123584312	123584332	21	+	ENST00000638157	GRAMD1B	GRAMD1B
chr11	123618345	123618356	12	+	ENST00000456860	GRAMD1B	GRAMD1B
chr11	123618345	123618356	12	+	ENST00000529750	GRAMD1B	GRAMD1B
chr11	5665656	5665682	27	-	ENST00000380034	TRIM5	TRIM5
chr11	5667689	5667711	23	-	ENST00000380034	TRIM5	TRIM5
chr11	65662179	65662205	27	-	ENST00000612991	RELA	RELA
chr11	70489328	70489348	21	-	ENST00000656230	SHANK2	SHANK2
chr11	70500570	70500590	21	-	ENST00000656230	SHANK2	SHANK2
chr11	70501923	70501931	9	-	ENST00000656230	SHANK2	SHANK2
chr12	64787360	64787381	22	+	ENST00000674237	TBC1D30	TBC1D30
chr12	9110314	9110334	21	-	ENST00000318602	A2M	A2M
chr12	47998415	47998431	17	-	ENST00000380518	COL2A1	COL2A1
chr12	81374749	81374768	20	-	ENST00000545296	PPFIA2	PPFIA2
chr12	98782126	98782137	12	-	ENST00000333732	ANKS1B	ANKS1B
chr12	110377591	110377617	27	-	ENST00000548234	ANAPC7	ANAPC7
chr12	110499535	110499546	12	-	ENST00000360579	VPS29	VPS29
chr13	50960145	50960171	27	+	ENST00000646960	RNASEH2B	RNASEH2B
chr13	54572354	54572379	26	+	ENST00000666524	ENSG00000287460	ENSG00000287460
chr13	54572357	54572379	23	+	ENST00000663979	ENSG00000287460	ENSG00000287460
chr13	21425652	21425678	27	-	ENST00000382466	ZDHHC20	ZDHHC20
chr13	37026790	37026816	27	-	ENST00000360252	SUPT20H	SUPT20H
chr14	21310584	21310607	24	+	ENST00000400017	RPGRIP1	RPGRIP1
chr15	49028144	49028168	25	-	ENST00000559471	SECISBP2L	SECISBP2L
chr15	64825593	64825617	25	-	ENST00000560504	PIF1	PIF1
chr15	72217484	72217500	17	-	ENST00000389093	PKM	PKM
chr15	73563236	73563257	22	-	ENST00000351217	NPTN	NPTN
chr16	1758148	1758159	12	+	ENST00000356010	MAPK8IP3	MAPK8IP3
chr16	28905867	28905878	12	-	ENST00000358201	RABEP2	RABEP2
chr16	28966416	28966436	21	-	ENST00000651604	NFATC2IP-AS1	NFATC2IP-AS1
chr16	57771671	57771686	16	-	ENST00000565684	KIFC3	KIFC3
chr16	69335326	69335348	23	-	ENST00000562595	COG8	COG8
chr17	44779222	44779239	18	+	ENST00000200557	ADAM11	ADAM11
chr17	44779222	44779239	18	+	ENST00000535346	ADAM11	ADAM11
chr17	56895926	56895952	27	-	ENST00000316881	TRIM25	TRIM25
chr17	75146666	75146684	19	-	ENST00000409753	JPT1	JPT1
chr17	78696007	78696009	3	-	ENST00000446868	CYTH1	CYTH1
chr18	2718212	2718235	24	+	ENST00000583441	SMCHD1	SMCHD1
chr18	693882	693908	27	-	ENST00000647584	ENOSF1	ENOSF1
chr19	582306	582330	25	+	ENST00000333511	BSG	BSG
chr19	582306	582330	25	+	ENST00000353555	BSG	BSG
chr19	17217453	17217462	10	+	ENST00000263897	USE1	USE1
chr19	17275801	17275825	25	+	ENST00000598188	BABAM1	BABAM1
chr19	35009423	35009443	21	+	ENST00000600231	GRAMD1A	GRAMD1A
chr19	35009423	35009443	21	+	ENST00000680623	GRAMD1A	GRAMD1A
chr19	37127128	37127139	12	+	ENST00000589461	ZNF420	ZNF420
chr19	39483135	39483156	22	+	ENST00000544017	TIMM50	TIMM50
chr19	17009303	17009320	18	-	ENST00000291440	CPAMD8	CPAMD8
chr19	17009303	17009320	18	-	ENST00000443236	CPAMD8	CPAMD8
chr19	17020331	17020353	23	-	ENST00000291440	CPAMD8	CPAMD8
chr19	17020331	17020353	23	-	ENST00000443236	CPAMD8	CPAMD8
chr20	20022456	20022480	25	+	ENST00000484480	NAA20	NAA20
chr20	41029431	41029455	25	+	ENST00000361337	TOP1	TOP1
chr20	46056897	46056911	15	+	ENST00000243964	SLC12A5	SLC12A5
chr20	63943653	63943669	17	-	ENST00000369908	UCKL1	UCKL1
chr21	39556484	39556510	27	+	ENST00000475838	B3GALT5	B3GALT5
chr22	44140124	44140143	20	+	ENST00000338758	PARVB	PARVB
chrX	48514127	48514141	15	+	ENST00000359882	PORCN	PORCN
chrX	92468299	92468322	24	+	ENST00000682573	PCDH11X	PCDH11X
chrX	150712342	150712365	24	+	ENST00000445323	MTMR1	MTMR1
chrX	15828192	15828200	9	-	ENST00000672063	AP1S2	AP1S2
chrX	131286437	131286463	27	-	ENST00000370900	IGSF1	IGSF1
chrX	131286437	131286463	27	-	ENST00000370901	IGSF1	IGSF1
chrX	154357251	154357274	24	-	ENST00000369850	FLNA	FLNA
chrX	154357251	154357274	24	-	ENST00000369856	FLNA	FLNA
