isoform_id	IR	IR_genomic_start	IR_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000635736	1	123623056	123626593	ENSG00000023171	GRAMD1B	123359288,123363907,123363966,123364050,123366155,123366157,123369169,123370183,123371128,123371613,123371727,123371905,123375980,123378782,123378865,123381560,123383076,123384015,123391885,123392088,123392570,123393541,123395152,123395494,123398314,123401163,123403295,123403688,123405189,123405941,123405947,123406878,123406947,123408362,123408794,123409250,123412402,123412432,123415614,123415876,123417419,123418984,123421145,123421570,123423933,123440171,123441350,123442274,123449303,123449695,123453225,123454947,123455554,123455600,123457859,123458049,123459108,123459534,123460835,123463793,123463819,123470175,123474089,123474317,123476796,123478386,123479115,123481743,123482617,123491497,123492452,123494075,123497226,123499267,123500189,123501991,123502222,123502224,123502335,123512585,123513801,123514616,123516205,123516512,123518237,123518523,123519631,123520905,123521058,123528565,123531880,123532224,123532751,123533114,123534063,123534991,123535691,123536283,123537417,123538121,123538132,123539679,123540867,123542225,123542438,123548044,123548523,123548525,123549853,123550378,123550428,123551693,123553319,123554424,123556373,123556375,123557605,123559389,123560588,123566133,123569593,123572410,123575062,123576198,123577110,123578393,123578395,123578397,123580200,123580525,123581872,123582997,123583130,123583150,123583158,123583234,123583276,123583327,123583350,123588646,123591214,123591485,123591744,123591785,123592460,123597241,123597820,123600800,123600802,123601321,123604353,123604952,123605820,123605822,123607202,123607579,123607780,123609143,123609241,123611669,123613709,123613733,123614265,123615071,123617328,123617949,123619357,123621435,123623771,123623996,123624145,123627384
ENST00000515353	2	177607528;177608623	177608538;177608909	ENSG00000027847	B4GALT7	177600625,177604011,177607368,177608752,177608959,177609228,177609497,177609896,177610092
ENST00000705522	1	41672427	41672515	ENSG00000029534	ANK1	41655705,41656237,41660665,41661399,41661728,41666251,41666596,41666794,41667432,41670008,41670435,41670663,41671311,41672750,41673025,41673027,41673552,41673736,41674058,41674300,41674676,41675936,41678058,41678060,41678283,41680908,41681596,41681880,41682374,41683091,41683103,41683185,41683187,41683565,41683703,41685073,41687004,41688485,41689267,41690096,41692458,41692723,41693367,41693582,41694350,41704728,41707933,41709428,41709804,41712712,41713721,41715658,41716760,41717204,41717212,41717260,41719373,41720292,41720294,41720862,41722241,41726894,41726959,41726961,41727726,41728335,41731342,41732225,41733088,41733873,41735991,41736917,41737534,41739849,41740939,41741025,41742840,41743872,41747091,41749223,41750715,41752237,41753485,41753487,41753489,41753598,41754746,41756587,41759767,41760078,41761120,41761142,41761144,41761146,41761170,41761184,41761278,41761316,41761348,41761466,41761655,41762296,41763084,41764169,41764171,41767785,41767904,41768128,41770126,41771734,41773734,41773736,41775155,41776093,41779149,41780689,41780721,41780729,41780739,41780757,41780813,41780815,41780817,41780819,41781226,41782245,41782268,41783248,41783518,41783922,41783932,41784592,41784594,41784766,41784768,41785228,41785577,41788145,41790687,41790689,41793938,41794011,41794352,41795996,41799332,41802461,41802463,41806343,41806345,41808212,41809016,41809391,41809636,41812459,41812815,41814400,41814827,41816201,41817823,41819020,41819763,41821531,41821533,41824333,41826769,41827792,41827836,41827895,41827941,41830978,41831383,41831385,41832160,41834152,41834720,41834806,41837555,41838945,41839273,41839275,41839962,41841299,41844019,41845863,41846012,41846014,41847620,41847827,41848754,41850907,41851725,41851997,41856574,41861247,41862880,41865657,41870226,41871777,41873972,41873991,41874009,41874037,41878052,41878600,41878683,41878714,41880146,41880575,41882333,41882703,41883271,41886332,41889334,41889341,41889882,41890258,41890277,41891009,41891015,41891877,41893211,41893358,41893737,41893757
ENST00000347528	1	41672427	41672515	ENSG00000029534	ANK1	41655705,41656237,41660665,41661399,41661728,41666251,41666596,41666794,41667432,41670008,41670435,41670663,41671311,41672750,41673025,41673027,41673552,41673736,41674058,41674300,41674676,41675936,41678058,41678060,41678283,41680908,41681596,41681880,41682374,41683091,41683103,41683185,41683187,41683565,41683703,41685073,41687004,41688485,41689267,41690096,41692458,41692723,41693367,41693582,41694350,41704728,41707933,41709428,41709804,41712712,41713721,41715658,41716760,41717204,41717212,41717260,41719373,41720292,41720294,41720862,41722241,41726894,41726959,41726961,41727726,41728335,41731342,41732225,41733088,41733873,41735991,41736917,41737534,41739849,41740939,41741025,41742840,41743872,41747091,41749223,41750715,41752237,41753485,41753487,41753489,41753598,41754746,41756587,41759767,41760078,41761120,41761142,41761144,41761146,41761170,41761184,41761278,41761316,41761348,41761466,41761655,41762296,41763084,41764169,41764171,41767785,41767904,41768128,41770126,41771734,41773734,41773736,41775155,41776093,41779149,41780689,41780721,41780729,41780739,41780757,41780813,41780815,41780817,41780819,41781226,41782245,41782268,41783248,41783518,41783922,41783932,41784592,41784594,41784766,41784768,41785228,41785577,41788145,41790687,41790689,41793938,41794011,41794352,41795996,41799332,41802461,41802463,41806343,41806345,41808212,41809016,41809391,41809636,41812459,41812815,41814400,41814827,41816201,41817823,41819020,41819763,41821531,41821533,41824333,41826769,41827792,41827836,41827895,41827941,41830978,41831383,41831385,41832160,41834152,41834720,41834806,41837555,41838945,41839273,41839275,41839962,41841299,41844019,41845863,41846012,41846014,41847620,41847827,41848754,41850907,41851725,41851997,41856574,41861247,41862880,41865657,41870226,41871777,41873972,41873991,41874009,41874037,41878052,41878600,41878683,41878714,41880146,41880575,41882333,41882703,41883271,41886332,41889334,41889341,41889882,41890258,41890277,41891009,41891015,41891877,41893211,41893358,41893737,41893757
ENST00000515144	1	14488261	14488447	ENSG00000038382	TRIO	14146429,14149136,14150216,14150418,14151050,14151280,14151879,14152276,14153118,14160857,14162857,14163125,14163127,14163669,14164437,14164811,14165317,14165356,14166268,14168608,14169080,14169842,14170441,14171199,14173355,14174204,14175767,14177383,14179581,14180992,14186722,14189610,14190940,14191129,14193115,14194046,14206820,14207575,14208380,14208422,14212007,14214058,14215226,14216085,14216487,14217061,14220646,14226404,14228386,14230478,14233682,14235720,14237458,14238241,14238380,14238536,14238588,14239720,14242986,14249137,14249532,14249756,14249896,14250340,14252945,14253168,14254466,14255501,14259740,14260454,14261971,14262128,14263269,14263736,14263848,14267486,14270123,14274750,14276313,14278294,14278907,14279760,14279762,14283514,14283528,14283649,14287211,14287506,14295004,14295262,14299305,14299337,14301761,14305238,14306614,14307534,14309104,14311044,14312209,14313417,14316767,14321422,14321517,14322380,14324848,14325084,14327789,14328061,14329636,14329831,14330511,14330513,14331744,14331746,14332496,14333725,14335960,14337204,14338472,14343132,14343502,14345239,14347766,14348506,14348582,14348588,14348590,14348617,14348635,14348637,14348699,14348779,14348896,14349058,14349115,14349117,14349991,14350709,14350971,14351626,14355142,14356762,14357143,14357570,14357981,14358749,14363603,14363687,14363831,14365314,14367814,14370034,14374379,14375237,14376429,14376784,14376786,14379540,14380759,14383386,14383388,14385284,14385582,14387050,14387138,14389369,14390727,14390970,14391753,14392620,14393722,14393739,14394976,14396614,14397132,14398313,14399505,14399812,14400422,14401892,14401915,14402468,14405049,14406263,14411162,14411203,14413358,14415996,14418939,14420109,14420631,14422161,14423006,14429405,14430353,14433440,14434964,14434966,14436025,14436711,14437625,14440569,14442155,14442512,14446482,14446603,14446605,14448457,14452088,14452571,14452573,14452678,14457770,14461906,14463263,14463327,14463329,14463875,14467682,14468992,14470613,14472371,14472562,14473893,14474107,14477088,14481288,14482022,14482251,14483718,14486914,14489185,14490560,14490562,14491718,14491898,14493425,14496357,14498082,14499060,14499421,14503020,14505696,14507756,14507758,14510095,14513089,14514437,14515081,14515083,14516925,14518960,14524678,14524703,14526592,14529326
ENST00000375153	1	19312359	19312728	ENSG00000040487	SLC66A1	19313999,19315969,19315971,19316283,19317393,19319153,19323743,19323745,19323747,19323934,19324603
ENST00000640027	1	93806101;93807636	93807501;93809716	ENSG00000042429	MED17	93786337,93790164,93790549,93797132,93797255,93799690,93799810,93801275,93804618,93806967,93809735,93810954,93811543,93811698,93812306,93812583
ENST00000682562	2	13752704;13753442;13769358	13753368;13755150;13769684	ENSG00000046651	OFD1	13738292,13741778,13743508,13744738,13745362,13749542,13752715,13757462,13758112,13759397,13759399,13760299,13761460,13761855,13762912,13763738,13770321,13770323,13771314,13773561,13773817,13774409,13776582
ENST00000454189	1	13773031	13773953	ENSG00000046653	GPM6B	13771314,13773561,13773817,13774409,13776582,13789192,13789283,13796597,13797854,13799152,13803662,13804692,13805465,13806333,13809300,13810542,13812615,13815346,13816448,13816450,13816517,13817495,13819647,13819649,13819695,13821741,13823903,13827891,13827984,13828861,13829377,13829379,13830178,13833599,13834521,13835126,13836381,13836383,13836840,13836842,13838676,13840197,13840990,13840992,13840994,13841008,13841025,13841081,13841083,13841146,13846221,13846924,13849022,13850762,13851031,13851629,13853472,13853649,13855692,13856798,13857711,13858019,13858021,13860083,13860874,13861270,13864223,13865320,13867017,13867784,13870154,13870266,13871640,13874810,13875197,13875199,13875331,13876846,13876953,13878901,13880134,13880960,13880962,13886961,13888291,13888604,13890456,13892012,13893832,13903340,13903842,13906208,13907551,13908128,13908793,13909849,13911040,13913294,13915768,13918031,13921916,13924181,13925304,13926676,13932654,13934392,13934582,13934643
ENST00000487842	2	17744220;17745540	17745455;17746014	ENSG00000047634	SCML1	17740417,17742529,17746811,17747550,17748348,17749804,17750068,17753667
ENST00000680586	1	15560623	15563309	ENSG00000048342	CC2D2A	15473426,15474049,15474337,15474671,15476014,15476996,15477868,15478460,15480923,15483325,15484789,15488858,15490223,15490370,15490894,15490896,15492596,15494007,15498342,15498555,15500520,15500522,15502601,15505818,15506672,15509682,15509938,15509940,15509942,15510645,15510738,15520784,15522210,15522218,15522652,15526441,15527155,15529254,15529595,15530971,15532761,15533432,15534097,15536371,15536373,15536418,15537364,15537396,15538198,15538210,15538351,15539276,15542360,15542362,15545567,15546819,15547855,15547907,15547953,15556597,15558141,15558143,15558190,15561093,15561436,15563177,15563868,15568731,15569373,15572464,15575227,15579887,15580506,15580972,15580974,15581525,15584345,15585415,15587188,15587852,15588123,15588365,15590174,15591079,15591092,15591364,15592840,15594763,15596019,15596035,15596964,15597282,15598349,15599030,15599191,15599344
ENST00000361923	1	7829952	7830005	ENSG00000049246	PER3	7786521,7786846,7788340,7788772,7789590,7789835,7789837,7796463,7798047,7799642,7799644,7799741,7801267,7807271,7807487,7809517,7810023,7813955,7814411,7819709,7822712,7822714,7823510,7824554,7826520,7827424,7828234,7835149,7837225,7837345,7838789,7839770,7843464,7844297
ENST00000545974	1	123162219	123163013	ENSG00000051825	MPHOSPH9	123153115,123155975,123158473,123162653,123166843,123170783,123171980,123172009,123175622,123176642,123177775,123181127,123184392,123190740,123191910,123193223,123196443,123197650,123198306,123198872,123206782,123208273,123209077,123212117,123212575,123223358,123226132,123229738,123231321,123231823,123233107,123240454
ENST00000515848	1	25413743	25414323	ENSG00000053900	ANAPC4	25378007,25378124,25378149,25379410,25380900,25382666,25383675,25387858,25390752,25390845,25393931,25394345,25395026,25396081,25405003,25405775,25410193,25413759,25416358,25417652
ENST00000464000	1	52814072	52814208	ENSG00000055955	ITIH4	52816667,52817117,52817467,52818991,52821687,52821945,52825152,52826752,52828162,52829571,52829673,52830018
ENST00000411549	1	38126342	38126509	ENSG00000060971	ACAA1	38104007,38105608,38107507,38108317,38108319,38108429,38110014,38110807,38110831,38110851,38110875,38110925,38111932,38115060,38115062,38118129,38118153,38118257,38118259,38118261,38119687,38121194,38121872,38122721,38123381,38124747,38126101,38128141,38132486,38134242,38135121
ENST00000490316	1	150762738	150764511	ENSG00000063601	MTMR1	150694498,150694925,150700882,150701338,150702373,150708266,150709229,150711570,150711713,150712802,150712977,150712979,150713240,150713979,150714458,150714892,150715215,150716602,150718039,150718041,150718043,150719118,150721645,150722192,150723320,150724374,150728236,150729259,150730184,150730237,150730239,150731429,150733763,150734623,150735401,150736874,150738478,150739186,150739611,150741863,150746364,150748840,150754180,150763185
ENST00000679053	3	45895134;45897041;45897807	45896964;45897716;45898004	ENSG00000064601	CTSA	45890378,45892853,45894093,45897565
ENST00000484855	3	45895134;45897041;45897807	45896964;45897716;45898004	ENSG00000064601	CTSA	45890378,45892853,45894093,45897565
ENST00000433129	1	1042315;1042398	1042320;1042745	ENSG00000064687	ABCA7	1041681,1041749,1045420,1047794,1056051,1056516,1056863,1057333,1059137,1059905,1061997
ENST00000551296	1	55936568	55937016	ENSG00000065357	DGKA	55930986,55939759,55939761,55939883,55940851,55949161,55949163,55949165,55949916,55951038,55951477,55952397,55952802,55952804,55953368
ENST00000332435	1	30061414	30061514	ENSG00000066379	POLR1H	30059683
ENST00000591753	2	42563323;42564176	42563960;42564445	ENSG00000068120	NA	NA
ENST00000591490	2	42668304;42669699	42669429;42669917	ENSG00000068137	PLEKHH3	42668287,42672145
ENST00000459854	2	19450745;19452001	19451877;19454748	ENSG00000070010	UFD1	19451819,19452012,19452839,19456812,19457009,19461980,19462144,19465184,19466565,19467473,19469056,19469503,19475385
ENST00000239940	1	149966265	149966315	ENSG00000070087	PFN2	149965745,149965747,149965955,149968324,149973571,149978677,149978679,149980651,149980952,149986935,149987304,149991065,149991119,149991121,149991213,149992885,149992887,149993195,149993197,149995794,149997965,149998569,149998571,149999019,149999237,150002187,150003329,150005461,150005681,150006940,150011428,150012458,150012460,150016204,150018090,150018103,150020599,150020752,150021132,150022328,150024877,150025802,150027857,150029301,150030065,150031984,150032275,150035003,150036437,150037330,150039421,150040310,150040312,150041748,150042075,150045637,150046615,150047000,150047886
ENST00000506054	1	147864957	147866711	ENSG00000071205	ARHGAP10	147733292,147736196,147736198,147740981,147743645,147744896,147746248,147747614,147752206,147755931,147759697,147760634,147761161,147764461,147765820,147766754,147767433,147771390,147771606,147771621,147771623,147773682,147775376,147777136,147777985,147778197,147780360,147780632,147786079,147792465,147793006,147794667,147794772,147796237,147797362,147799179,147802707,147802831,147803377,147806096,147808422,147808635,147809352,147809750,147812898,147818796,147819624,147820245,147820735,147821041,147821043,147823269,147824190,147826378,147838677,147840324,147841108,147843177,147843179,147843954,147845423,147845526,147845801,147847973,147851367,147851369,147854148,147862215,147862217,147863181,147864459,147868381,147873402,147879270,147879530,147879532,147879615,147881506,147882710,147886021,147889857,147892267,147892332,147893008,147895205,147897566,147899322,147899729,147900139,147903384,147904474,147904697,147906656,147909841,147909921,147914018,147914020,147914611,147915427,147917099,147920589,147920749,147921050,147921052,147922842,147923348,147923363,147923672,147928866,147930977,147932346,147932970,147933132,147933751,147935415,147937600,147938127,147940375,147940377,147942485,147944558,147946626,147950365,147951491,147961432,147964497,147964499,147964622,147966101,147966259,147966436,147966516,147975606,147978133,147983026,147983034,147983576,147985052,147985330,147985417,147985649,147985746,147991125,147991625,147992059,147992222,147993158,147993912,147995704,147996833,148000391,148003807,148005197,148005890,148006865,148007863,148011997,148011999,148014197,148015243,148015245,148020414,148023616,148024428,148024430,148025288,148026967,148030786,148031267,148035878,148040034,148041069,148042401,148045606,148047388,148051832,148057266,148057967,148060768,148065566,148070642,148071232,148071234,148071719
ENST00000491569	1	154428854;154429174	154429047;154431657	ENSG00000071553	ATP6AP1	154432372
ENST00000262965	1	1610501	1611703	ENSG00000071564	TCF3	1613948,1614017,1614027,1619182,1619395,1619549,1621955,1622472,1626934,1627075,1633913,1639803,1642104,1644378,1648255
ENST00000590550	1	1578159	1578334	ENSG00000071655	MBD3	1577679,1582232
ENST00000464419	1	154449736	154449882	ENSG00000071859	FAM50A	154444277,154447066,154449238,154450212
ENST00000462545	1	219464609	219466056	ENSG00000072195	SPEG	219434977,219435299,219435992,219436008,219438574,219439013,219439015,219439017,219439019,219439996,219440255,219440695,219443368,219443761,219450787,219451934,219455801,219457847,219462786,219463223,219465804,219465842,219465844,219465846,219465856,219465884,219465906,219465948,219465962,219465976,219466213,219466383,219471519,219472489,219476477,219480824,219480848,219481540,219483000,219486303,219487175,219487256
ENST00000477054	1	39906272	39906960	ENSG00000073605	GSDMB	39904599,39905151,39905299,39905757,39909512,39911583,39916919,39917460,39919170,39919555
ENST00000556463	1	103491108	103491776	ENSG00000075413	MARK3	103389396,103390668,103390670,103390865,103390867,103393664,103398177,103398179,103398918,103401370,103402076,103402606,103403687,103404292,103406035,103407484,103408658,103413019,103413201,103414802,103415760,103415762,103421832,103430060,103434541,103437810,103437963,103438522,103441011,103445959,103449240,103450568,103451075,103451856,103452222,103461212,103462911,103466459,103468699,103469326,103470600,103471639,103473071,103474465,103476773,103476797,103479165,103479785,103481094,103482702,103484276,103485950,103489092,103489094,103492308,103492400,103492402,103492645,103496557,103496910,103497176,103497178,103498729,103498747,103498892,103499900,103500950
ENST00000551812	1	56615129	56615218	ENSG00000076108	BAZ2A	56599459,56604613,56605384,56606236,56610633,56610635,56613914,56614797,56614893,56616393,56620305,56621137
ENST00000549884	1	56615129	56615218	ENSG00000076108	BAZ2A	56599459,56604613,56605384,56606236,56610633,56610635,56613914,56614797,56614893,56616393,56620305,56621137
ENST00000703405	1	38412596	38412727	ENSG00000077782	FGFR1	38402154,38407677,38407822,38409168,38409948,38410344,38412493,38413302,38413993,38414973,38415147,38419647,38420143,38420145,38421083,38421539,38421734,38421814,38422331,38424101,38426789,38426802,38427904,38428041,38428043,38436243,38440628,38440630,38442488,38445505,38447460,38455357,38456662,38460245,38461015,38461017,38461135
ENST00000532791	1	38412596	38412727	ENSG00000077782	FGFR1	38402154,38407677,38407822,38409168,38409948,38410344,38412493,38413302,38413993,38414973,38415147,38419647,38420143,38420145,38421083,38421539,38421734,38421814,38422331,38424101,38426789,38426802,38427904,38428041,38428043,38436243,38440628,38440630,38442488,38445505,38447460,38455357,38456662,38460245,38461015,38461017,38461135
ENST00000397091	1	38412596	38412727	ENSG00000077782	FGFR1	38402154,38407677,38407822,38409168,38409948,38410344,38412493,38413302,38413993,38414973,38415147,38419647,38420143,38420145,38421083,38421539,38421734,38421814,38422331,38424101,38426789,38426802,38427904,38428041,38428043,38436243,38440628,38440630,38442488,38445505,38447460,38455357,38456662,38460245,38461015,38461017,38461135
ENST00000584470	1	225140	225336	ENSG00000079134	THOC1	214716,218028,223916,227033,227679,229550,229795,238738,239776,249819,249958,251893,258533,259824,263668
ENST00000680064	1	36677185	36679626	ENSG00000079215	SLC1A3	36599966,36600423,36600499,36605011,36605578,36606268,36606612,36607844,36610310,36619774,36621423,36621793,36623275,36623720,36623722,36626571,36628679,36629683,36629748,36630295,36630813,36631453,36632013,36633339,36636841,36639608,36639756,36639831,36641217,36642575,36646275,36651039,36651041,36651641,36652150,36654694,36654712,36655406,36655631,36660219,36661602,36667980,36669418,36670656,36670812,36671171,36672251,36672869,36675212,36675214,36675568,36676571,36676573,36678443,36678866,36681203,36681687,36682049,36682589,36682770,36682772,36684934,36688259
ENST00000444746	1	151475389	151480097	ENSG00000080345	RIF1	151410750,151411038,151412998,151417863,151419115,151419117,151422300,151423269,151424202,151425589,151425591,151428741,151431445,151435336,151437288,151439532,151440981,151447938,151449278,151449519,151449790,151452905,151455434,151455686,151461342,151465226,151466012,151467421,151469218,151474544,151475696,151475756,151475821,151479101,151481190,151481192,151481801,151484177,151486746,151487036,151487187,151487387,151487407,151490064,151490223,151491467,151492190,151503678,151504196
ENST00000243326	1	151475389	151480097	ENSG00000080345	RIF1	151410750,151411038,151412998,151417863,151419115,151419117,151422300,151423269,151424202,151425589,151425591,151428741,151431445,151435336,151437288,151439532,151440981,151447938,151449278,151449519,151449790,151452905,151455434,151455686,151461342,151465226,151466012,151467421,151469218,151474544,151475696,151475756,151475821,151479101,151481190,151481192,151481801,151484177,151486746,151487036,151487187,151487387,151487407,151490064,151490223,151491467,151492190,151503678,151504196
ENST00000477774	1	108042265	108042566	ENSG00000081087	OSTM1	108029431,108029470,108035051,108035220,108036653,108037010,108037427,108038483,108038485,108039784,108039786,108041781,108043769,108044528,108055981,108057203,108066786,108067268,108067790,108071967,108075150,108076886,108077244,108078024,108078221,108080409,108086602,108088254,108092380,108094348,108099536,108101267,108103681,108103694,108106954,108110732,108111439,108111857,108116733,108123264,108124352,108125609,108126469,108127390,108130048,108130058,108131573,108132300,108132447,108133230,108141647,108143064,108144401,108146413,108146415,108153588,108154710,108157250,108159718,108159885
ENST00000193322	1	108042265	108042566	ENSG00000081087	OSTM1	108029431,108029470,108035051,108035220,108036653,108037010,108037427,108038483,108038485,108039784,108039786,108041781,108043769,108044528,108055981,108057203,108066786,108067268,108067790,108071967,108075150,108076886,108077244,108078024,108078221,108080409,108086602,108088254,108092380,108094348,108099536,108101267,108103681,108103694,108106954,108110732,108111439,108111857,108116733,108123264,108124352,108125609,108126469,108127390,108130048,108130058,108131573,108132300,108132447,108133230,108141647,108143064,108144401,108146413,108146415,108153588,108154710,108157250,108159718,108159885
ENST00000469154	1	151240523	151241491	ENSG00000082014	SMARCD3	151239271,151240574,151242907,151244314,151248259,151250867,151253451,151254270,151255520,151255598,151255660,151255876,151257002,151257759,151258433,151259754,151261514,151261964,151266856,151267231,151272236,151273127,151274677,151277434
ENST00000470588	1	151240248	151240424	ENSG00000082014	SMARCD3	151239271,151240574,151242907,151244314,151248259,151250867,151253451,151254270,151255520,151255598,151255660,151255876,151257002,151257759,151258433,151259754,151261514,151261964,151266856,151267231,151272236,151273127,151274677,151277434
ENST00000370479	1	70524343;70525192	70524931;70525863	ENSG00000082269	FAM135A	70418048,70422666,70425740,70428730,70438844,70446407,70446863,70449323,70450075,70452560,70452562,70453461,70453880,70463156,70464811,70465122,70470282,70471663,70472785,70475198,70476226,70476380,70477295,70484309,70484631,70486177,70487264,70496103,70502499,70502501,70503368,70503370,70504221,70511453,70518936,70520644,70522344,70534464,70538106,70538108,70538710,70540818,70545348,70545350,70545876,70559309,70561097
