isoform_id	OTHER	SP_Sec_SPI	CS_Position	aa_removed	transcriptClevageAfter	genomicClevageAfter	has_signal_peptide
ENST00000264005.10	0.001309	0.998681	CS pos: 24-25. Pr: 0.9617	24	91	67944030	yes
ENST00000264025.8	2.43e-4	0.999724	CS pos: 30-31. Pr: 0.9785	30	737	119678755	yes
ENST00000264723.9	0.004144	0.995836	CS pos: 29-30. Pr: 0.8449	29	259	47578607	yes
ENST00000264748.6	2.97e-4	0.999682	CS pos: 25-26. Pr: 0.5434	25	110	1012560	yes
ENST00000264914.10	0.1009	0.89906	CS pos: 38-39. Pr: 0.8607	38	176	78985135	yes
ENST00000265993.13	0.01963	0.980325	CS pos: 40-41. Pr: 0.9324	40	310	95693834	yes
ENST00000266041.9	2.28e-4	0.999741	CS pos: 28-29. Pr: 0.9775	28	114	52830559	yes
ENST00000268603.9	2.04e-4	0.999804	CS pos: 22-23. Pr: 0.9798	22	547	65004804	yes
ENST00000269571.10	2.32e-4	0.999738	CS pos: 22-23. Pr: 0.8573	22	241	39700304	yes
ENST00000270139.8	5.67e-4	0.999425	CS pos: 22-23. Pr: 0.9710	22	152	33325121	yes
ENST00000271651.8	3.12e-4	0.999637	CS pos: 15-16. Pr: 0.9681	15	93	150806761	yes
ENST00000272902.10	5.93e-4	0.999406	CS pos: 33-34. Pr: 0.9635	33	123	4467147	yes
ENST00000273308.9	2.38e-4	0.999739	CS pos: 20-21. Pr: 0.9807	20	253	56315158	yes
ENST00000274170.8	2.14e-4	0.999779	CS pos: 24-25. Pr: 0.9802	24	330	19838915	yes
ENST00000274569.9	0.043269	0.956729	CS pos: 20-21. Pr: 0.9046	20	83	149358128	yes
ENST00000278071.6	0.207002	0.792975	CS pos: 24-25. Pr: 0.6001	24	525	104315980	yes
ENST00000278198.2	0.052554	0.947415	CS pos: 44-45. Pr: 0.8870	44	2096	40116161	yes
ENST00000278407.9	2.47e-4	0.999732	CS pos: 22-23. Pr: 0.9059	22	126	57599893	yes
ENST00000279035.14	2.12e-4	0.999742	CS pos: 23-24. Pr: 0.8863	23	142	45416225	yes
ENST00000279036.12	2.12e-4	0.999737	CS pos: 23-24. Pr: 0.9067	23	85	45416225	yes
ENST00000281171.9	2.78e-4	0.999704	CS pos: 29-30. Pr: 0.9761	29	306	15483985	yes
ENST00000281821.7	4.69e-4	0.999522	CS pos: 19-20. Pr: 0.9507	19	113	221572192	yes
ENST00000282020.9	0.002152	0.997814	CS pos: 23-24. Pr: 0.8668	23	760	92304725	yes
ENST00000282397.9	2.6e-4	0.99974	CS pos: 26-27. Pr: 0.8224	26	363	28467604	yes
ENST00000282903.10	2.51e-4	0.99971	CS pos: 25-26. Pr: 0.9747	25	270	146160915	yes
ENST00000284322.10	3.05e-4	0.999642	CS pos: 28-29. Pr: 0.5093	28	194	100993322	yes
ENST00000285273.8	0.001283	0.998691	CS pos: 21-22. Pr: 0.9294	21	1175	52072392	yes
ENST00000287272.6	0.001656	0.998308	CS pos: 33-34. Pr: 0.9481	33	119	35235883	yes
ENST00000289577.9	3.47e-4	0.999653	CS pos: 29-30. Pr: 0.9635	29	168	44582120	yes
ENST00000290460.7	2.34e-4	0.999723	CS pos: 25-26. Pr: 0.9067	25	137	43343187	yes
ENST00000290510.10	0.054317	0.94566	CS pos: 20-21. Pr: 0.8841	20	94	6828500	yes
ENST00000294785.10	2.76e-4	0.999683	CS pos: 33-34. Pr: 0.9784	33	113	160344735	yes
ENST00000295718.7	2.97e-4	0.999648	CS pos: 34-35. Pr: 0.8793	34	171	219309231	yes
ENST00000295754.10	3.65e-4	0.999619	CS pos: 23-24. Pr: 0.7977	23	352	30606952	yes
ENST00000295894.9	0.274149	0.72582	CS pos: 20-21. Pr: 0.4854	20	429	63480867	yes
ENST00000296350.10	3.06e-4	0.999669	CS pos: 19-20. Pr: 0.9722	19	172	197027903	yes
ENST00000296351.8	3.06e-4	0.999669	CS pos: 19-20. Pr: 0.9722	19	146	197027903	yes
ENST00000296444.7	2.39e-4	0.999736	CS pos: 28-29. Pr: 0.9700	28	164	48501286	yes
ENST00000296575.8	2.21e-4	0.999749	CS pos: 23-24. Pr: 0.9766	23	589	144646744	yes
ENST00000299240.10	0.350325	0.649664	CS pos: 38-39. Pr: 0.3324	38	137	43359068	yes
ENST00000300128.9	0.259884	0.740107	CS pos: 43-44. Pr: 0.3680	43	175	57072911	yes
ENST00000300289.10	4.04e-4	0.999574	CS pos: 24-25. Pr: 0.9698	24	174	43746611	yes
ENST00000302251.9	0.00363	0.996334	CS pos: 18-19. Pr: 0.8302	18	506	104163874	yes
ENST00000302278.8	1.97e-4	0.999765	CS pos: 20-21. Pr: 0.9759	20	146	32935499	yes
ENST00000302287.7	2.37e-4	0.999743	CS pos: 24-25. Pr: 0.9512	24	478	54542802	yes
ENST00000302401.8	0.001097	0.998893	CS pos: 24-25. Pr: 0.9731	24	592	2159882	yes
ENST00000302913.8	3.76e-4	0.999612	CS pos: 31-32. Pr: 0.9714	31	232	100894140	yes
ENST00000303143.9	3.51e-4	0.99963900000000006	CS pos: 21-22. Pr: 0.8707	21	70	36100180	yes
ENST00000303334.9	2.37e-4	0.99977	CS pos: 26-27. Pr: 0.9768	26	120	66961385	yes
ENST00000307116.6	2.3e-4	0.99975	CS pos: 17-18. Pr: 0.9791	17	168	73074833	yes
ENST00000308370.11	5.5e-4	0.999423	CS pos: 27-28. Pr: 0.9597	27	81	40597315	yes
ENST00000309212.11	0.002549	0.997439	CS pos: 32-33. Pr: 0.3045	32	147	1355730	yes
ENST00000309777.11	0.00155	0.998456	CS pos: 23-24. Pr: 0.7926	23	100	32221966	yes
ENST00000310123.8	2.24e-4	0.999738	CS pos: 19-20. Pr: 0.9784	19	436	35134624	yes
ENST00000310397.13	2.75e-4	0.99972	CS pos: 24-25. Pr: 0.9653	24	292	240998909	yes
ENST00000311127.9	0.129083	0.870879	CS pos: 28-29. Pr: 0.8067	28	191	125055807	yes
ENST00000311669.12	0.368001	0.632	CS pos: 18-19. Pr: 0.4461	18	148	72783638	yes
ENST00000313084.9	0.375577	0.624415	CS pos: 25-26. Pr: 0.3921	25	338	136448505	yes
ENST00000313236.10	2.82e-4	0.999683	CS pos: 26-27. Pr: 0.9720	26	148	118532157	yes
ENST00000313669.12	3.21e-4	0.999648	CS pos: 20-21. Pr: 0.9758	20	218	101363092	yes
ENST00000315970.12	0.002135	0.997846	CS pos: 27-28. Pr: 0.9131	27	111	57694242	yes
ENST00000316364.9	1.87e-4	0.99977799999999994	CS pos: 20-21. Pr: 0.9799	20	499	47759858	yes
ENST00000316623.10	3.43e-4	0.99963900000000006	CS pos: 24-25. Pr: 0.9757	24	388	48644698	yes
ENST00000316851.12	2.37e-4	0.999716	CS pos: 19-20. Pr: 0.9789	19	250	113202383	yes
ENST00000317338.17	2.28e-4	0.999755	CS pos: 19-20. Pr: 0.9795	19	221	28982038	yes
ENST00000317446.7	2.49e-4	0.999738	CS pos: 22-23. Pr: 0.6747	22	137	136853121	yes
ENST00000317757.8	0.00451	0.995469	CS pos: 20-21. Pr: 0.8945	20	283	190564349	yes
ENST00000318041.13	2.72e-4	0.999712	CS pos: 22-23. Pr: 0.9486	22	131	34655283	yes
ENST00000318424.9	3.39e-4	0.999643	CS pos: 28-29. Pr: 0.9687	28	318	73702259	yes
ENST00000318443.10	3.39e-4	0.999643	CS pos: 28-29. Pr: 0.9687	28	216	73702259	yes
ENST00000320755.12	7.15e-4	0.999273	CS pos: 23-24. Pr: 0.9613	23	226	70282984	yes
ENST00000321063.9	0.163311	0.836661	CS pos: 23-24. Pr: 0.7241	23	204	132508625	yes
ENST00000323115.11	0.001403	0.998544	CS pos: 31-32. Pr: 0.9599	31	770	84670841	yes
ENST00000323468.10	4.47e-4	0.999555	CS pos: 21-22. Pr: 0.8892	21	81	108498304	yes
ENST00000323926.10	5.97e-4	0.99937	CS pos: 25-26. Pr: 0.5126	25	341	215435728	yes
ENST00000324093.9	0.299625	0.700369	CS pos: 44-45. Pr: 0.4545	44	169	129606508	yes
ENST00000325203.9	0.001735	0.998236	CS pos: 16-17. Pr: 0.9708	16	523	6562887	yes
ENST00000326434.9	0.001242	0.99876	CS pos: 29-30. Pr: 0.9686	29	171	9934525	yes
ENST00000326932.8	4.72e-4	0.999493	CS pos: 29-30. Pr: 0.3197	29	312	12008496	yes
ENST00000327351.6	0.00251	0.997462	CS pos: 24-25. Pr: 0.9589	24	135	35658451	yes
ENST00000327773.7	9.02e-4	0.999059	CS pos: 30-31. Pr: 0.9720	30	246	113863740	yes
ENST00000327858.11	2.67e-4	0.999678	CS pos: 29-30. Pr: 0.9728	29	190	45518689	yes
ENST00000328333.12	2.55e-4	0.999702	CS pos: 16-17. Pr: 0.7649	16	156	48595112	yes
ENST00000329117.10	1.97e-4	0.999771	CS pos: 22-23. Pr: 0.9714	22	233	156646120	yes
ENST00000330753.6	5.53e-4	0.999419	CS pos: 35-36. Pr: 0.8407	35	872	85621619	yes
ENST00000330938.8	2.92e-4	0.999654	CS pos: 32-33. Pr: 0.9726	32	170	44873521	yes
ENST00000331203.7	2.77e-4	0.999728	CS pos: 24-25. Pr: 0.6454	24	343	112138727	yes
ENST00000331343.11	3.81e-4	0.999572	CS pos: 21-22. Pr: 0.9786	21	90	45287809	yes
ENST00000331581.11	0.011105	0.988878	CS pos: 44-45. Pr: 0.9266	44	153	115240413	yes
ENST00000331830.7	5.51e-4	0.999415	CS pos: 30-31. Pr: 0.5355	30	359	205057940	yes
ENST00000332496.10	0.015992	0.983982	CS pos: 43-44. Pr: 0.9302	43	369	90201707	yes
ENST00000333202.8	0.001868	0.998112	CS pos: 37-38. Pr: 0.6310	37	131	101651754	yes
ENST00000333511.9	2.39e-4	0.99974	CS pos: 21-22. Pr: 0.9647	21	102	572697	yes
ENST00000333538.10	0.237979	0.762024	CS pos: 27-28. Pr: 0.5873	27	740	71132883	yes
ENST00000334018.11	2.14e-4	0.999786	CS pos: 22-23. Pr: 0.9260	22	209	29206104	yes
ENST00000334538.13	3.81e-4	0.999572	CS pos: 21-22. Pr: 0.9786	21	90	45287809	yes
ENST00000334976.11	2.53e-4	0.999718	CS pos: 25-26. Pr: 0.9772	25	113	50476619	yes
ENST00000335613.10	3.04e-4	0.99966	CS pos: 23-24. Pr: 0.8899	23	348	61294969	yes
ENST00000336916.8	5.97e-4	0.99937	CS pos: 25-26. Pr: 0.5126	25	341	215435728	yes
ENST00000337478.3	0.207002	0.792975	CS pos: 24-25. Pr: 0.6001	24	305	104315980	yes
ENST00000338167.10	3.16e-4	0.999652	CS pos: 31-32. Pr: 0.7075	31	177	130070070	yes
ENST00000338387.11	0.255916	0.744077	CS pos: 49-50. Pr: 0.5897	49	159	618060	yes
ENST00000339091.8	2.74e-4	0.999686	CS pos: 28-29. Pr: 0.9758	28	325	187503685	yes
ENST00000339362.9	0.009011	0.99097	CS pos: 33-34. Pr: 0.8919	33	546	73052774	yes
ENST00000339431.9	2.39e-4	0.999722	CS pos: 15-16. Pr: 0.9739	15	331	102933958	yes
ENST00000339686.8	2.26e-4	0.999764	CS pos: 21-22. Pr: 0.9791	21	237	35513413	yes
ENST00000340738.9	2.99e-4	0.9997	CS pos: 18-19. Pr: 0.9335	18	156	73239832	yes
ENST00000340882.2	2.43e-4	0.999724	CS pos: 30-31. Pr: 0.9785	30	90	119678755	yes
ENST00000341462.9	1.76e-4	0.999804	CS pos: 21-22. Pr: 0.9748	21	772	38457384	yes
ENST00000341697.7	1.96e-4	0.999751	CS pos: 24-25. Pr: 0.9784	24	1764	151142550	yes
ENST00000342136.9	0.444751	0.55524	CS pos: 26-27. Pr: 0.4882	26	440	33243695	yes
ENST00000342190.11	0.381433	0.618562	CS pos: 44-45. Pr: 0.5560	44	132	56068489	yes
ENST00000342421.9	2.25e-4	0.999722	CS pos: 21-22. Pr: 0.9767	21	395	65495348	yes
ENST00000342550.6	0.00451	0.995469	CS pos: 20-21. Pr: 0.8945	20	179	190564349	yes
ENST00000342753.8	2.51e-4	0.999739	CS pos: 24-25. Pr: 0.7123	24	362	1356682	yes
ENST00000343002.7	2.11e-4	0.999779	CS pos: 26-27. Pr: 0.9763	26	306	66170639	yes
ENST00000343348.11	2.2e-4	0.999757	CS pos: 18-19. Pr: 0.9786	18	731	116504891	yes
ENST00000343411.8	2.09e-4	0.99979	CS pos: 22-23. Pr: 0.9493	22	598	84101718	yes
ENST00000343529.9	2.81e-4	0.999695	CS pos: 25-26. Pr: 0.9799	25	235	103989282	yes
ENST00000343846.7	0.294416	0.70557	CS pos: 49-50. Pr: 0.6149	49	781	223363279	yes
ENST00000344029.6	0.294417	0.70557	CS pos: 49-50. Pr: 0.6149	49	293	223363279	yes
ENST00000344135.5	5.52e-4	0.999418	CS pos: 23-24. Pr: 0.9422	23	562	14489009	yes
ENST00000344366.7	2.21e-4	0.999739	CS pos: 29-30. Pr: 0.5854	29	202	63375677	yes
ENST00000344461.7	0.00155	0.998456	CS pos: 23-24. Pr: 0.7926	23	85	32221966	yes
ENST00000345201.6	3.88e-4	0.999602	CS pos: 30-31. Pr: 0.9594	30	237	43128987	yes
ENST00000345330.9	2.25e-4	0.999757	CS pos: 28-29. Pr: 0.9688	28	258	73633132	yes
ENST00000345512.7	2.37e-4	0.999743	CS pos: 18-19. Pr: 0.9763	18	183	29236698	yes
ENST00000346178.8	0.466232	0.533768	CS pos: 32-33. Pr: 0.4938	32	112	62639674	yes
ENST00000346798.8	2.25e-4	0.999753	CS pos: 17-18. Pr: 0.9766	17	201	26170570	yes
ENST00000347027.10	0.418237	0.581765	CS pos: 33-34. Pr: 0.5494	33	301	55707584	yes
ENST00000347970.7	2.78e-4	0.99971	CS pos: 30-31. Pr: 0.9462	30	120	101652272	yes
ENST00000348126.7	2.57e-4	0.999712	CS pos: 20-21. Pr: 0.9791	20	460	102866255	yes
ENST00000348962.7	2.78e-4	0.999704	CS pos: 29-30. Pr: 0.9761	29	261	15483985	yes
ENST00000348990.9	2.25e-4	0.999753	CS pos: 17-18. Pr: 0.9766	17	198	26170570	yes
ENST00000349241.6	3.88e-4	0.999598	CS pos: 30-31. Pr: 0.9594	30	237	43128987	yes
ENST00000349485.10	3.81e-4	0.999572	CS pos: 21-22. Pr: 0.9786	21	87	45287809	yes
ENST00000349533.11	0.269509	0.730479	CS pos: 21-22. Pr: 0.6090	21	232	65570495	yes
ENST00000351217.10	2.32e-4	0.999762	CS pos: 28-29. Pr: 0.9617	28	1003	73633132	yes
ENST00000351718.8	3.49e-4	0.999636	CS pos: 29-30. Pr: 0.9748	29	515	108239978	yes
ENST00000352041.7	2.29e-4	0.999729	CS pos: 28-29. Pr: 0.4270	28	293	42191403	yes
ENST00000352511.5	2.22e-4	0.999763	CS pos: 22-23. Pr: 0.8759	22	499	38477300	yes
ENST00000353047.11	2.04e-4	0.999794	CS pos: 17-18. Pr: 0.9840	17	163	11853404	yes
ENST00000353555.9	2.15e-4	0.999764	CS pos: 21-22. Pr: 0.9080	21	102	572697	yes
ENST00000354284.8	2.82e-4	0.999679	CS pos: 26-27. Pr: 0.9720	26	141	118532157	yes
ENST00000354619.10	4.94e-4	0.99947	CS pos: 33-34. Pr: 0.9542	33	274	236281685	yes
ENST00000354744.8	1.87e-4	0.99977799999999994	CS pos: 20-21. Pr: 0.9799	20	499	47759858	yes
ENST00000354785.11	5.97e-4	0.99937	CS pos: 25-26. Pr: 0.5126	25	341	215435728	yes
ENST00000354884.8	2.7e-4	0.9997	CS pos: 32-33. Pr: 0.9669	32	157	47410190	yes
ENST00000355279.2	0.002949	0.997009	CS pos: 25-26. Pr: 0.2445	25	75	89003073	yes
ENST00000355327.7	4.23e-4	0.999572	CS pos: 25-26. Pr: 0.9805	25	209	71154908	yes
ENST00000355385.7	0.003527	0.99646	CS pos: 30-31. Pr: 0.6399	30	429	113249892	yes
ENST00000356005.8	5.97e-4	0.999373	CS pos: 25-26. Pr: 0.5126	25	341	215435728	yes
ENST00000356147.3	2.3e-4	0.999733	CS pos: 19-20. Pr: 0.9761	19	275	2964334	yes
ENST00000356435.9	2.2e-4	0.999753	CS pos: 20-21. Pr: 0.9806	20	166	8733784	yes
ENST00000356444.6	3.26e-4	0.999642	CS pos: 23-24. Pr: 0.9772	23	516	89405388	yes
ENST00000356638.8	0.466232	0.533768	CS pos: 32-33. Pr: 0.4938	32	110	62639674	yes
ENST00000356736.5	0.299318	0.700672	CS pos: 24-25. Pr: 0.3648	24	463	102344591	yes
ENST00000356921.7	0.004376	0.995597	CS pos: 32-33. Pr: 0.5952	32	731	70168327	yes
ENST00000357036.9	2.85e-4	0.999683	CS pos: 26-27. Pr: 0.9718	26	96	74028265	yes
ENST00000357545.9	5.89e-4	0.999396	CS pos: 21-22. Pr: 0.9706	21	108	167234111	yes
ENST00000357769.4	2.18e-4	0.999758	CS pos: 19-20. Pr: 0.9782	19	231	71547466	yes
ENST00000357903.7	2.25e-4	0.999753	CS pos: 17-18. Pr: 0.9766	17	218	26170570	yes
ENST00000358066.8	1.87e-4	0.99977799999999994	CS pos: 20-21. Pr: 0.9799	20	499	47759858	yes
ENST00000358173.8	2.55e-4	0.999743	CS pos: 15-16. Pr: 0.9643	15	538	100826986	yes
ENST00000358187.2	0.207	0.792971	CS pos: 24-25. Pr: 0.6001	24	145	104315980	yes
ENST00000358361.7	0.118346	0.881612	CS pos: 31-32. Pr: 0.8126	31	578	101399370	yes
ENST00000358741.4	0.007787	0.992185	CS pos: 37-38. Pr: 0.9109	37	435	71147860	yes
ENST00000359013.4	5.62e-4	0.999413	CS pos: 23-24. Pr: 0.8321	23	352	30606952	yes
ENST00000359209.11	3.05e-4	0.999663	CS pos: 16-17. Pr: 0.9719	16	80	157993724	yes
ENST00000359337.9	2.72e-4	0.999703	CS pos: 18-19. Pr: 0.9214	18	221	50290531	yes
ENST00000359441.4	1.9e-4	0.999799	CS pos: 25-26. Pr: 0.9790	25	184	22046116	yes
ENST00000359523.7	0.027726	0.972238	CS pos: 37-38. Pr: 0.9259	37	281	167765602	yes
ENST00000359671.5	5.97e-4	0.99937	CS pos: 25-26. Pr: 0.5126	25	341	215435728	yes
ENST00000359827.7	0.163311	0.836661	CS pos: 23-24. Pr: 0.7241	23	1032	132508625	yes
ENST00000359847.4	0.001403	0.998544	CS pos: 31-32. Pr: 0.9599	31	822	84670841	yes
ENST00000359862.8	2.82e-4	0.999679	CS pos: 26-27. Pr: 0.9720	26	252	118532157	yes
ENST00000359930.8	0.017313	0.982681	CS pos: 24-25. Pr: 0.9450	24	924	47757292	yes
ENST00000359947.9	2.31e-4	0.999762	CS pos: 29-30. Pr: 0.9717	29	420	43545162	yes
ENST00000360001.12	0.010506	0.989476	CS pos: 36-37. Pr: 0.9334	36	371	1228686	yes
ENST00000360295.13	2.28e-4	0.999755	CS pos: 19-20. Pr: 0.9795	19	333	28982038	yes
ENST00000360467.7	3.32e-4	0.999632	CS pos: 33-34. Pr: 0.9719	33	388	110308123	yes
ENST00000360568.8	1.84e-4	0.999808	CS pos: 21-22. Pr: 0.9774	21	145	132218564	yes
ENST00000360620.7	2.55e-4	0.999743	CS pos: 15-16. Pr: 0.9643	15	130	100826986	yes
ENST00000360804.4	2.09e-4	0.999764	CS pos: 16-17. Pr: 0.9707	16	149	87976943	yes
ENST00000360835.9	2.34e-4	0.999723	CS pos: 25-26. Pr: 0.9067	25	186	43343187	yes
ENST00000361311.4	3.42e-4	0.999628	CS pos: 28-29. Pr: 0.9750	28	335	9823650	yes
ENST00000361355.8	2.32e-4	0.999754	CS pos: 15-16. Pr: 0.9802	15	661	103571647	yes
ENST00000361509.7	0.122484	0.87752	CS pos: 20-21. Pr: 0.8975	20	258	159943150	yes
ENST00000361588.5	1.97e-4	0.999772	CS pos: 22-23. Pr: 0.9714	22	107	156646120	yes
ENST00000361742.7	2.7e-4	0.999722	CS pos: 18-19. Pr: 0.9736	18	823	74132808	yes
ENST00000361762.3	0.260673	0.739289	CS pos: 30-31. Pr: 0.5745	30	1098	30721512	yes
ENST00000361866.8	4.75e-4	0.999484	CS pos: 19-20. Pr: 0.9605	19	138	45981907	yes
ENST00000361981.7	0.119886	0.880072	CS pos: 19-20. Pr: 0.7327	19	165	153875780	yes
ENST00000362007.6	0.00178	0.998206	CS pos: 35-36. Pr: 0.9626	35	139	156295541	yes
ENST00000362021.9	2.7e-4	0.9997	CS pos: 32-33. Pr: 0.9669	32	177	47410190	yes
ENST00000366667.6	2.87e-4	0.999693	CS pos: 33-34. Pr: 0.9764	33	139	230710752	yes
ENST00000366787.7	2.52e-4	0.999718	CS pos: 18-19. Pr: 0.9791	18	304	169248972	yes
ENST00000366878.9	0.294416	0.70557	CS pos: 49-50. Pr: 0.6149	49	302	223363279	yes
