"gene","gene_name","stage","direction","median_gc_pct","median_tx_length","logFC","FDR"
"ENSG00000156968","MPV17L","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",44.55,5820,4.41501777624024,8.62426682469217e-07
"ENSG00000130958","SLC35D2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",48.02,1111.5,4.44587586447493,8.76669962162126e-07
"ENSG00000119318","RAD23B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.69,811,2.31633785872395,9.31328810046204e-07
"ENSG00000130725","UBE2M","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",54.8,447,4.24048876359989,9.31328810046204e-07
"ENSG00000181191","PJA1","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",50.38,2115,-2.98091834067101,9.68023504924107e-07
"ENSG00000076984","MAP2K7","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",63.33,1554,3.42639508618584,9.91013140169752e-07
"ENSG00000166987","MBD6","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",61.37,553.5,3.5097151958379,1.0074497380868e-06
"ENSG00000130396","AFDN","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",48.65,4686,2.31191858560997,1.0074497380868e-06
"ENSG00000139445","FOXN4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",57.61,2275.5,2.62775702016668,1.0074497380868e-06
"ENSG00000090905","TNRC6A","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.11,609.5,2.08893637472887,1.03192511639209e-06
"ENSG00000223496","EXOSC6","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",45.77,5163,2.4653153274682,1.03192511639209e-06
"ENSG00000178623","GPR35","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",61.66,2250,4.39440625457774,1.03192511639209e-06
"ENSG00000109881","CCDC34","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.69,1452,2.87599637913651,1.03192511639209e-06
"ENSG00000110955","ATP5F1B","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",50.23,814,-2.07332969756642,1.03192511639209e-06
"ENSG00000139644","TMBIM6","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",48.22,576,-2.39963961593202,1.03192511639209e-06
"ENSG00000072062","PRKACA","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",54.77,1524,4.28852991962276,1.03192511639209e-06
"ENSG00000099954","CECR2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",49.5,9648.5,3.19482582392707,1.03192511639209e-06
"ENSG00000112787","FBRSL1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",68.47,1246,4.06208254614198,1.03192511639209e-06
"ENSG00000088247","KHSRP","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.9,773,2.64796078124811,1.03192511639209e-06
"ENSG00000162924","REL","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.93,3632.5,2.60283113883102,1.03192511639209e-06
"ENSG00000125503","PPP1R12C","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",65.64,1262,5.17845730508269,1.03192511639209e-06
"ENSG00000198752","CDC42BPB","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",55.93,646,2.54038367901048,1.06511643048941e-06
"ENSG00000131409","LRRC4B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",67.32,2988.5,3.69348189885577,1.09090758009067e-06
"ENSG00000198840","MT-ND3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",40.17,346,6.42960404220175,1.12590313792002e-06
"ENSG00000130522","JUND","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",69.87,1214.5,3.19622933386788,1.12590313792002e-06
"ENSG00000181789","COPG1","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",52.68,635.5,-2.75156285744483,1.12590313792002e-06
"ENSG00000065883","CDK13","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.74,2672,2.28232266786765,1.12590313792002e-06
"ENSG00000171055","FEZ2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.56,1151,2.17606000725672,1.12590313792002e-06
"ENSG00000094631","HDAC6","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",56.7,4131.5,-2.36724158475631,1.12590313792002e-06
"ENSG00000100836","PABPN1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",53.63,893,2.18438845802188,1.1578573391079e-06
"ENSG00000090447","TFAP4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",60.51,1326,2.9213751418499,1.21483281613005e-06
"ENSG00000163864","NMNAT3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",51.58,1787,2.91897306141067,1.21483281613005e-06
"ENSG00000196787","H2AC11","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",61.05,493,3.23710930049895,1.26884478386777e-06
"ENSG00000219626","FAM228B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",43.94,866,2.69268691153498,1.26884478386777e-06
"ENSG00000075624","ACTB","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",57.1,1300,-2.11875932310912,1.26884478386777e-06
"ENSG00000160714","UBE2Q1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",51.62,524,2.68000985666653,1.26884478386777e-06
"ENSG00000185896","LAMP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",55.16,2701,3.26333315838812,1.26884478386777e-06
"ENSG00000163249","CCNYL1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",43.41,1452,3.32210792137819,1.27799852538847e-06
"ENSG00000165689","ENTR1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",56.63,686,2.93334226135327,1.27799852538847e-06
"ENSG00000071626","DAZAP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",57.28,2157,3.44252760118627,1.27799852538847e-06
"ENSG00000144579","CTDSP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",61.05,1118,3.0745354301206,1.34258127014056e-06
"ENSG00000144426","NBEAL1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.58,2306,2.8798388764155,1.35748852813429e-06
"ENSG00000100918","REC8","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.7,653,5.59189505636149,1.35748852813429e-06
"ENSG00000106689","LHX2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",60.29,1340,2.31082101743179,1.37436038164631e-06
"ENSG00000031698","SARS1","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",50.3,1216.5,-1.98838814443958,1.38353640345866e-06
"ENSG00000055163","CYFIP2","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",53.87,915,-2.56254603315641,1.41815281284507e-06
"ENSG00000151693","ASAP2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.29,2409,3.08997628259153,1.41815281284507e-06
"ENSG00000204304","PBX2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",57.05,1050,2.57894220170049,1.41815281284507e-06
"ENSG00000136026","CKAP4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",52.47,831,2.09476215523496,1.41815281284507e-06
"ENSG00000169871","TRIM56","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",56.55,932,2.27667972927189,1.41815281284507e-06
"ENSG00000104897","SF3A2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",63.16,724,2.88160561735654,1.41815281284507e-06
"ENSG00000183323","CCDC125","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.01,2273,4.046375066116,1.43294510779032e-06
"ENSG00000100422","CERK","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",54.87,1163.5,2.1592706395585,1.43457341457492e-06
"ENSG00000139718","SETD1B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",61.41,8185,2.5891464595416,1.43457341457492e-06
"ENSG00000091527","CDV3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.9,808,2.04534865912171,1.45506866959315e-06
"ENSG00000173198","CYSLTR1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",36.14,2700,4.72267912953786,1.47784362141394e-06
"ENSG00000139746","RBM26","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",40.8,3662,2.74802618470857,1.50207863616915e-06
"ENSG00000063169","BICRA","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",68.4,5693,3.11541173974542,1.50207863616915e-06
"ENSG00000174749","FAM241A","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.33,8844,3.56328249764936,1.50207863616915e-06
"ENSG00000171858","RPS21","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",52.23,418,2.66685746486099,1.51101730464654e-06
"ENSG00000170160","CCDC144A","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.47,2815,4.58730024443807,1.53297076725505e-06
"ENSG00000234719","NPIPB2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",49.5,950,2.57249899241911,1.53297076725505e-06
"ENSG00000163785","RYK","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",41.65,922,2.18771362043426,1.53297076725505e-06
"ENSG00000248483","POU5F2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.57,8381,6.04777540076074,1.53297076725505e-06
"ENSG00000164182","NDUFAF2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.67,696,2.23854615539791,1.53297076725505e-06
"ENSG00000106367","AP1S1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",55.65,710,2.41043393677048,1.53297076725505e-06
"ENSG00000130511","SSBP4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",67.48,622,2.54060247127526,1.53297076725505e-06
"ENSG00000110367","DDX6","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.06,1936,1.97173946073513,1.53297076725505e-06
"ENSG00000105176","URI1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.61,578,3.45229254287315,1.53297076725505e-06
"ENSG00000130204","TOMM40","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",63.19,1707,2.93931264088107,1.53734111536005e-06
"ENSG00000185800","DMWD","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",62,812.5,2.3596384215854,1.5394553867251e-06
"ENSG00000142279","WTIP","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.31,7106,3.16202337536997,1.58645869704951e-06
"ENSG00000003096","KLHL13","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",41.46,3245,-2.57503879180941,1.58645869704951e-06
"ENSG00000251322","SHANK3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",67.2,3600.5,3.68988453951672,1.62174134812423e-06
"ENSG00000198648","STK39","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.99,2630.5,2.48580848232415,1.65253627146584e-06
"ENSG00000122417","ODF2L","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",36.25,1793,2.26038287601316,1.65253627146584e-06
"ENSG00000164985","PSIP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",43.44,1664,3.04940098462728,1.69779039759447e-06
"ENSG00000196449","YRDC","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",52.98,1848,3.42329278612103,1.69779039759447e-06
"ENSG00000167962","ZNF598","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",65.56,2147,3.17176200839707,1.69779039759447e-06
"ENSG00000162736","NCSTN","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",50.38,2772,-2.10644790840375,1.71684991297321e-06
"ENSG00000125520","SLC2A4RG","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",67.58,630.5,3.8256902264327,1.73638141751393e-06
"ENSG00000135747","ZNF670-ZNF695","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",48.3,1896.5,4.82835961804552,1.74718530019521e-06
"ENSG00000198712","MT-CO2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.2,684,3.28763141645457,1.74800635246913e-06
"ENSG00000285589","ENSG00000285589","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",55.74,5025,2.67659814872365,1.74800635246913e-06
"ENSG00000125817","CENPB","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",66.51,2890,3.47877249727403,1.76292730013105e-06
"ENSG00000106686","SPATA6L","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",45.91,1465,5.16384600832717,1.80094586803877e-06
"ENSG00000090266","NDUFB2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",49.86,539,1.62869354259208,1.80292328985118e-06
"ENSG00000228253","MT-ATP8","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.61,207,6.27086467832551,1.80292328985118e-06
"ENSG00000168298","H1-4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",60.48,787,6.01208005598365,1.81605519467286e-06
"ENSG00000178573","MAF","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",61.18,2669,4.08720852484497,1.81739792436121e-06
"ENSG00000176973","FAM89B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",67.31,1337,3.51527624074627,1.81739792436121e-06
"ENSG00000108100","CCNY","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.71,812.5,1.97698448611823,1.81739792436121e-06
"ENSG00000274290","H2BC6","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",52.2,1527.5,4.04419583375673,1.87150914331359e-06
"ENSG00000159086","PAXBP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.64,2277,2.43116951740456,1.89991181926034e-06
"ENSG00000174871","CNIH2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",64.64,897.5,4.32424168485042,1.89991181926034e-06
"ENSG00000184887","BTBD6","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",61.98,2093,3.66358065010959,1.89991181926034e-06
"ENSG00000010256","UQCRC1","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",58.37,854.5,-2.04545571438342,1.89991181926034e-06
"ENSG00000165724","ZMYND19","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.91,1327,3.35020096748983,1.97808547056891e-06
"ENSG00000139287","TPH2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.13,946,5.92519014245029,2.03696421292481e-06
"ENSG00000070476","ZXDC","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",56.72,3006,2.47778184227107,2.06041598156044e-06
"ENSG00000249437","NAIP","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",42.54,4348,2.90395575897881,2.06041598156044e-06
"ENSG00000162889","MAPKAPK2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",58.88,1460,2.57842933221995,2.16895049845602e-06
"ENSG00000135999","EPC2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.73,756,2.41178706126913,2.17618292887179e-06
"ENSG00000180096","SEPTIN1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",59.31,1080,2.99422716835605,2.17618292887179e-06
"ENSG00000158406","H4C8","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",44.1,1034,3.4089947139655,2.23093085245888e-06
"ENSG00000169093","ASMTL","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",61.41,1454.5,-2.46887136181155,2.25776808903549e-06
"ENSG00000168724","DNAJC21","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",40.35,2788,2.83469682198372,2.33424357705789e-06
"ENSG00000184897","H1-10","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",68.6,1516,2.94898780249637,2.36381736672569e-06
"ENSG00000117411","B4GALT2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",62.28,2098.5,2.53567780399469,2.37514333715809e-06
"ENSG00000168556","ING2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",46.01,1528.5,2.82050492215989,2.42231291971717e-06
"ENSG00000149657","LSM14B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",60.7,1079,4.54328006060527,2.43361800095054e-06
"ENSG00000151338","MIPOL1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.02,2191.5,2.29460738346397,2.43361800095054e-06
"ENSG00000174672","BRSK2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",63.24,2091,2.41201495994694,2.43361800095054e-06
"ENSG00000071054","MAP4K4","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",48.53,3796,1.60784437922102,2.47720411144334e-06
"ENSG00000205045","SLFN12L","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",40.77,6681.5,4.52160924770369,2.54127551278778e-06
"ENSG00000168005","SPINDOC","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",54.46,729,3.94246648337271,2.57489566146354e-06
"ENSG00000160584","SIK3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",50.52,3054,1.96308148567265,2.59141324984843e-06
"ENSG00000106443","PHF14","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",38.62,1024.5,1.92128175921261,2.61212884356641e-06
"ENSG00000130985","UBA1","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",56.94,1148,-2.14118958295189,2.61212884356641e-06
"ENSG00000196268","ZNF493","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",41.84,1665,3.11106690943196,2.61212884356641e-06
"ENSG00000197728","RPS26","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",47.49,1172,2.62945321295166,2.61212884356641e-06
"ENSG00000197183","NOL4L","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",56.32,928,-2.69044159656683,2.61212884356641e-06
"ENSG00000006125","AP2B1","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",46.54,1187,-2.37272020072348,2.67222084463824e-06
"ENSG00000049618","ARID1B","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",51.24,3028,1.80785162161691,2.68614066565638e-06
"ENSG00000146872","TLK2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",44.11,3572,1.95029473017465,2.68614066565638e-06
"ENSG00000099875","MKNK2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",62.55,1005,2.27063318335907,2.72338862592797e-06
"ENSG00000115239","ASB3","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",44.2,750,1.60841125180589,2.72338862592797e-06
"ENSG00000127948","POR","Stage 1 (LR D45 vs SR D25+D65)","Down in long read",60.47,896,-2.48666190559121,2.74920655647112e-06
"ENSG00000165417","GTF2A1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",45.44,1438,2.50877849466192,2.76422013713585e-06
"ENSG00000176915","ANKLE2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",51.13,1641,2.11049990758015,2.85717061782951e-06
"ENSG00000132005","RFX1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",65.69,848,2.86129865049718,2.87461619364544e-06
"ENSG00000102974","CTCF","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",45.84,3706,1.62920640222918,2.87461619364544e-06
"ENSG00000163584","RPL22L1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",39.21,584,2.56670344139412,2.87461619364544e-06
"ENSG00000172197","MBOAT1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",45.34,4325,2.61885293334108,2.87461619364544e-06
"ENSG00000142409","ZNF787","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",63.73,1657,3.73662560378343,2.90458734223711e-06
"ENSG00000141385","AFG3L2","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",47.86,2904.5,2.02976949573757,2.90458734223711e-06
"ENSG00000164983","TMEM65","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",37.45,2052,3.3644272610107,2.92710590653848e-06
"ENSG00000167969","ECI1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",64.88,961,2.70478935442212,2.95386311377539e-06
"ENSG00000153006","SREK1IP1","Stage 1 (LR D45 vs SR D25+D65)","Up in long read",37.5,816,1.92158048463373,2.98099179842308e-06
