isoform_id	EP1-BRN3B-RO	EP1-WT_ROs_D45	EP1-WT_hRO_2	H9-BRN3B-RO	H9-CRX_ROs_D45
ENST00000373043.1	178	134	46	160	115
ENST00000373150.8	40	57	10	20	83
ENST00000373467.4	100	22	57	74	35
ENST00000376957.7	313	405	145	226	400
ENST00000377893.3	203	134	129	128	145
ENST00000378609.9	622	775	136	515	665
ENST00000394202.8	12	36	13	5	24
ENST00000396148.2	59	47	6	20	42
ENST00000404627.3	11	5	6	15	7
ENST00000409337.5	3	90	2	13	23
ENST00000410025.5	0	18	1	4	10
ENST00000410048.5	1	0	1	0	3
ENST00000419704.5	0	1	2	5	1
ENST00000420342.1	46	68	46	20	59
ENST00000420607.6	24	66	3	21	46
ENST00000426398.3	29	11	28	36	9
ENST00000428079.6	2	2	1	1	4
ENST00000435064.6	116	161	64	89	158
ENST00000453943.6	887	545	267	821	617
ENST00000460706.5	3	6	1	4	4
ENST00000461597.1	0	0	1	0	2
ENST00000461667.2	2	0	0	1	2
ENST00000462432.5	33	15	20	38	27
ENST00000462965.1	263	318	209	211	321
ENST00000463950.1	0	2	2	0	1
ENST00000463997.1	2	4	0	3	5
ENST00000466643.1	13	13	23	13	19
ENST00000468084.1	273	231	80	304	222
ENST00000469717.5	6	13	5	10	6
ENST00000470040.5	32	17	21	33	15
ENST00000470688.5	19	6	16	8	7
ENST00000471105.5	2	3	0	3	3
ENST00000471849.5	13	12	1	11	8
ENST00000473036.2	8	12	2	3	16
ENST00000473578.5	498	832	238	346	632
ENST00000474026.5	25	6	10	15	9
ENST00000474966.2	8	5	4	7	4
ENST00000475189.1	65	51	70	65	68
ENST00000476163.5	91	117	52	59	128
ENST00000476371.1	162	137	65	142	107
ENST00000478307.5	4	5	2	1	2
ENST00000478330.1	2	4	0	2	2
ENST00000478641.5	5	1	2	6	1
ENST00000478768.3	11	9	6	7	3
ENST00000479745.6	7	11	3	7	11
ENST00000479872.5	8	4	9	5	3
ENST00000479983.1	5	2	1	4	2
ENST00000480056.2	166	29	134	221	84
ENST00000480265.1	2	3	6	3	5
ENST00000480464.2	50	40	25	30	65
ENST00000480673.5	31	7	27	12	13
ENST00000480897.5	11	10	11	6	5
ENST00000480968.1	2	1	1	1	1
ENST00000481753.1	0	0	1	0	1
ENST00000481758.1	15	10	17	12	11
ENST00000481981.1	7	8	3	9	18
ENST00000483371.1	13	6	7	9	3
ENST00000484461.2	9	0	4	6	3
ENST00000488165.5	8	30	8	14	24
ENST00000488433.5	55	18	22	72	28
ENST00000488603.5	2	2	0	3	0
ENST00000488733.1	37	13	7	33	11
ENST00000490738.5	159	318	83	130	254
ENST00000491005.6	16	7	4	27	9
ENST00000492871.5	249	79	130	313	134
ENST00000495562.5	21	11	13	37	7
ENST00000496353.1	17	16	3	17	25
ENST00000497304.6	98	46	67	90	72
ENST00000497831.1	12	1	13	10	3
ENST00000509601.1	4	7	1	3	4
ENST00000527764.1	37	18	17	29	45
ENST00000534220.1	39	8	5	12	43
ENST00000543681.2	3	2	0	1	1
ENST00000543766.2	124	30	55	99	31
ENST00000583931.6	323	569	107	230	404
ENST00000605337.5	36	18	34	35	10
ENST00000606873.1	0	3	0	1	0
ENST00000607145.1	170	89	94	147	77
ENST00000609116.5	43	42	28	63	30
ENST00000609181.5	196	169	66	237	140
ENST00000610897.4	76	157	33	74	114
ENST00000612353.4	6	9	2	2	4
ENST00000613099.4	11	8	3	4	3
ENST00000614750.1	10	7	0	9	3
ENST00000616917.4	507	590	228	341	419
ENST00000618010.4	2	2	3	4	0
ENST00000620676.6	51	24	10	43	13
ENST00000622703.4	13	14	10	4	11
ENST00000634495.2	3	4	4	6	3
ENST00000634912.1	5	3	5	5	7
ENST00000635348.1	10	9	8	9	9
ENST00000637208.1	10	12	9	14	10
ENST00000643711.1	17	0	0	15	0
ENST00000644549.1	278	207	562	209	676
ENST00000674302.1	7	1	3	13	1
ENST00000674435.1	28	7	6	13	9
ENST00000675966.1	48	15	23	57	17
ENST00000676046.1	4	3	0	6	3
ENST00000677389.1	38	48	7	32	59
ENST00000679646.1	2	7	3	14	2
ENST00000679725.1	3	1	1	9	2
ENST00000680202.1	2	1	0	0	0
ENST00000680805.1	9	9	0	3	5
ENST00000681296.1	4	2	1	4	0
ENST00000681616.1	5	5	3	9	8
ENST00000681929.1	10	18	0	9	12
ENST00000684982.1	4	0	0	0	0
ENST00000685664.1	25	21	34	29	17
ENST00000687394.1	0	0	0	3	0
ENST00000687647.1	1	1	0	3	1
ENST00000688281.1	3	1	1	3	0
ENST00000689820.1	2	2	0	2	3
ENST00000706595.1	19	27	16	8	16
ENST00000706597.1	16	8	7	13	9
ENST00000706598.1	7	10	8	10	18
transcript10228.chr1.nic	8	5	1	9	13
transcript10230.chr1.nic	15	7	2	14	3
transcript10343.chr1.nic	5	2	1	8	6
transcript104076.chr1.nic	61	41	3	55	31
transcript104115.chr1.nic	47	23	11	51	15
transcript10475.chr1.nnic	0	4	1	6	10
transcript11164.chr1.nnic	6	0	3	12	6
transcript11166.chr1.nic	12	11	3	11	8
transcript117009.chr1.nnic	157	407	214	139	376
transcript117015.chr1.nic	11	41	12	12	28
transcript117776.chr1.nnic	115	37	99	150	47
transcript117825.chr1.nnic	112	69	186	124	82
transcript117837.chr1.nnic	279	67	37	359	58
transcript117875.chr1.nnic	17	6	3	33	4
transcript119566.chr1.nic	69	139	37	22	102
transcript120448.chr1.nic	35	16	25	28	14
transcript12864.chr1.nic	19	13	0	13	13
transcript129902.chr1.nic	135	333	26	132	237
transcript131833.chr1.nnic	12	19	11	19	33
transcript140929.chr1.nic	4215	5201	1494	3215	4450
transcript14204.chr1.nic	36	31	21	36	18
transcript14329.chr1.nic	27	9	17	35	17
transcript14414.chr1.nic	15	6	9	19	8
transcript147352.chr1.nnic	391	279	288	219	361
transcript147975.chr1.nic	7	0	5	9	14
transcript148208.chr1.nnic	62	64	49	45	59
transcript153196.chr1.nnic	4	5	0	3	6
transcript153288.chr1.nic	3	5	0	5	4
transcript153327.chr1.nic	7	5	6	10	11
transcript153448.chr1.nic	3	6	1	0	2
transcript153453.chr1.nic	24	19	5	11	5
transcript153467.chr1.nnic	69	90	80	82	56
transcript165449.chr1.nnic	288	69	177	329	144
transcript165859.chr1.nic	20	9	0	9	6
transcript165861.chr1.nic	2	0	0	1	1
transcript165864.chr1.nic	1	4	1	0	3
transcript184072.chr1.nnic	1	2	0	0	3
transcript184113.chr1.nnic	1	1	6	1	0
transcript184280.chr1.nic	1	2	3	2	2
transcript184493.chr1.nic	1	3	2	2	1
transcript189066.chr1.nic	243	256	34	238	165
transcript197773.chr1.nnic	91	68	82	57	61
transcript197844.chr1.nic	11	6	4	11	2
transcript198438.chr1.nnic	157	51	127	178	47
transcript205029.chr1.nic	7	8	0	3	8
transcript205032.chr1.nic	6	5	5	4	4
transcript205037.chr1.nic	11	6	5	10	6
transcript205958.chr1.nnic	1	5	2	1	7
transcript206908.chr1.nnic	29	49	12	13	48
transcript208458.chr1.nic	29	46	8	18	29
transcript210257.chr1.nnic	24	6	8	18	15
transcript211529.chr1.nic	4	0	2	4	7
transcript211533.chr1.nic	10	4	2	10	7
transcript223007.chr1.nic	11	15	4	11	17
transcript223175.chr1.nic	5	10	0	5	4
transcript228229.chr1.nic	2	1	2	3	3
transcript228300.chr1.nic	5	4	1	4	2
transcript232258.chr1.nnic	21	43	70	15	50
transcript232261.chr1.nic	37	23	19	18	27
transcript237970.chr1.nnic	29	18	43	18	31
transcript238261.chr1.nnic	237	101	135	205	94
transcript239877.chr1.nnic	29	37	13	29	43
transcript248143.chr1.nic	4	10	3	4	0
transcript248176.chr1.nic	4	16	3	5	9
transcript249534.chr1.nnic	22	12	18	17	13
transcript249599.chr1.nnic	12	5	5	23	10
transcript249609.chr1.nnic	99	48	91	89	88
transcript250235.chr1.nic	30	7	2	41	7
transcript250381.chr1.nnic	32	4	5	28	8
transcript251418.chr1.nnic	103	27	58	162	62
transcript261397.chr1.nic	25	39	11	26	36
transcript265707.chr1.nic	23	12	10	36	7
transcript265730.chr1.nnic	14	11	3	12	11
transcript266834.chr1.nnic	27	7	8	19	3
transcript268306.chr1.nic	27	65	9	18	75
transcript270694.chr1.nnic	16	4	2	8	7
transcript270698.chr1.nnic	125	124	161	106	194
transcript275027.chr1.nnic	3	4	4	10	8
transcript275738.chr1.nnic	11	7	7	7	6
transcript276025.chr1.nic	9	2	1	7	2
transcript277686.chr1.nnic	52	41	68	54	72
transcript284951.chr1.nnic	19	14	23	16	13
transcript285607.chr1.nic	33	81	27	34	82
transcript286573.chr1.nic	15	54	4	11	44
transcript30155.chr1.nic	16	14	2	28	12
transcript30231.chr1.nic	43	4	9	44	8
transcript30378.chr1.nic	18	1	8	17	4
transcript3045.chr1.nic	8	9	0	15	6
transcript30771.chr1.nic	9	1	2	6	9
transcript44832.chr1.nnic	13	17	1	10	16
transcript70496.chr1.nic	4	0	3	5	0
transcript71732.chr1.nnic	7	3	2	4	7
transcript72267.chr1.nic	14	20	6	8	20
transcript79286.chr1.nnic	5	9	2	7	5
transcript79303.chr1.nic	17	36	4	13	30
transcript79305.chr1.nic	6	15	3	5	9
transcript80584.chr1.nnic	206	107	140	207	177
transcript82803.chr1.nnic	207	73	140	220	129
transcript8307.chr1.nnic	2086	706	810	2824	821
transcript8827.chr1.nnic	190	93	46	336	87
transcript93935.chr1.nnic	3	4	6	4	0
transcript93937.chr1.nnic	1	1	1	1	0
transcript94000.chr1.nnic	4	2	0	1	1
transcript94001.chr1.nnic	0	4	0	1	2
transcript94002.chr1.nnic	13	5	3	0	1
transcript94104.chr1.nnic	2	2	3	1	4
transcript94191.chr1.nnic	1	1	0	2	0
transcript94435.chr1.nic	8	22	8	6	7
transcript96832.chr1.nic	12	4	6	11	4
transcript96890.chr1.nic	15	10	7	12	4
transcript99237.chr1.nnic	36	27	38	36	33
ENST00000194530.8	145	303	123	150	227
ENST00000233505.12	3	15	0	0	9
ENST00000234111.9	34	122	22	25	94
ENST00000237455.5	196	109	34	139	69
ENST00000238091.8	7	14	6	38	47
ENST00000238892.4	183	133	70	112	159
ENST00000256720.6	9	20	5	14	18
ENST00000260653.5	356	609	327	210	524
ENST00000264057.7	403	120	155	595	111
ENST00000270357.10	38	40	22	34	59
ENST00000272249.7	54	74	88	50	79
ENST00000272937.10	283	652	275	124	518
ENST00000282412.9	143	167	34	124	113
ENST00000295685.14	27	18	8	23	20
ENST00000310015.12	84	74	43	64	54
ENST00000315717.10	317	230	99	177	199
ENST00000316724.10	45	47	16	49	37
ENST00000317610.11	940	706	217	646	523
ENST00000321264.9	15	11	4	6	11
ENST00000321356.9	22	37	21	23	15
ENST00000335756.9	20	179	10	4	125
ENST00000337288.10	355	344	98	268	312
ENST00000337526.11	165	53	27	139	27
ENST00000344376.9	60	22	15	44	51
ENST00000345042.6	29	46	8	23	41
ENST00000345249.8	89	80	59	136	64
ENST00000348750.8	11	7	1	8	23
ENST00000357430.8	178	84	106	208	68
ENST00000357732.8	59	18	9	81	32
ENST00000357765.7	296	280	104	327	266
ENST00000357970.7	81	2	12	114	4
ENST00000358367.8	2	5	0	5	4
ENST00000359712.7	18	45	29	21	30
ENST00000360982.2	262	362	84	224	248
ENST00000378551.6	14	17	12	21	8
ENST00000388968.8	719	1446	425	539	1193
ENST00000392066.7	175	124	63	159	105
ENST00000392249.6	5	2	2	0	2
ENST00000392857.10	25	27	4	17	22
ENST00000393040.7	3	21	4	6	36
ENST00000393252.4	18	26	1	19	36
ENST00000393256.8	14	4	8	10	19
ENST00000394609.6	1276	618	676	1465	519
ENST00000402096.5	3	5	1	4	3
ENST00000404914.8	57	61	23	26	58
ENST00000405546.7	4	2	1	1	9
ENST00000405953.6	1	2	1	3	0
ENST00000406610.7	75	106	61	64	112
ENST00000409160.7	213	401	118	50	279
ENST00000409328.5	17	38	25	13	37
ENST00000409400.1	23	62	21	28	97
ENST00000409486.6	15	11	4	15	7
ENST00000409526.1	2	3	1	2	6
ENST00000409574.1	0	28	21	0	19
ENST00000409683.5	420	1175	85	318	1008
ENST00000409975.5	20	8	7	13	11
ENST00000410064.5	15	3	2	8	22
ENST00000412128.1	30	6	1	18	8
ENST00000413029.2	7	1	14	20	5
ENST00000418194.7	57	151	21	21	126
ENST00000419902.4	10	2	9	7	0
ENST00000428471.3	1	0	1	0	0
ENST00000430158.5	5	0	5	6	0
ENST00000432425.5	178	81	102	162	45
ENST00000433098.6	2	0	0	2	1
ENST00000436747.5	6	5	15	6	6
ENST00000440042.1	2	3	0	1	3
ENST00000447668.2	16	31	5	16	21
ENST00000448874.5	4	14	5	4	15
ENST00000460030.1	4	5	7	1	4
ENST00000460720.5	22	17	14	13	12
ENST00000461981.5	17	11	10	17	7
ENST00000462958.5	24	23	15	30	33
ENST00000464228.5	98	113	149	81	92
ENST00000465379.1	23	32	8	18	29
ENST00000466492.1	145	95	152	160	116
ENST00000470146.5	16	11	5	12	8
ENST00000472030.1	14	3	11	12	5
ENST00000473126.1	2	3	0	1	1
ENST00000473565.5	117	453	58	85	198
ENST00000475195.5	5	2	2	3	4
ENST00000475922.1	11	8	17	13	4
ENST00000477307.5	3	1	2	2	1
ENST00000477992.1	12	7	15	13	15
ENST00000479456.1	63	41	39	47	41
ENST00000481928.1	38	57	23	23	50
ENST00000482507.5	24	18	33	13	33
ENST00000483519.5	105	77	77	93	76
ENST00000485749.1	31	23	18	48	23
ENST00000486085.5	39	21	23	21	22
ENST00000486447.1	5	15	10	14	14
ENST00000488451.5	9	23	2	6	13
ENST00000497031.5	7	9	5	16	18
ENST00000608859.5	9	28	3	8	27
ENST00000662168.1	0	0	1	0	0
ENST00000668016.1	1	0	0	1	2
ENST00000670479.3	3	0	1	7	4
ENST00000670491.1	2	9	5	5	2
ENST00000674199.1	2	0	1	2	1
ENST00000678225.2	18	23	15	22	12
ENST00000679545.1	9	2	1	5	2
ENST00000679546.1	7	3	1	8	5
ENST00000680251.1	4	1	1	4	1
ENST00000690074.1	2	0	3	5	1
ENST00000690671.2	1	3	0	6	1
ENST00000690935.1	2	0	3	0	0
ENST00000691044.2	0	1	0	1	1
ENST00000703825.1	18	6	6	20	12
transcript106820.chr2.nic	2	1	0	0	2
transcript106829.chr2.nic	2	1	3	3	7
transcript106855.chr2.nic	0	2	2	1	3
transcript106871.chr2.nic	2	1	0	4	4
transcript106928.chr2.nic	11	2	1	13	5
transcript106939.chr2.nnic	8	2	4	3	7
transcript106990.chr2.nic	33	17	10	29	30
transcript115614.chr2.nic	12	5	10	10	3
transcript115649.chr2.nic	3	71	3	1	60
transcript115676.chr2.nic	2	158	6	10	128
transcript115680.chr2.nic	5	24	3	1	18
transcript115700.chr2.nic	4	22	1	2	18
transcript127610.chr2.nic	14	13	15	23	11
transcript128324.chr2.nic	53	39	46	43	44
transcript150415.chr2.nic	13	20	3	7	12
transcript151367.chr2.nic	22	20	10	27	35
transcript158440.chr2.nnic	257	185	308	267	256
transcript169545.chr2.nic	505	1137	168	433	809
transcript171107.chr2.nnic	293	685	624	286	986
transcript174001.chr2.nnic	59	38	66	97	38
transcript181437.chr2.nnic	19	10	3	6	8
transcript181818.chr2.nic	14	30	1	9	29
transcript181819.chr2.nic	2	6	1	1	8
transcript191613.chr2.nic	385	414	30	327	296
transcript197850.chr2.nic	18	4	0	29	6
transcript207883.chr2.nic	23	28	5	16	24
transcript207928.chr2.nic	20	9	0	39	11
transcript207930.chr2.nic	7	3	1	7	4
transcript210029.chr2.nnic	20	27	3	14	15
transcript211979.chr2.nnic	293	502	1196	118	577
transcript212617.chr2.nic	83	53	93	70	91
transcript216388.chr2.nic	2	3	0	0	5
transcript216476.chr2.nic	0	0	1	1	0
transcript216480.chr2.nic	3	4	0	6	5
transcript216486.chr2.nic	6	6	2	5	10
transcript217439.chr2.nic	18	10	15	10	15
transcript21862.chr2.nnic	37	19	21	31	7
transcript21865.chr2.nic	16	27	9	8	28
transcript21931.chr2.nnic	67	41	32	72	46
transcript36519.chr2.nnic	13	17	9	9	16
transcript4078.chr2.nic	49	64	26	54	35
transcript44018.chr2.nnic	44	33	18	18	7
transcript44454.chr2.nnic	46	18	16	42	17
transcript44774.chr2.nnic	424	412	553	263	373
transcript46236.chr2.nnic	48	21	28	27	18
transcript46239.chr2.nnic	68	10	26	46	11
transcript46248.chr2.nnic	11	14	10	14	14
transcript46323.chr2.nnic	23	24	19	23	24
transcript6031.chr2.nnic	102	213	178	84	226
transcript8553.chr2.nic	4	4	6	6	6
transcript8562.chr2.nic	12	11	7	13	7
transcript8564.chr2.nnic	9	7	1	6	9
transcript8607.chr2.nic	1	1	2	5	3
transcript95262.chr2.nnic	23	20	7	33	10
transcript98781.chr2.nic	17	17	4	15	9
transcript98789.chr2.nnic	40	23	13	16	6
transcript98824.chr2.nic	30	34	19	27	12
transcript98872.chr2.nnic	14	9	3	21	8
transcript98884.chr2.nic	32	18	17	28	22
ENST00000231790.8	29	74	11	24	45
ENST00000264331.9	109	108	27	73	67
ENST00000264381.8	200	220	86	104	201
ENST00000264723.9	162	37	12	59	51
ENST00000266022.9	29	25	8	19	18
ENST00000273368.8	7	23	7	3	14
ENST00000295760.11	358	21	11	103	12
ENST00000295761.11	40	1	2	14	3
ENST00000296051.7	44	20	9	54	31
ENST00000302036.12	49	41	42	34	33
ENST00000305135.10	112	213	144	93	195
ENST00000308361.10	16	47	19	16	32
ENST00000310546.3	16	68	4	2	72
ENST00000319792.7	30	17	1	33	23
ENST00000325404.3	516	565	102	271	412
ENST00000325805.13	15	8	6	8	8
ENST00000339511.9	12	24	7	5	26
ENST00000344629.12	25	62	15	19	87
ENST00000354698.8	66	75	38	89	83
ENST00000355852.6	377	464	260	494	296
ENST00000357599.8	61	3	6	23	3
ENST00000360240.10	91	48	41	76	64
ENST00000383738.6	20	13	9	20	19
ENST00000393917.6	40	239	70	32	144
ENST00000396482.6	1	0	5	0	0
ENST00000402163.6	143	72	51	132	65
ENST00000402543.5	72	29	46	82	44
ENST00000404922.8	168	7	2	58	6
ENST00000412564.5	3	0	3	0	1
ENST00000415149.6	13	16	8	13	14
ENST00000417835.1	60	42	10	90	34
ENST00000421682.1	60	60	135	58	66
ENST00000422318.7	279	597	87	186	523
ENST00000425608.5	25	13	11	18	4
ENST00000426200.1	86	120	13	57	87
ENST00000426837.6	10	8	4	18	8
ENST00000427617.6	7	1	6	14	2
ENST00000432781.1	8	4	4	5	4
ENST00000434410.5	51	18	40	59	16
ENST00000435176.5	29	36	11	19	32
ENST00000435706.6	76	108	41	72	67
ENST00000439356.2	109	91	122	106	44
ENST00000440079.1	21	23	9	35	17
ENST00000442092.5	15	12	4	7	14
ENST00000443894.1	17	14	28	25	19
ENST00000448997.5	20	4	10	12	5
ENST00000450863.6	15	9	0	15	28
ENST00000454079.5	504	247	232	135	66
ENST00000455401.6	21	114	22	9	79
ENST00000455834.5	45	40	16	30	39
ENST00000456150.5	51	12	5	32	7
ENST00000460120.5	1	2	2	3	4
ENST00000461554.6	29	38	20	62	20
ENST00000461680.1	1	1	1	5	4
ENST00000461745.5	52	107	137	137	116
ENST00000462030.5	31	22	35	32	31
ENST00000463947.5	32	19	34	23	85
ENST00000467789.5	2	9	5	7	8
ENST00000469385.1	40	206	114	36	175
ENST00000469846.4	24	27	14	15	21
ENST00000470802.1	11	3	5	11	4
ENST00000471622.5	227	35	36	337	31
ENST00000472593.1	11	8	12	12	7
ENST00000476217.5	343	383	153	281	286
ENST00000478951.6	58	569	62	29	353
ENST00000479451.5	14	21	16	19	36
ENST00000480938.5	41	28	40	45	28
ENST00000481221.7	2	1	0	5	2
ENST00000482974.1	7	5	2	7	6
ENST00000485303.6	34	24	13	25	22
ENST00000486530.1	11	7	3	13	2
ENST00000490991.5	4	3	42	15	5
ENST00000491011.1	6	4	0	2	3
ENST00000493615.5	20	8	6	34	7
ENST00000496811.6	14	23	6	13	10
ENST00000497735.1	153	4	26	117	7
ENST00000504737.1	198	3	35	425	1
ENST00000508126.1	15	84	38	9	96
ENST00000522525.6	4	2	1	3	3
ENST00000524210.2	15	14	8	5	16
ENST00000608424.6	262	337	113	190	275
ENST00000616768.6	1	5	2	4	3
ENST00000650207.1	5	1	0	0	0
ENST00000655923.1	142	110	44	130	89
ENST00000660127.1	1	2	5	3	3
ENST00000664441.2	3	6	0	2	1
ENST00000664877.1	21	3	19	14	1
ENST00000673715.1	1	6	1	2	5
ENST00000673741.1	75	79	68	50	64
ENST00000680020.1	75	103	44	76	81
ENST00000684406.1	3	19	6	4	19
ENST00000687342.1	2	2	1	0	0
ENST00000688697.1	12	5	2	7	4
ENST00000689821.1	3	2	1	1	3
ENST00000693155.1	5	3	4	5	0
ENST00000699029.1	4	6	3	10	6
ENST00000699039.1	15	8	7	15	8
ENST00000706568.1	186	92	57	219	74
transcript102282.chr3.nic	27	13	18	22	11
transcript102287.chr3.nnic	16	30	7	15	32
transcript103715.chr3.nic	246	160	114	128	181
transcript104751.chr3.nnic	4	7	6	3	3
transcript116271.chr3.nic	34	4	1	8	2
transcript117470.chr3.nnic	141	3	31	83	5
transcript117494.chr3.nic	23	5	0	9	4
transcript117788.chr3.nic	7	2	3	12	2
transcript127880.chr3.nnic	2	0	0	4	0
transcript128041.chr3.nnic	14	10	1	38	11
transcript128055.chr3.nnic	27	2	4	33	4
transcript12833.chr3.nnic	528	9	42	223	11
transcript144598.chr3.nnic	67	40	69	96	48
transcript144763.chr3.nic	12	4	2	10	4
transcript144896.chr3.nic	6	3	1	5	5
transcript148233.chr3.nic	38	27	5	38	28
transcript148254.chr3.nic	28	65	1	35	50
transcript150239.chr3.nnic	177	149	147	133	106
transcript154493.chr3.nic	78	120	147	72	132
transcript154815.chr3.nic	2	8	4	10	3
transcript154817.chr3.nic	16	27	17	23	17
transcript167134.chr3.nnic	143	76	35	88	76
transcript167149.chr3.nnic	54	141	25	24	91
transcript167229.chr3.nnic	276	394	286	220	370
transcript167274.chr3.nnic	6	17	6	3	12
transcript167682.chr3.nic	9	12	11	12	10
transcript171360.chr3.nnic	135	77	175	92	84
transcript17564.chr3.nnic	556	542	378	469	424
transcript23377.chr3.nic	52	110	12	44	77
transcript23620.chr3.nic	40	30	27	43	28
transcript23748.chr3.nnic	171	168	205	167	174
transcript24362.chr3.nnic	61	47	41	58	45
transcript30439.chr3.nic	8	20	4	10	32
transcript30534.chr3.nnic	3	11	6	1	17
transcript30695.chr3.nic	96	45	18	66	36
transcript32207.chr3.nnic	86	32	54	96	37
transcript40726.chr3.nic	68	7	13	52	25
transcript40734.chr3.nic	32	11	20	30	13
transcript41550.chr3.nic	171	86	31	208	88
transcript42555.chr3.nnic	865	203	404	581	300
transcript47576.chr3.nnic	9	3	1	8	2
transcript48392.chr3.nnic	25	15	5	25	5
transcript51251.chr3.nic	53	69	37	52	41
transcript51256.chr3.nnic	487	399	465	449	469
transcript5359.chr3.nic	37	18	30	11	20
transcript56273.chr3.nic	37	38	5	32	30
transcript60949.chr3.nnic	2	19	4	3	21
transcript60962.chr3.nnic	22	32	14	2	23
transcript61112.chr3.nnic	9	2	14	3	5
transcript62986.chr3.nnic	9	4	15	6	3
transcript63120.chr3.nnic	4	0	1	3	0
transcript63270.chr3.nnic	108	98	27	71	72
transcript63387.chr3.nnic	8	2	1	11	2
transcript63389.chr3.nnic	42	0	7	57	0
transcript63391.chr3.nnic	22	0	1	39	1
transcript6429.chr3.nnic	14	3	10	6	5
transcript64880.chr3.nnic	80	15	21	46	11
transcript64886.chr3.nnic	56	8	24	47	8
transcript64897.chr3.nnic	1179	332	707	1677	335
transcript66856.chr3.nic	21	39	6	20	71
transcript68560.chr3.nnic	25	46	41	14	68
transcript7881.chr3.nic	4	4	1	3	5
ENST00000261439.9	4	8	1	2	20
ENST00000264501.8	184	139	116	248	92
ENST00000265175.5	33	20	40	37	38
ENST00000283131.4	20	14	8	10	14
ENST00000290921.10	38	52	7	21	37
ENST00000314167.9	57	64	23	59	62
ENST00000324989.12	49	106	20	44	56
ENST00000329687.8	12	20	9	4	14
ENST00000334304.10	51	71	16	25	40
ENST00000340139.10	18	24	14	13	18
ENST00000355443.9	104	147	48	66	122
ENST00000356064.3	16	24	2	10	15
ENST00000382952.8	85	187	50	66	192
ENST00000394203.7	58	44	34	45	35
ENST00000394276.3	6	3	2	12	3
ENST00000397890.7	273	444	119	227	309
ENST00000399100.6	40	40	11	51	39
ENST00000399820.8	54	93	26	51	68
ENST00000405727.6	5	4	0	3	7
ENST00000406664.5	50	43	54	22	77
ENST00000416543.5	2	2	0	1	3
ENST00000439128.6	6	5	4	6	5
ENST00000446803.6	32	21	3	7	41
ENST00000447510.7	38	6	8	48	1
ENST00000451321.6	48	77	18	62	59
ENST00000482114.1	4	3	3	11	3
