isoform_id	ES	ES_genomic_start	ES_genomic_end	MEE	MEE_genomic_start	MEE_genomic_end	MES	MES_genomic_start	MES_genomic_end	IR	IR_genomic_start	IR_genomic_end	A5	A5_genomic_start	A5_genomic_end	A3	A3_genomic_start	A3_genomic_end	ATSS	ATSS_genomic_start	ATSS_genomic_end	ATTS	ATTS_genomic_start	ATTS_genomic_end
ENST00000374807.9	1	65524564	65524614	0	NA	NA	1	65520429;65522431	65522285;65522493	1	65518068	65518149	0	NA	NA	0	NA	NA	1	65534754	65534833	0	NA	NA
ENST00000395891.7	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	43554790	43556723	1	43546225	43550445	0	NA	NA	0	NA	NA
transcript49381.chr7.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	43112647;43114157;43243875;43311763;43320635;43360886;43396814;43407562;43438003;43442529;43444218;43450828;43456297;43463660;43466447;43468920;43479610;43492075;43493084;43500699;43501213;43507137;43508018;43508969;43541163;43541869	43112937;43114391;43243932;43312087;43320742;43360980;43396889;43407731;43438145;43442629;43445570;43450929;43456447;43463799;43466568;43469105;43479744;43492180;43493180;43500782;43501322;43507257;43508131;43509121;43541261;43541998	1	43561815	43566001
transcript18632.chr12.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA
ENST00000000412.8	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	8947055	8949488	0	NA	NA	1	8949645	8949968	0	NA	NA
transcript18817.chr12.nic	0	NA	NA	0	NA	NA	0	NA	NA	1	8941941	8942415	1	8947055	8949488	0	NA	NA	1	8949719	8949968	1	8940361	8940365
transcript18648.chr12.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	8947055	8949488	1	8940869	8941940	1	8949669	8949968	1	8940361	8940365
ENST00000001146.7	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	72148037;72149131;72154381	72148923;72149209;72154695	0	NA	NA
transcript103658.chr2.nnic	0	NA	NA	0	NA	NA	1	72133023;72134761;72135144;72143989;72147631	72133307;72134916;72135419;72144213;72147862	0	NA	NA	0	NA	NA	1	72129985	72132619	1	72149131;72154381	72149209;72154695	1	72129238	72129306
transcript102600.chr2.nnic	0	NA	NA	0	NA	NA	0	NA	NA	1	72147863;72148801	72148036;72148923	0	NA	NA	0	NA	NA	0	NA	NA	1	72129238	72129306
transcript233985.chr2.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	201723043;201723330;201724295;201725356;201726484;201726664;201727212;201727705;201728512;201729052;201733037;201738670;201741674;201744258;201746566;201749712;201753146;201754503;201757402;201759457;201767229;201768866;201780877	201723120;201723441;201724459;201725454;201726549;201726866;201727278;201727775;201728640;201729183;201733438;201738735;201741854;201744429;201746748;201749789;201753242;201754671;201757759;201761818;201767383;201768945;201781178	0	NA	NA
transcript233889.chr2.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	201759457	201760881	0	NA	NA	0	NA	NA	1	201700565;201704122;201704454;201705139;201705416;201706846;201707869;201709881;201710991;201715672;201718077;201719986;201723043;201723330;201724295;201725356;201726484;201726664;201727212;201727705;201728512;201729052	201701889;201704218;201704603;201705200;201705461;201707022;201707991;201710038;201711108;201715839;201718210;201720575;201723120;201723441;201724459;201725454;201726549;201726866;201727278;201727775;201728640;201729183
ENST00000681619.1	1	201719986	201720575	0	NA	NA	0	NA	NA	0	NA	NA	2	201733037;201759457	201733276;201760881	1	201715836	201715839	1	201781158	201781178	1	201700565	201700567
ENST00000467448.5	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	201780956	201781178	1	201700565;201704122;201704454;201705139;201705416;201706846;201707869;201709881;201710991;201715672;201718077;201719986;201723043;201723330;201724295;201725356;201726484;201726664;201727212;201727705;201728512;201729052;201733037;201738670;201741674;201744258;201746566;201749712;201753146;201754503;201757402	201701889;201704218;201704603;201705200;201705461;201707022;201707991;201710038;201711108;201715839;201718210;201720575;201723120;201723441;201724459;201725454;201726549;201726866;201727278;201727775;201728640;201729183;201733438;201738735;201741854;201744429;201746748;201749789;201753242;201754671;201757759
ENST00000341222.10	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	201116164	201116167	1	201145378;201149003;201149754;201160432;201163835	201145432;201149052;201149835;201160942;201176687
ENST00000309955.8	1	201141374	201141598	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA
ENST00000469838.5	0	NA	NA	0	NA	NA	0	NA	NA	1	50100052	50100531	1	50089029	50089057	0	NA	NA	1	50088882	50088919	1	50103083;50104248;50105077;50105549;50106767;50107482;50108070;50108232;50109603;50110379;50110679;50112058;50113383;50113950;50114180;50115428;50115906;50117074;50117250;50117668;50118331	50103166;50104308;50105142;50105709;50106864;50107569;50108147;50108304;50109688;50110463;50110770;50112959;50113544;50114099;50114251;50115607;50115980;50117171;50117379;50117790;50119021
transcript81546.chr3.nic	0	NA	NA	0	NA	NA	0	NA	NA	1	50090452	50092042	1	50089029	50089057	0	NA	NA	0	NA	NA	1	50093720;50099982;50100532;50103083;50104248;50105077;50105549;50106767;50107482;50108070;50108232;50109603;50110379;50110679;50112058;50113383;50113950;50114180;50115428;50115906;50117074;50117250;50117668;50118331	50093875;50100051;50100605;50103166;50104308;50105142;50105709;50106864;50107569;50108147;50108304;50109688;50110463;50110770;50112959;50113544;50114099;50114251;50115607;50115980;50117171;50117379;50117790;50119021
transcript76520.chr3.nic	1	50112058	50112959	0	NA	NA	0	NA	NA	0	NA	NA	1	50089029	50089057	0	NA	NA	0	NA	NA	1	50113496;50113950;50114180;50115428;50115906;50117074;50117250;50117668;50118331	50113544;50114099;50114251;50115607;50115980;50117171;50117379;50117790;50119021
transcript78215.chr3.nnic	0	NA	NA	0	NA	NA	0	NA	NA	1	50100052	50100531	0	NA	NA	0	NA	NA	1	50088882	50088931	1	50103083;50104248;50105077;50105549;50106767;50107482;50108070;50108232;50109603;50110379;50110679;50112058;50113383;50113950;50114180;50115428;50115906;50117074;50117250;50117668;50118331	50103166;50104308;50105142;50105709;50106864;50107569;50108147;50108304;50109688;50110463;50110770;50112959;50113544;50114099;50114251;50115607;50115980;50117171;50117379;50117790;50119021
ENST00000347869.8	2	50112058;50117668	50112959;50117790	0	NA	NA	0	NA	NA	0	NA	NA	1	50089029	50089057	0	NA	NA	1	50088882	50088919	0	NA	NA
transcript76600.chr3.nnic	2	50100532;50112058	50100605;50112959	0	NA	NA	0	NA	NA	0	NA	NA	1	50089029	50089057	0	NA	NA	0	NA	NA	1	50113496;50113950;50114180;50115428;50115906;50117074;50117250;50117668;50118331	50113544;50114099;50114251;50115607;50115980;50117171;50117379;50117790;50119021
transcript81586.chr3.nnic	0	NA	NA	0	NA	NA	1	50113383;50113950;50114180;50115428;50115906;50117074;50117250	50113544;50114099;50114251;50115607;50115980;50117171;50117379	0	NA	NA	0	NA	NA	0	NA	NA	1	50088882;50090382;50092043;50093720;50099982;50100532;50103083;50104248;50105077;50105549;50106767;50107482;50108070;50108232;50109603;50110379;50110679	50089057;50090451;50092208;50093875;50100051;50100605;50103166;50104308;50105142;50105709;50106864;50107569;50108147;50108304;50109688;50110463;50110770	1	50118331	50119021
transcript11404.chr8.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	17367869	17371037	0	NA	NA	0	NA	NA	1	17296794;17302154;17304379;17305757;17309277;17311511;17313292;17331150;17338730;17348953	17300224;17302280;17304519;17305957;17309326;17311636;17313401;17331282;17341497;17349081
transcript11802.chr8.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	17296794;17302154;17304379;17305757;17309277;17311511;17313292;17331150;17338730;17348953;17360479	17300224;17302280;17304519;17305957;17309326;17311636;17313401;17331282;17341497;17349081;17361274
ENST00000180173.10	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	3	17338730;17360479;17367869	17341363;17361117;17371037	0	NA	NA	1	17413351	17413519	0	NA	NA
transcript11239.chr8.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	2	17360479;17367869	17361117;17371037	0	NA	NA	1	17413358	17413519	1	17296794;17302154;17304379;17305757;17309277;17311511;17313292;17331150	17300224;17302280;17304519;17305957;17309326;17311636;17313401;17331282
ENST00000672715.1	1	33031544	33031661	0	NA	NA	0	NA	NA	1	33010834	33013043	0	NA	NA	0	NA	NA	1	33036883	33036985	0	NA	NA
ENST00000480134.5	2	33021367;33031544	33021461;33031661	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	33036877	33036985	1	33007986	33010833
ENST00000373449.7	1	33031544	33031661	0	NA	NA	0	NA	NA	0	NA	NA	1	33013044	33013207	0	NA	NA	1	33036883	33036985	0	NA	NA
transcript99467.chr1.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	33013044	33013207	0	NA	NA	0	NA	NA	1	33007986	33009920
transcript61127.chr1.nic	2	23066060;23070366	23066071;23070488	0	NA	NA	0	NA	NA	0	NA	NA	1	23059167	23062518	2	23057800;23073274	23059073;23073292	0	NA	NA	1	23083686	23083689
transcript63969.chr1.nnic	0	NA	NA	0	NA	NA	1	23066060;23068539;23069061	23066071;23068681;23069151	0	NA	NA	0	NA	NA	0	NA	NA	1	23019383;23030469;23044427;23050387;23053761;23055069;23055932;23057484	23019947;23030634;23044486;23050520;23053839;23055161;23056038;23057565	1	23071225;23072124;23073274;23077228;23078990;23079553;23081446;23082220;23082450	23071359;23072197;23073403;23077360;23079177;23079667;23081573;23082366;23083689
ENST00000356634.7	3	23044427;23066060;23070366	23044486;23066071;23070488	0	NA	NA	0	NA	NA	0	NA	NA	1	23059167	23062518	3	23057800;23073274;23082450	23059073;23073292;23083179	1	23019383	23019448	0	NA	NA
ENST00000685102.1	2	23066060;23070366	23066071;23070488	0	NA	NA	0	NA	NA	0	NA	NA	1	23059167	23062518	2	23057800;23082450	23059073;23083179	1	23019383	23019443	1	23083672	23083689
ENST00000400181.9	1	23070366	23070488	0	NA	NA	0	NA	NA	0	NA	NA	1	23059167	23062518	3	23057800;23073274;23082450	23059073;23073292;23083179	1	23019383	23019468	0	NA	NA
transcript61839.chr1.nnic	0	NA	NA	0	NA	NA	1	23030469;23044427;23050387;23053761;23055069;23055932;23057484;23057800;23066060;23068539;23069061;23070366;23071225;23072124;23073274	23030634;23044486;23050520;23053839;23055161;23056038;23057565;23062518;23066071;23068681;23069151;23070488;23071359;23072197;23073403	0	NA	NA	0	NA	NA	1	23082450	23083179	1	23019383	23019468	0	NA	NA
transcript77332.chr3.nnic	0	NA	NA	0	NA	NA	1	50048245;50054335;50057728;50058402;50059649;50060956;50061140;50061462	50048319;50054395;50058003;50058562;50059746;50060998;50061221;50061547	0	NA	NA	0	NA	NA	1	50075173	50075201	1	49940007;49962576;49967198;49972059;49975323;49999440	49940225;49962685;49968748;49972148;49975392;49999513	0	NA	NA
ENST00000442092.5	0	NA	NA	0	NA	NA	1	49967198;49972059;49975323;49999440;50025072	49968748;49972148;49975392;49999513;50025096	0	NA	NA	0	NA	NA	2	50061864;50075173	50061962;50075201	0	NA	NA	0	NA	NA
ENST00000443081.5	1	50025072	50025096	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	2	50061864;50075173	50061962;50075201	1	49940007	49940041	1	50077248	50077249
ENST00000266022.9	1	50025072	50025096	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	3	49967198;50061864;50075173	49967470;50061962;50075201	1	49940007	49940150	0	NA	NA
ENST00000421682.1	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	49940007;49962576;49967198;49972059;49975323;49999440;50025072;50048245;50054335;50057728;50058402;50059649;50060956;50061140;50061462;50061864;50065031;50066242	49940225;49962685;49968748;49972148;49975392;49999513;50025096;50048319;50054395;50058003;50058562;50059746;50060998;50061221;50061547;50062108;50065126;50066392	0	NA	NA
transcript124192.chr7.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	93239934	93245477	0	NA	NA	0	NA	NA	0	NA	NA
transcript124319.chr7.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	93242075;93252653;93253860;93256509;93257394;93271220;93272635;93276165;93291703;93294545;93296742;93297145;93303460;93305828;93308824;93311166;93323611;93334117;93341427;93348711;93349875;93353640;93355891;93358317	93245477;93252775;93253931;93256562;93259632;93271262;93272733;93276305;93291835;93294636;93296836;93297243;93303550;93306004;93308942;93311272;93323732;93334197;93341575;93348807;93350033;93353761;93356080;93359026
transcript124321.chr7.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	93252653;93253860;93256509;93257394;93271220;93272635;93276165;93291703;93294545;93296742;93297145;93303460;93305828;93308824;93311166;93323611;93334117;93341427;93348711;93349875;93353640;93355891;93358317	93252775;93253931;93256562;93259632;93271262;93272733;93276305;93291835;93294636;93296836;93297243;93303550;93306004;93308942;93311272;93323732;93334197;93341575;93348807;93350033;93353761;93356080;93359026
transcript126810.chr7.nic	0	NA	NA	0	NA	NA	0	NA	NA	2	96184436;96185011;96189379	96184926;96185014;96189580	0	NA	NA	0	NA	NA	1	96191109;96193037;96208838;96234802;96277196;96296898;96321942	96191247;96193183;96208977;96234917;96277338;96296951;96322147	1	96120221;96121655;96121839;96131743	96121377;96121745;96121997;96131881
ENST00000416240.6	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	96140747	96146556	0	NA	NA	0	NA	NA	0	NA	NA
ENST00000321143.8	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	11111460	11111518	0	NA	NA	0	NA	NA	1	11123078	11123086
ENST00000380763.7	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	11111423	11111518	0	NA	NA	1	11111301	11111342	1	11121879	11123086
ENST00000380762.5	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	11111301	11111332	0	NA	NA
ENST00000394650.7	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	109560093	109560246	0	NA	NA
transcript106835.chr4.nic	0	NA	NA	0	NA	NA	0	NA	NA	2	109682743;109684647	109684442;109685250	0	NA	NA	0	NA	NA	0	NA	NA	1	109687716	109688719
ENST00000394391.9	1	57443134	57445313	0	NA	NA	0	NA	NA	0	NA	NA	1	57446091	57447342	0	NA	NA	1	57447385	57447420	0	NA	NA
transcript116744.chr16.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	57428187;57430258;57431151;57432487;57434044;57436656;57439182;57440772	57429280;57430339;57431266;57432560;57434212;57436732;57439334;57440983
ENST00000565961.5	3	57431151;57436656;57443134	57431266;57436732;57445313	0	NA	NA	0	NA	NA	0	NA	NA	2	57439182;57446091	57439186;57447342	0	NA	NA	1	57447406	57447420	1	57428187	57428218
ENST00000567518.5	1	57443134	57445313	0	NA	NA	0	NA	NA	0	NA	NA	1	57446091	57447342	1	57439295	57439334	1	57447419	57447420	0	NA	NA
transcript14650.chr19.nic	1	2335418	2336172	0	NA	NA	0	NA	NA	0	NA	NA	2	2334721;2341014	2335355;2342503	0	NA	NA	0	NA	NA	1	2351434;2352946	2351657;2355095
ENST00000613503.5	1	2335418	2336172	0	NA	NA	0	NA	NA	0	NA	NA	4	2334721;2341014;2345330;2351594	2335355;2342503;2346702;2351657	0	NA	NA	1	2328603	2328684	0	NA	NA
transcript16172.chr19.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	2328603	2328665	1	2337443;2338752;2339069;2339824;2340076;2340898;2343211;2343965;2344362;2344553;2345253;2351434;2352946	2337625;2338841;2339208;2339966;2340172;2342503;2343292;2344039;2344424;2344652;2346702;2351657;2355095
ENST00000610743.4	1	2335418	2336172	0	NA	NA	0	NA	NA	0	NA	NA	3	2334721;2341014;2345330	2335355;2342503;2346702	0	NA	NA	1	2328603	2328693	1	2353933	2355095
ENST00000618220.4	1	2335418	2336172	0	NA	NA	0	NA	NA	0	NA	NA	1	2334721	2335355	0	NA	NA	1	2328603	2328696	1	2343211;2343965;2344362;2344553;2345253;2351434;2352946	2343292;2344039;2344424;2344652;2346702;2351657;2355095
ENST00000382070.7	1	3791981	3792094	0	NA	NA	0	NA	NA	0	NA	NA	1	3849531	3850297	0	NA	NA	1	3880120	3880825	1	3725054	3727539
ENST00000262367.10	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	3849531	3850297	0	NA	NA	1	3880713	3880825	0	NA	NA
transcript17664.chr16.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	3849531	3850297	0	NA	NA	0	NA	NA	1	3725054;3731192;3731776	3729874;3731473;3731909
transcript28086.chr16.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	3725054;3731192;3731776;3736036;3736650;3738559;3739578;3740399;3744894;3745277;3749627;3751726;3757288;3757809;3758854;3767720;3769174;3770570;3773751;3774569;3777613;3778011;3778700;3780732;3781204;3782684;3791981;3793386;3810603	3729874;3731473;3731937;3736203;3736815;3738672;3739724;3740549;3744961;3745354;3749683;3751806;3757376;3758048;3758972;3767909;3769353;3770986;3773930;3774693;3777657;3778182;3778817;3780878;3781306;3782926;3792094;3793626;3810779
ENST00000409791.5	1	74422153	74422375	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	74425570	74425640	1	74421290	74421729	1	74425754	74425755
transcript105282.chr2.nic	1	74422153	74422375	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	74421290	74421678	0	NA	NA
transcript105271.chr2.nnic	1	74423478	74423531	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA
ENST00000348227.4	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	74421290	74421730	0	NA	NA
transcript157843.chr7.nic	1	105039400	105039420	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	105062164;105063351;105066727;105073619;105074643;105076043;105076963;105077303;105078846;105081688;105090009;105091216;105101425;105101886;105105439;105105859;105106522;105107166;105107362;105108942;105110280;105110477;105110771;105111825	105062278;105063580;105066807;105073677;105074815;105076081;105077193;105077433;105078963;105081797;105090273;105091609;105101589;105102649;105105693;105106003;105106772;105107222;105107925;105109228;105110368;105110602;105110868;105115019
transcript159793.chr7.nic	0	NA	NA	0	NA	NA	1	105038126;105039400	105038199;105039420	0	NA	NA	0	NA	NA	0	NA	NA	1	105012863	105013199	1	105062164;105063351;105066727;105073619;105074643;105076043;105076963;105077303;105078846;105081688;105090009;105091216;105101425;105101886;105105439;105105859;105106522;105107166;105107362;105108942;105110280;105110477;105110771;105111825	105062278;105063580;105066807;105073677;105074815;105076081;105077193;105077433;105078963;105081797;105090273;105091609;105101589;105102649;105105693;105106003;105106772;105107222;105107925;105109228;105110368;105110602;105110868;105115019
ENST00000476671.5	1	105039400	105039420	0	NA	NA	0	NA	NA	0	NA	NA	1	105041023	105041066	0	NA	NA	1	105012863	105014218	1	105101425;105101886;105105439;105105859;105106522;105107166;105107362;105108942;105110280;105110477;105110771;105111825	105101589;105102649;105105693;105106003;105106772;105107222;105107925;105109228;105110368;105110602;105110868;105115019
ENST00000479838.3	1	105039400	105039420	0	NA	NA	0	NA	NA	0	NA	NA	2	105041023;105091314	105041066;105091609	0	NA	NA	1	105012863	105014185	1	105105439;105105859;105106522;105107166;105107362;105108942;105110280;105110477;105110771;105111825	105105693;105106003;105106772;105107222;105107925;105109228;105110368;105110602;105110868;105115019
ENST00000311117.8	1	105039400	105039420	0	NA	NA	0	NA	NA	0	NA	NA	3	105041023;105091314;105102194	105041066;105091609;105102649	0	NA	NA	1	105012863	105014205	0	NA	NA
transcript155559.chr7.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	2	105041023;105091314	105041066;105091609	0	NA	NA	1	105012863;105038126	105014535;105038199	1	105101480;105101886;105105439;105105859;105106522;105107166;105107362;105108942;105110280;105110477;105110771;105111825	105101589;105102649;105105693;105106003;105106772;105107222;105107925;105109228;105110368;105110602;105110868;105115019
transcript155660.chr7.nic	0	NA	NA	0	NA	NA	1	105038126;105039400	105038199;105039420	0	NA	NA	1	105041023	105041066	0	NA	NA	1	105012863	105013199	1	105090132;105091216;105101425;105101886;105105439;105105859;105106522;105107166;105107362;105108942;105110280;105110477;105110771;105111825	105090273;105091609;105101589;105102649;105105693;105106003;105106772;105107222;105107925;105109228;105110368;105110602;105110868;105115019
ENST00000473063.2	1	105110477	105110602	0	NA	NA	1	105038126;105039400	105038199;105039420	0	NA	NA	3	105041023;105091314;105102194	105041066;105091609;105102649	0	NA	NA	1	105012863	105014205	1	105113333	105115019
transcript155604.chr7.nic	1	105039400	105039420	0	NA	NA	0	NA	NA	0	NA	NA	1	105041023	105041066	0	NA	NA	1	105012863	105013199	1	105090132;105091216;105101425;105101886;105105439;105105859;105106522;105107166;105107362;105108942;105110280;105110477;105110771;105111825	105090273;105091609;105101589;105102649;105105693;105106003;105106772;105107222;105107925;105109228;105110368;105110602;105110868;105115019
transcript57477.chr13.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	77233157;77243059;77243806;77251151;77257671;77260428;77261171;77262053;77263651;77263929;77267841;77269992;77270296;77273472;77278758;77288161;77296599;77326474	77233263;77243160;77243951;77251355;77257829;77260592;77261375;77262129;77263789;77264002;77267937;77270063;77270538;77273668;77278911;77288376;77296674;77327124	0	NA	NA
transcript57456.chr13.nic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	77044657;77050997;77051811;77055558;77056986;77058218;77059523;77061169;77061662;77062596;77064615;77115868	77045493;77051162;77051918;77055767;77057093;77058406;77059626;77061301;77061790;77062697;77064720;77115884
ENST00000621914.4	0	NA	NA	0	NA	NA	1	35665127;35670857	35670113;35670898	0	NA	NA	1	35682824	35684907	0	NA	NA	0	NA	NA	1	35726409	35726413
transcript85800.chr17.nnic	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	35587274;35594008;35598230;35605705;35608142;35624397;35626621;35627385;35627631;35636341;35639595;35641877;35650530;35657599	35587428;35594067;35598335;35605840;35608387;35624587;35626842;35627505;35627726;35636456;35639760;35641975;35650789;35657791	1	35709224;35710234;35717195;35723625	35709308;35710320;35717349;35726413
