isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
transcript31122.chr7.nic	8	2	2	8
transcript487.chr7.nic	19	13	4	21
transcript50.chr7.nic	3	7	3	6
transcript55.chr7.nic	16	21	0	6
transcript73.chr7.nic	9	13	0	9
transcript90.chr7.nic	2	4	1	39
ENST00000359421.9	8	9	3	22
ENST00000423990.6	1	0	3	3
ENST00000452913.6	3	6	2	6
ENST00000518116.5	34	27	15	45
ENST00000522803.5	2	0	1	3
ENST00000523577.5	9	5	5	22
transcript21803.chr8.nic	2	1	9	67
ENST00000242285.11	2	6	4	23
ENST00000300452.8	141	127	31	98
ENST00000345519.10	815	669	112	635
ENST00000396603.6	4	5	39	210
ENST00000470744.5	7	7	1	16
ENST00000540080.5	18	26	5	24
ENST00000608951.5	30	29	19	92
ENST00000609948.1	23	23	11	68
transcript33517.chr9.nnic	17	8	2	15
transcript33522.chr9.nnic	5	6	0	8
transcript33672.chr9.nnic	10	8	4	15
ENST00000335698.4	207	194	0	10
ENST00000342558.3	54	54	11	34
ENST00000356708.12	344	308	135	943
ENST00000360663.10	5	3	2	12
ENST00000370591.6	2	1	4	20
ENST00000370597.8	23	18	2	1
ENST00000374189.6	3	5	14	114
ENST00000394828.6	25	27	0	0
ENST00000394829.6	24	23	25	156
ENST00000395611.7	6	4	1	16
ENST00000459755.1	40	35	36	88
ENST00000465936.5	11	12	5	17
ENST00000469110.1	23	17	42	133
ENST00000475285.2	0	0	3	0
ENST00000493053.5	67	53	21	144
ENST00000495897.2	12	10	5	14
transcript13882.chr10.nnic	26	23	14	40
transcript21730.chr10.nic	4	5	2	6
transcript21826.chr10.nic	9	8	1	11
transcript29586.chr10.nic	4	6	0	5
transcript29934.chr10.nic	0	1	10	56
ENST00000064778.8	33	28	15	199
ENST00000241001.13	104	113	76	432
ENST00000263574.9	43	50	30	146
ENST00000310653.10	18	24	2	14
ENST00000336083.8	16	16	17	129
ENST00000338167.10	717	588	29	152
ENST00000356467.5	30	49	1	25
ENST00000360796.10	63	63	89	768
ENST00000379109.7	6	6	3	18
ENST00000403550.5	2	4	1	0
ENST00000407022.7	60	32	5	19
ENST00000421906.5	13	14	1	5
ENST00000423822.7	17	14	8	51
ENST00000440460.7	8	14	5	19
ENST00000470027.7	13	8	2	7
ENST00000470529.5	20	54	41	179
ENST00000481563.6	94	106	14	62
ENST00000495263.2	10	7	3	0
ENST00000527702.5	34	43	16	20
ENST00000528499.5	249	206	9	58
ENST00000529225.5	1	0	1	2
ENST00000532916.5	7	8	15	22
ENST00000533333.5	21	33	18	72
ENST00000533860.5	6	10	3	6
ENST00000541795.1	7	7	12	23
ENST00000606377.7	12	11	8	38
ENST00000615255.1	10	11	7	12
ENST00000638250.1	7	6	6	21
ENST00000638278.1	3	7	3	5
ENST00000638965.1	4	7	19	12
ENST00000639034.2	15	18	22	70
ENST00000639052.1	6	10	2	4
ENST00000639386.2	46	47	2	7
ENST00000639916.1	31	19	17	103
ENST00000640368.2	30	22	24	167
ENST00000640610.1	9	5	4	35
ENST00000640613.1	6	6	5	54
ENST00000640872.1	8	5	2	4
ENST00000643871.1	7	8	1	48
ENST00000683296.1	13	7	1	14
ENST00000684258.1	1	3	4	8
transcript22203.chr11.nic	9	5	5	63
transcript31983.chr11.nnic	52	19	11	14
transcript32017.chr11.nnic	3	5	1	1
transcript32032.chr11.nnic	0	2	1	2
transcript32048.chr11.nnic	3	2	1	16
transcript32072.chr11.nnic	0	3	0	3
transcript35664.chr11.nic	9	14	11	15
transcript35737.chr11.nic	6	13	6	15
transcript45399.chr11.nic	18	16	8	34
transcript45515.chr11.nic	5	5	4	69
transcript45676.chr11.nic	3	2	1	6
transcript51523.chr11.nic	49	48	12	99
ENST00000229266.8	54	51	1	10
ENST00000308664.10	86	100	67	212
ENST00000317551.12	8	7	3	5
ENST00000327772.7	377	350	171	839
ENST00000377685.9	8	16	31	175
ENST00000380189.8	1	0	8	32
ENST00000422340.6	0	2	0	0
ENST00000462885.1	674	656	166	1061
ENST00000539276.7	131	127	36	155
ENST00000547157.1	82	64	16	15
ENST00000547787.5	21	13	1	7
ENST00000547986.5	14	14	4	43
ENST00000549128.5	6	5	0	2
ENST00000549872.5	6	4	0	2
ENST00000552351.5	0	0	2	6
transcript19230.chr12.nic	0	0	2	14
transcript19237.chr12.nic	0	2	4	13
transcript19238.chr12.nnic	7	3	0	3
transcript19377.chr12.nic	8	2	3	9
transcript39808.chr12.nnic	1	1	0	26
transcript39809.chr12.nnic	7	7	4	23
transcript39940.chr12.nic	8	6	2	13
transcript40881.chr12.nnic	404	233	20	50
transcript40883.chr12.nnic	34	18	0	5
transcript43194.chr12.nic	2	4	0	18
transcript44332.chr12.nic	69	76	35	67
ENST00000302979.5	263	250	76	336
transcript3241.chr13.nic	63	61	24	229
transcript3248.chr13.nic	28	22	2	20
transcript3250.chr13.nic	9	9	0	4
ENST00000267484.10	31	30	4	37
ENST00000281127.11	3	6	5	9
ENST00000331320.12	27	33	4	33
ENST00000342503.8	16	11	213	1403
ENST00000348520.10	25	31	20	77
ENST00000389744.8	1	6	5	19
ENST00000402714.6	368	264	84	581
ENST00000405646.5	11	22	3	30
ENST00000406191.5	92	84	2	53
ENST00000435036.6	2	7	2	3
ENST00000445352.8	14	14	51	161
ENST00000452929.6	4	9	0	2
ENST00000553286.5	8	25	33	188
ENST00000554280.5	25	20	2	17
ENST00000554695.5	8	6	26	117
ENST00000555467.1	15	7	19	41
ENST00000555606.5	30	35	46	108
ENST00000555848.1	35	14	28	54
ENST00000556986.1	18	11	0	8
ENST00000557450.5	116	81	18	157
ENST00000557575.5	5	8	8	53
ENST00000557594.5	7	12	13	35
ENST00000679122.1	1	1	0	5
transcript25899.chr14.nic	0	0	2	14
transcript26030.chr14.nic	1	1	25	136
transcript26068.chr14.nic	8	5	6	27
transcript29977.chr14.nic	28	19	2	25
transcript29982.chr14.nic	17	15	22	213
transcript32992.chr14.nnic	30	32	90	463
transcript34218.chr14.nnic	1	3	7	51
transcript34256.chr14.nnic	1	0	0	39
transcript34293.chr14.nic	19	15	5	31
transcript34294.chr14.nic	46	54	1	32
transcript34823.chr14.nnic	128	125	64	171
ENST00000249837.7	71	61	3	33
ENST00000288398.10	8	10	2	12
ENST00000319622.10	13	3	10	63
ENST00000334895.10	8	4	10	43
ENST00000335181.10	1594	1186	215	1546
ENST00000358278.7	374	267	1	5
ENST00000559281.6	13	8	1	6
ENST00000559831.6	37	31	10	33
ENST00000565143.1	30	43	18	114
ENST00000610733.1	22	18	1	0
ENST00000645819.1	7	6	23	97
transcript16790.chr15.nnic	1	0	8	12
transcript16891.chr15.nic	19	8	10	33
transcript17111.chr15.nic	60	51	1	2
transcript17265.chr15.nic	68	38	12	40
transcript22528.chr15.nic	229	241	274	1891
ENST00000300797.7	12	17	4	26
ENST00000350773.9	3	3	1	36
ENST00000358758.12	4	1	7	63
ENST00000401874.7	31	20	0	29
ENST00000637290.1	8	4	3	8
ENST00000637565.1	24	16	6	19
ENST00000642797.1	11	7	0	9
ENST00000642936.1	8	6	1	10
ENST00000647876.1	35	31	5	43
transcript15015.chr16.nnic	21	16	4	26
transcript3523.chr16.nic	13	19	3	14
transcript3576.chr16.nic	7	9	4	8
transcript3774.chr16.nic	9	10	10	17
ENST00000225394.8	67	42	0	1
ENST00000269243.8	56	43	2	9
ENST00000379980.8	13	14	8	37
ENST00000394869.7	2	1	1	30
ENST00000423034.6	95	100	4	65
ENST00000427177.6	29	24	3	20
ENST00000465458.2	24	11	18	68
ENST00000488329.1	1	2	1	2
ENST00000541152.6	41	42	8	137
ENST00000572179.5	92	129	43	188
ENST00000572433.5	3	1	2	2
ENST00000684843.1	4	1	1	5
ENST00000685631.1	16	15	13	20
ENST00000688497.1	1	1	0	4
ENST00000692526.1	6	10	6	23
transcript14835.chr17.nic	0	2	1	13
transcript15607.chr17.nic	5	2	2	7
transcript2747.chr17.nnic	3	5	11	65
ENST00000342933.7	3	3	2	9
ENST00000544123.5	1	0	2	9
transcript1778.chr18.nic	3	4	4	47
transcript1798.chr18.nic	5	4	8	42
transcript1813.chr18.nic	51	28	2	8
transcript1864.chr18.nic	17	22	13	19
transcript2222.chr18.nnic	67	64	35	106
ENST00000245923.9	2	0	1	14
ENST00000262963.11	9	9	0	14
ENST00000270631.2	431	418	29	63
ENST00000303088.9	91	81	15	48
ENST00000309244.9	329	294	170	913
ENST00000344680.8	9	3	13	197
ENST00000354232.8	91	81	184	866
ENST00000392324.8	7	6	0	1
ENST00000407627.7	38	48	52	178
ENST00000430715.6	15	16	21	46
ENST00000456252.7	6	3	0	0
ENST00000540977.1	4	3	2	5
ENST00000588012.5	27	15	3	7
ENST00000588552.5	34	26	13	111
ENST00000591286.5	4	6	1	29
transcript24473.chr19.nic	1	4	0	16
transcript24483.chr19.nic	82	53	1	3
transcript24497.chr19.nic	3	0	0	30
transcript24503.chr19.nic	5	3	3	113
transcript24982.chr19.nic	25	25	17	103
transcript25152.chr19.nic	7	7	2	13
transcript25359.chr19.nic	7	2	13	23
transcript28883.chr19.nnic	93	134	16	66
transcript30017.chr19.nic	11	13	5	24
transcript30230.chr19.nic	11	13	4	14
transcript30231.chr19.nic	9	6	4	17
transcript43518.chr19.nic	43	41	16	102
transcript61679.chr19.nic	2	1	0	16
transcript68934.chr19.nnic	38	41	13	115
ENST00000217121.9	0	0	1	7
ENST00000217426.7	414	338	32	181
ENST00000346249.9	26	14	1	2
ENST00000348257.9	89	78	0	15
ENST00000351424.8	0	1	3	29
ENST00000352482.8	0	2	2	22
ENST00000358548.4	2	4	14	103
ENST00000372420.5	2	4	4	32
ENST00000372431.8	26	26	5	12
ENST00000377026.4	8	8	44	260
ENST00000398425.7	5	7	0	4
ENST00000420868.2	3	6	1	4
ENST00000432543.6	5	11	13	79
ENST00000472855.5	1	2	0	0
ENST00000474176.2	4	3	4	16
ENST00000477313.5	15	9	0	3
ENST00000491935.5	144	99	38	352
ENST00000611972.4	4	1	0	6
ENST00000620230.4	13	6	2	4
transcript12262.chr20.nnic	59	47	13	103
transcript12408.chr20.nnic	36	29	3	18
transcript23697.chr20.nnic	58	28	2	7
transcript23738.chr20.nnic	4	6	3	20
transcript23787.chr20.nnic	2	3	1	19
transcript25602.chr20.nic	5	6	3	19
transcript7505.chr20.nic	12	5	4	7
ENST00000346798.8	98	53	0	2
ENST00000348990.9	32	39	13	151
ENST00000357903.7	139	88	5	23
transcript28183.chr21.nnic	73	51	25	64
transcript28203.chr21.nic	27	19	17	54
ENST00000318801.8	21	30	2	5
ENST00000328933.10	130	143	84	395
ENST00000332035.10	8	9	2	4
ENST00000360091.3	41	38	36	83
ENST00000397938.7	236	162	49	209
ENST00000403663.6	70	57	19	27
ENST00000406548.5	113	80	14	55
ENST00000414183.6	2	3	23	99
ENST00000479135.5	58	37	31	87
ENST00000644935.1	137	94	112	395
transcript29156.chr22.nic	1	1	7	57
transcript29575.chr22.nic	21	22	22	17
transcript30176.chr22.nic	28	19	18	61
transcript34832.chr22.nic	98	84	33	98
transcript35106.chr22.nic	9	3	8	18
transcript37666.chr22.nic	6	4	2	9
transcript45670.chrM.nnic	8090	12082	2102	6681
transcript45698.chrM.nnic	255	2203	32	889
transcript45714.chrM.nnic	359	240	111	265
transcript45978.chrM.nnic	1488	1218	623	2662
transcript46063.chrM.nnic	981	1024	406	1483
transcript46773.chrM.nnic	595	607	279	1262
ENST00000329235.6	273	325	256	1504
ENST00000330735.7	228	257	75	273
ENST00000335972.11	345	364	62	873
ENST00000355899.8	74	59	9	42
ENST00000360319.9	215	266	14	57
ENST00000369850.10	24	24	1	2
ENST00000372390.8	115	99	62	525
ENST00000372397.6	89	78	31	134
ENST00000377269.3	24	13	9	33
ENST00000377351.8	40	44	3	89
ENST00000380084.8	46	31	14	162
ENST00000380087.7	66	52	13	90
ENST00000380291.5	176	165	29	96
ENST00000404022.5	490	409	68	483
ENST00000676696.1	4	2	2	39
transcript2363.chrX.nic	61	35	8	44
transcript27364.chrX.nic	1	3	3	60
transcript27394.chrX.nic	11	5	1	3
transcript36277.chrX.nnic	228	264	36	110
transcript7781.chrX.nic	106	117	30	95
transcript8907.chrX.nnic	63	63	49	130
transcript8944.chrX.nnic	27	43	20	75
