ID	Description	Count	GeneRatio	geneID
GO:0043235	receptor complex	53	53/1674	NOTCH3/CHRNA4/P2RX3/DRD2/NOTCH2/KCTD16/PDGFRA/AXL/SMAD3/CHRNB3/EGFR/GRIK3/EPHB4/FGFR3/NRP1/IL13RA1/BMPR1B/CHRNA5/LHCGR/BMP2/GABRA2/CNIH2/PDGFRB/CHRNB2/GABRB3/CACNG4/ERBB4/PLXNA3/CHRNA3/OLFM3/GRIA2/IRS1/GRIA1/PLXNA2/ITGA6/FGFR1/NLGN1/AHR/GABBR2/MERTK/NTRK2/PLXNA1/LYN/VWC2/GPRC5B/PTPRN2/FLNA/GABRA3/GFRA2/ERBB2/LRP8/MET/ITGA2
GO:0043256	laminin complex	3	3/1674	LAMB2/LAMA5/LAMC1
GO:0043291	RAVE complex	1	1/1674	DMXL2
GO:0043293	apoptosome	0	0/1674	
GO:0043493	viral terminase complex	0	0/1674	
GO:0043511	inhibin complex	0	0/1674	
GO:0043514	interleukin-12 complex	0	0/1674	
GO:0043684	type IV secretion system complex	0	0/1674	
GO:0043850	RecFOR complex	0	0/1674	
GO:0044697	HICS complex	0	0/1674	
GO:0044777	single-stranded DNA-binding protein complex	0	0/1674	
GO:0044816	Nsk1-Dlc1 complex	0	0/1674	
GO:0045298	tubulin complex	0	0/1674	
GO:0046798	viral portal complex	0	0/1674	
GO:0046806	viral scaffold	0	0/1674	
GO:0048180	activin complex	0	0/1674	
GO:0055087	Ski complex	0	0/1674	
GO:0061574	ASAP complex	0	0/1674	
GO:0061696	pituitary gonadotropin complex	0	0/1674	
GO:0061700	GATOR2 complex	0	0/1674	
GO:0061702	canonical inflammasome complex	0	0/1674	
GO:0061703	pyroptosome complex	0	0/1674	
GO:0061927	TOC-TIC supercomplex I	0	0/1674	
GO:0061957	NVT complex	0	0/1674	
GO:0062048	lymphotoxin complex	0	0/1674	
GO:0062049	protein phosphatase inhibitor complex	0	0/1674	
GO:0062073	histone mRNA stem-loop binding complex	0	0/1674	
GO:0062092	Yae1-Lto1 complex	0	0/1674	
GO:0062167	complement component C1q complex	0	0/1674	
GO:0070288	ferritin complex	0	0/1674	
GO:0070422	G-protein beta/gamma-Raf-1 complex	0	0/1674	
GO:0070441	G-protein beta/gamma-Btk complex	0	0/1674	
GO:0070695	FHF complex	0	0/1674	
GO:0070743	interleukin-23 complex	0	0/1674	
GO:0070744	interleukin-27 complex	0	0/1674	
GO:0070745	interleukin-35 complex	0	0/1674	
GO:0070826	paraferritin complex	0	0/1674	
GO:0070864	sperm individualization complex	0	0/1674	
GO:0071075	CUGBP1-eIF2 complex	0	0/1674	
GO:0071141	SMAD protein complex	4	4/1674	SMAD3/HMGA2/SMAD1/SMAD6
GO:0071203	WASH complex	0	0/1674	
GO:0071563	Myo2p-Vac17p-Vac8p transport complex	0	0/1674	
GO:0071817	MMXD complex	0	0/1674	
GO:0072379	ER membrane insertion complex	1	1/1674	SGTB
GO:0090443	FAR/SIN/STRIPAK complex	0	0/1674	
GO:0090665	glycoprotein complex	5	5/1674	DMD/PGM5/UTRN/KRT8/FLNA
GO:0097057	TRAF2-GSTP1 complex	0	0/1674	
GO:0097058	CRLF-CLCF1 complex	0	0/1674	
GO:0097059	CNTFR-CLCF1 complex	0	0/1674	
GO:0097071	interferon regulatory factor complex	0	0/1674	
GO:0097078	FAL1-SGD1 complex	0	0/1674	
GO:0097136	Bcl-2 family protein complex	1	1/1674	BCL2
GO:0097196	Shu complex	0	0/1674	
GO:0097255	R2TP complex	0	0/1674	
GO:0097344	Rix1 complex	0	0/1674	
GO:0097347	TAM protein secretion complex	0	0/1674	
GO:0097373	MCM core complex	0	0/1674	
GO:0097452	GAIT complex	0	0/1674	
GO:0097495	H-NS-Hha complex	0	0/1674	
GO:0097537	Y-shaped link	0	0/1674	
GO:0097619	PTEX complex	0	0/1674	
GO:0097710	viral terminase, small subunit	0	0/1674	
GO:0098046	type V protein secretion system complex	0	0/1674	
GO:0098561	methyl accepting chemotaxis protein complex	0	0/1674	
GO:0098636	protein complex involved in cell adhesion	7	7/1674	LAMB2/TNR/ITGA6/LAMC1/NLGN1/LYN/ITGA2
GO:0098733	hemidesmosome associated protein complex	0	0/1674	
GO:0098745	RNA decapping complex	0	0/1674	
GO:0098796	membrane protein complex	105	105/1674	CHRNA4/ATP6V1B1/DPP6/CPLX2/DRD2/GNG3/CACNA1E/GNG2/GNAO1/GJA1/PDE4B/CDH7/CDH6/SEC24D/CACNA1A/HSPG2/CHRNB3/DMD/EGFR/GRIK3/AP3B2/APC2/SCN3B/AKAP6/KCNA4/SLC17A6/PGM5/STON1/SNAP25/MAGT1/STX1A/LRRC26/CACNA1B/IL13RA1/CASP3/ATP1A3/BMPR1B/SCN3A/CACNB3/CHRNA5/BCL2/UTRN/SOCS3/BMP2/GABRA2/ATP6V0E2/STX1B/KRT8/CNIH2/CHRNB2/GABRB3/KCNB1/CACNG4/ATP1A2/NECAP1/KCNH2/CTNNA2/KCND3/NAPB/CHRNA3/SCN9A/LIN7A/KCNC1/OLFM3/SSPOP/AHNAK/GRIA2/GNG12/IRS1/CDH11/GRIA1/ITGA6/ADAM10/KCNS2/CALM1/STX6/OSTC/KCNK1/GABBR2/IMMP2L/CLIC6/KCNQ2/ANO1/CACNB1/LYN/VWC2/SEC11C/DIPK2A/CLTB/SLC7A5/NAPA/COX7A2/FLNA/CALM2/GABRA3/ABCC8/ERBB2/CRB1/SCN11A/KCNAB1/MLEC/ITGA2/PIK3CD/ATP6V0D1/SNAP23
GO:0098798	mitochondrial protein-containing complex	6	6/1674	SUCLG2/PRORP/IMMP2L/COX7A2/PDK1/MRPS27
GO:0098820	trans-synaptic protein complex	0	0/1674	
GO:0099023	vesicle tethering complex	1	1/1674	EXOC1
GO:0099126	transforming growth factor beta complex	0	0/1674	
GO:0106002	mCRD-mediated mRNA stability complex	0	0/1674	
GO:0106003	amyloid-beta complex	0	0/1674	
GO:0106093	EDS1 disease-resistance complex	0	0/1674	
GO:0106249	Nicalin-NOMO complex	0	0/1674	
GO:0106333	subcortical maternal complex	0	0/1674	
GO:0110078	TTT complex	0	0/1674	
GO:0110131	Aim21-Tda2 complex	0	0/1674	
GO:0110142	ubiquinone biosynthesis complex	0	0/1674	
GO:0110157	reelin complex	0	0/1674	
GO:0120099	procentriole replication complex	2	2/1674	STIL/CEP152
GO:0120114	Sm-like protein family complex	1	1/1674	LSM11
GO:0120124	membrane fusion priming complex	0	0/1674	
GO:0120155	MIH complex	0	0/1674	
GO:0120171	Cdc24p-Far1p-Gbetagamma complex	0	0/1674	
GO:0120216	matrilin complex	0	0/1674	
GO:0120228	outer dynein arm docking complex	0	0/1674	
GO:0120339	radial spoke base	0	0/1674	
GO:0120343	radial spoke neck	0	0/1674	
GO:0140007	KICSTOR complex	0	0/1674	
GO:0140224	SLAC complex	0	0/1674	
GO:0140225	DNA topoisomerase III-beta-TDRD3 complex	0	0/1674	
GO:0140451	counting factor complex	0	0/1674	
GO:0140513	nuclear protein-containing complex	60	60/1674	BIRC5/YAP1/UBE2C/AFF3/MAF/SMAD3/HLF/MCM3/ACTL6B/CDC20/TCF7L2/MED12L/BUB1B/MCM2/LSM11/RAD51B/TEAD2/TERF2IP/ATF3/TIMELESS/RFC3/GINS1/SMAD1/MAD2L1/PCNA/ERCC6/CDC73/CHTF18/MTA3/SMAD6/BRIP1/MCM4/E2F5/RCOR1/POLR3A/FANCB/MXD3/BRCA2/AHR/MCM5/HDAC9/ELL2/ANP32E/STAT6/DPF3/POLE2/TBPL1/FLNA/PHC2/PBX1/RPA1/FANCM/MED25/AFF1/MCM6/DSCC1/XRCC2/FOSL1/ASXL3/LIG3
GO:0140534	endoplasmic reticulum protein-containing complex	5	5/1674	MAGT1/P4HB/OSTC/SEC11C/MLEC
GO:0140535	intracellular protein-containing complex	32	32/1674	UBE2C/FBXL16/MCM3/ACTL6B/APC2/CKS1B/CDC20/KIF23/CAMK2A/BUB1B/DDB2/KAT2B/SESN3/CDC73/PRORP/CENPF/HSPB1/BLOC1S2/DCTN1/POLR3A/ECT2/BRCA2/AHR/SPOPL/SKP2/ENC1/CKS2/PRKAR2B/JADE1/POLE2/TBPL1/PHC2
GO:0140910	iRhom2/ADAM17 sheddase complex	0	0/1674	
GO:0150005	enzyme activator complex	1	1/1674	PCNA
GO:0160055	glideosome	0	0/1674	
GO:0160065	SIN/MEN signaling complex	0	0/1674	
GO:0160074	non-canonical inflammasome complex	0	0/1674	
GO:0180019	Knl1/Spc105 complex	4	4/1674	SPC24/NUF2/NDC80/ZWINT
GO:1902494	catalytic complex	85	85/1674	ATP6V1B1/GNG3/UBE2C/FBXL16/GNG2/CCND1/GNAO1/P3H4/CCNB1/MCM3/TOP2A/ACTL6B/APC2/CCNA2/DYNLT3/CKS1B/CDC20/CDK1/MAGT1/CAMK2A/BUB1B/LSM11/DDB2/KAT2B/FANCD2/SOCS3/ATP6V0E2/DYNC1LI1/RRM2/ETFB/CDK2/SUCLG2/QPRT/PCNA/ERCC6/GNG12/CDC73/PRORP/GPD1L/IRS1/MTA3/CDK6/CDKN2D/CDK5R1/PPP2R5B/HSPB1/RCOR1/DCTN1/PAFAH1B3/POLR3A/CALM1/DYNLT1/P4HB/OSTC/BRCA2/IMMP2L/SPOPL/HDAC9/SKP2/ENC1/CKS2/CDK5R2/BLM/PRKAR2B/SEC11C/ANP32E/CCNB2/DPF3/JADE1/POLE2/TBPL1/PLOD1/COX7A2/GPD2/PHC2/RMI2/PDK1/CALM2/RIOK1/PPP2R2C/PARD6B/MLEC/LIG3/PIK3CD/ATP6V0D1
GO:1902695	metallochaperone complex	0	0/1674	
GO:1903502	translation repressor complex	0	0/1674	
GO:1903503	ATPase inhibitor complex	0	0/1674	
GO:1904090	peptidase inhibitor complex	0	0/1674	
GO:1905742	Ras guanyl-nucleotide exchange factor complex	0	0/1674	
GO:1990062	RPAP3/R2TP/prefoldin-like complex	0	0/1674	
GO:1990065	Dxr protein complex	0	0/1674	
GO:1990078	replication inhibiting complex	0	0/1674	
GO:1990100	DnaB-DnaC complex	0	0/1674	
GO:1990104	DNA bending complex	0	0/1674	
GO:1990112	RQC complex	0	0/1674	
GO:1990125	DiaA complex	0	0/1674	
GO:1990130	GATOR1 complex	0	0/1674	
GO:1990200	SsuD-SsuE complex	0	0/1674	
GO:1990229	iron-sulfur cluster assembly complex	0	0/1674	
GO:1990249	nucleotide-excision repair, DNA damage recognition complex	0	0/1674	
GO:1990252	Syp1 complex	0	0/1674	
GO:1990298	bub1-bub3 complex	0	0/1674	
GO:1990315	Mcs4 RR-MAPKKK complex	0	0/1674	
GO:1990341	thrombospondin complex	0	0/1674	
GO:1990346	BID-BCL-xl complex	0	0/1674	
GO:1990351	transporter complex	48	48/1674	CHRNA4/DPP6/CACNA1E/PDE4B/CACNA1A/CHRNB3/GRIK3/SCN3B/AKAP6/KCNA4/SLC17A6/LRRC26/CACNA1B/SLC2A1/ATP1A3/SCN3A/CACNB3/CHRNA5/GABRA2/CNIH2/CHRNB2/GABRB3/KCNB1/CACNG4/ATP1A2/KCNH2/KCND3/ATP8B2/CHRNA3/SCN9A/KCNC1/OLFM3/GRIA2/GRIA1/KCNS2/CALM1/KCNK1/CLIC6/KCNQ2/ANO1/CACNB1/VWC2/CALM2/GABRA3/ABCC8/SCN11A/KCNAB1/ATP6V0D1
GO:1990393	3M complex	2	2/1674	CCDC8/OBSL1
GO:1990423	RZZ complex	1	1/1674	KNTC1
GO:1990463	lateral cortical node	0	0/1674	
GO:1990499	raps-insc complex	0	0/1674	
GO:1990509	PYM-mago-Y14 complex	0	0/1674	
GO:1990526	Ste12p-Dig1p-Dig2p complex	0	0/1674	
GO:1990527	Tec1p-Ste12p-Dig1p complex	0	0/1674	
GO:1990528	Rvs161p-Rvs167p complex	0	0/1674	
GO:1990533	Dom34-Hbs1 complex	0	0/1674	
GO:1990563	extracellular exosome complex	0	0/1674	
GO:1990586	divisome complex	0	0/1674	
GO:1990597	AIP1-IRE1 complex	0	0/1674	
GO:1990615	Kelch-containing formin regulatory complex	0	0/1674	
GO:1990630	IRE1-RACK1-PP2A complex	0	0/1674	
GO:1990660	calprotectin complex	0	0/1674	
GO:1990661	S100A8 complex	0	0/1674	
GO:1990665	AnxA2-p11 complex	0	0/1674	
GO:1990666	PCSK9-LDLR complex	0	0/1674	
GO:1990667	PCSK9-AnxA2 complex	0	0/1674	
GO:1990682	CSF1-CSF1R complex	0	0/1674	
GO:1990684	protein-lipid-RNA complex	0	0/1674	
GO:1990696	USH2 complex	0	0/1674	
GO:1990706	MAD1 complex	0	0/1674	
GO:1990727	tubulin folding cofactor complex	0	0/1674	
GO:1990728	mitotic spindle assembly checkpoint MAD1-MAD2 complex	1	1/1674	MAD2L1
GO:1990730	VCP-NSFL1C complex	0	0/1674	
GO:1990733	titin-telethonin complex	0	0/1674	
GO:1990745	EARP complex	0	0/1674	
GO:1990788	GLI-SUFU complex	2	2/1674	GLI3/GLI2
GO:1990811	MWP complex	0	0/1674	
GO:1990861	Ubp3-Bre5 deubiquitination complex	0	0/1674	
GO:1990871	Vma12-Vma22 assembly complex	0	0/1674	
GO:1990904	ribonucleoprotein complex	24	24/1674	CELF4/ZFP36L1/VIM/ZFP36L2/CELF3/FBLL1/ELAVL3/CELF5/RPS6KL1/JAKMIP1/TOP2A/LSM11/ELAVL2/RPL22L1/ARVCF/PRORP/PCBP3/C1orf131/PCBP4/RPL23A/MIR17HG/MIR125B1/MRPS27/RIOK1
GO:1990909	Wnt signalosome	1	1/1674	FZD1
GO:1990923	PET complex	0	0/1674	
GO:1990957	NPHP complex	0	0/1674	
GO:1990964	actin cytoskeleton-regulatory complex	0	0/1674	
GO:0019013	viral nucleocapsid	0	0/1674	
GO:0019028	viral capsid	0	0/1674	
GO:0019033	viral tegument	0	0/1674	
GO:0036338	viral membrane	0	0/1674	
GO:0039624	viral outer capsid	0	0/1674	
GO:0039625	viral inner capsid	0	0/1674	
GO:0039626	viral intermediate capsid	0	0/1674	
GO:0039642	virion nucleoid	0	0/1674	
GO:0046727	capsomere	0	0/1674	
GO:0046729	viral procapsid	0	0/1674	
GO:0055036	virion membrane	0	0/1674	
GO:0098015	virus tail	0	0/1674	
GO:0098021	viral capsid, decoration	0	0/1674	
GO:0098023	virus tail, tip	0	0/1674	
GO:0098024	virus tail, fiber	0	0/1674	
GO:0098025	virus tail, baseplate	0	0/1674	
GO:0098026	virus tail, tube	0	0/1674	
GO:0098027	virus tail, sheath	0	0/1674	
GO:0098028	virus tail, shaft	0	0/1674	
GO:0098029	icosahedral viral capsid, spike	0	0/1674	
GO:0098030	icosahedral viral capsid, neck	0	0/1674	
GO:0098031	icosahedral viral capsid, collar	0	0/1674	
GO:0098061	viral capsid, internal space	0	0/1674	
GO:0000242	pericentriolar material	2	2/1674	NEDD1/CEP152
GO:0000399	cellular bud neck septin structure	0	0/1674	
GO:0000407	phagophore assembly site	1	1/1674	SNX7
GO:0000800	lateral element	2	2/1674	BRCA2/BLM
GO:0000801	central element	0	0/1674	
GO:0000802	transverse filament	0	0/1674	
GO:0000922	spindle pole	37	37/1674	TPX2/AURKB/PLK2/KIF11/CKAP2L/NEK2/CCNB1/CDC20/WDR62/FRY/INPPL1/AURKA/DLGAP5/PSRC1/NEDD9/DYNC1LI1/ASPM/NEDD1/MAD2L1/CENPF/LATS2/NEK7/CKAP2/DCTN1/CALM1/PRC1/FAM83D/PLK1/PLK3/EML1/KNTC1/FAM110A/TACC3/CALM2/SPAG5/CDC14A/POC1A
GO:0000943	retrotransposon nucleocapsid	0	0/1674	
GO:0001400	mating projection base	0	0/1674	
GO:0001650	fibrillar center	11	11/1674	FBLL1/RREB1/ANKRD1/NEDD1/CDCA7L/DAB2/SELENBP1/E2F5/FAM111A/NFIC/NFIB
GO:0001651	dense fibrillar component	0	0/1674	
GO:0001652	granular component	0	0/1674	
GO:0001750	photoreceptor outer segment	7	7/1674	DHRS3/SHANK2/VCAN/MAP1B/PROM1/MERTK/CRB1
GO:0001772	immunological synapse	3	3/1674	NEDD9/ALCAM/PRKCQ
GO:0001891	phagocytic cup	3	3/1674	SYT11/ANXA1/RAB31
GO:0001917	photoreceptor inner segment	6	6/1674	SHANK2/SNAP25/SLC2A1/ATP1A3/MYO3A/CRB1
GO:0002139	stereocilia coupling link	0	0/1674	
GO:0002177	manchette	0	0/1674	
