isoform_id	ES	ES_genomic_start	ES_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000409851	1	98548955	98548969	ENSG00000040933	INPP4A	98445467,98446484,98447437,98450155,98451132,98456472,98457042,98457281,98457337,98459554,98461719,98461836,98463832,98464313,98464477,98466200,98466499,98471183,98471185,98471187,98472549,98473786,98475643,98477253,98479451,98483526,98484045,98484474,98485164,98488929,98489878,98494244,98495760,98496734,98500393,98502258,98503545,98507629,98514993,98517405,98520572,98520806,98521193,98531929,98533472,98534607,98535394,98538354,98538356,98538460,98538676,98538678,98539079,98539335,98547404,98548431,98548580,98549016,98550751,98551413,98551507,98551907,98552550,98553774,98553776,98555632,98555783,98555902,98555949,98558039,98559894,98560249,98561742,98562228,98563562,98563902,98563904,98564686,98565038,98565427,98568501,98568759,98568769,98568944,98572878,98573766,98574973,98577133,98577238,98577450,98578967,98580240,98583096,98583712,98583714,98584395,98585591,98586645,98586895,98588111,98589088,98589531,98591283,98593782,98593964,98593966
ENST00000052569	1	117577448	117577471	ENSG00000047932	GOPC	117561531,117561533,117563052,117565493,117571703,117573719,117573937,117573939,117574545,117577053,117577268,117578250,117578866,117583053,117584903,117585582,117585766,117585834,117589144,117589240,117594112,117598036,117599770,117601544,117601870
ENST00000628915	2	135641536;135649902	135641790;135650003	ENSG00000048991	R3HDM1	135533969,135536884,135538989,135540551,135547263,135548379,135548884,135551197,135555705,135556503,135557971,135559092,135560458,135561584,135563204,135566037,135566649,135578128,135579467,135579469,135580118,135583407,135589884,135592042,135597376,135598135,135601423,135603751,135604750,135605829,135609912,135611536,135614972,135617493,135618641,135622466,135622925,135628475,135629492,135629865,135630145,135631188,135632904,135641310,135641439,135646531,135648484,135648511,135648985,135651493,135653285,135657882,135658858,135660398,135660400,135662453,135665585,135670592,135673147,135697921,135698120,135699333,135701429,135701749,135703173,135703388,135704467,135704469,135704471,135704615,135705242,135709498,135710487,135710524,135712404,135714942,135715043,135717665,135718384,135720253,135720796,135721091
ENST00000344113	1	64215286	64215354	ENSG00000054654	SYNE2	63762724,63762726,63764692,63766055,63767451,63769767,63772123,63772125,63773706,63774802,63776206,63778308,63778659,63780807,63782334,63784066,63784068,63784070,63784072,63787108,63788692,63790200,63795788,63797145,63797798,63797800,63799223,63810300,63811174,63817555,63817683,63822972,63823323,63824750,63827240,63828065,63829765,63830575,63831700,63832587,63836257,63840882,63843958,63844033,63844308,63845885,63851451,63854428,63855494,63856200,63860850,63861033,63861655,63862942,63867017,63868719,63873105,63873340,63873805,63875948,63883881,63886394,63889879,63891933,63892245,63894151,63895523,63897416,63897532,63897955,63904288,63906747,63907131,63907964,63909035,63909939,63910592,63912374,63915989,63918607,63919108,63920983,63925440,63929685,63933068,63934169,63937991,63938925,63938949,63938963,63938971,63938985,63938993,63938995,63941128,63941553,63942640,63943478,63943541,63945517,63945927,63947705,63948223,63957735,63963043,63963045,63963067,63964158,63968530,63968765,63969313,63971256,63971266,63976016,63976018,63976568,63979153,63979364,63979515,63980833,63986244,63992738,63993977,63997277,63997926,64002638,64005125,64007868,64011651,64014413,64014723,64016234,64016874,64017197,64019666,64020417,64021384,64021679,64023877,64026907,64032122,64032154,64039982,64041417,64042023,64044282,64044911,64046497,64048944,64049319,64050401,64053790,64054162,64056532,64063102,64064821,64065242,64065315,64066119,64069255,64072298,64075830,64087024,64089988,64090441,64091816,64091930,64094396,64095214,64095417,64097490,64100022,64102489,64105927,64110996,64112085,64113444,64113532,64116562,64120148,64122967,64125762,64126093,64129573,64130017,64132831,64135986,64137633,64138275,64138388,64140450,64142616,64142877,64142963,64145025,64147270,64147733,64148183,64151395,64151648,64151663,64153525,64153789,64153801,64155090,64155796,64158645,64158727,64160350,64161211,64165346,64168610,64169502,64169989,64170043,64171042,64171065,64171577,64178603,64184809,64186082,64190074,64191797,64194109,64196674,64199245,64201041,64202549,64203472,64208050,64208273,64208275,64208420,64209905,64210309,64210400,64215368,64215370,64216081,64216129,64216131,64217474,64219450,64220625,64223304,64223424,64223545,64224223,64224414,64226111
ENST00000356467	1	73425022	73425048	ENSG00000054965	FAM168A	73401788,73404838,73410082,73411737,73416814,73417318,73419690,73423702,73424872,73425725,73427531,73432396,73438446,73438448,73439029,73443876,73444187,73445672,73446561,73447850,73448192,73449727,73451034,73453924,73456479,73458413,73461057,73462232,73468286,73470249,73472461,73473612,73473614,73474980,73478377,73478741,73479521,73479621,73480201,73481208,73482645,73483244,73486275,73491332,73493118,73496070,73496171,73496231,73499806,73499997,73504695,73504920,73508546,73512989,73516809,73517403,73517613,73521161,73527587,73528055,73532788,73536555,73538441,73539414,73539980,73545170,73547248,73551810,73552986,73554514,73560776,73565399,73566012,73566014,73567615,73568140,73569273,73570602,73573128,73575972,73585981,73586334,73589978,73593564,73593574
ENST00000440577	1	20278583	20278819	ENSG00000055917	PUM2	20251024,20252278,20252280,20253826,20257957,20260322,20260925,20262559,20264555,20265354,20265356,20267749,20268684,20268833,20276066,20279798,20280602,20283532,20284345,20284843,20287546,20289242,20289760,20290905,20292120,20294229,20302581,20302583,20302585,20302998,20310483,20311750,20317254,20318381,20318548,20319164,20319217,20322478,20329039,20330348,20332097,20334180,20335068,20338884,20339185,20339235,20339237,20342067,20342202,20346258,20349344,20351625
ENST00000373779	1	29289683	29289712	ENSG00000060656	PTPRU	29239639,29243347,29244556,29244760,29244870,29245618,29245841,29246041,29246161,29247109,29247147,29248219,29248900,29249201,29249213,29249215,29250437,29250633,29253825,29254503,29254722,29254724,29255579,29256184,29259517,29261877,29265081,29265151,29268655,29270827,29273773,29275105,29276298,29279206,29280774,29280855,29281503,29285474,29286928,29289288,29290111,29290129,29299615,29301211,29302285,29306372,29307905,29312323,29319438,29324123,29324125,29324127,29324189,29326082
ENST00000641654	1	62470701	62470778	ENSG00000061987	MON2	62470049,62475028,62478035,62479792,62483960,62487748,62491054,62491103,62491105,62491222,62492323,62492847,62494471,62495277,62495861,62496067,62496849,62502269,62505266,62506325,62507083,62507161,62508424,62508518,62511558,62512425,62512632,62515549,62519464,62520210,62520212,62523253,62531426,62532129,62539707,62545273,62545607,62546622,62547340,62551446,62551763,62553275,62555226,62557194,62562146,62565260,62565753,62565888,62566193,62566297,62566846,62567023,62567025,62574521,62575317,62575730,62576156,62581865,62582303,62584147,62585062,62588997,62592499,62592707,62593417
ENST00000396595	2	41670718;41687840	41670792;41687917	ENSG00000064042	LIMCH1	41363202,41363204,41366813,41368786,41370599,41370800,41373095,41373234,41373389,41373703,41373961,41374393,41375622,41377327,41382935,41385482,41386835,41387117,41387313,41387978,41392900,41396339,41397466,41398084,41400490,41400492,41402518,41404046,41405057,41405763,41407050,41409240,41411289,41412576,41413044,41417264,41417266,41418424,41418426,41421951,41425950,41429047,41429892,41433098,41435779,41437065,41437154,41438782,41439174,41439356,41439943,41441057,41441575,41447935,41450452,41453682,41454185,41454789,41456060,41456177,41456358,41458642,41458905,41460828,41460830,41461811,41464261,41464871,41464873,41467217,41472564,41473211,41475759,41479392,41479394,41480475,41482801,41485626,41486139,41486141,41486926,41494033,41496143,41496584,41496586,41498024,41508985,41512288,41512592,41513603,41513874,41515582,41516017,41517235,41518696,41519311,41520050,41521270,41523039,41523041,41523230,41524256,41526060,41526813,41527924,41530577,41531829,41533512,41535030,41547919,41551344,41554281,41556438,41557718,41561317,41561861,41562196,41563714,41568454,41569321,41570513,41573372,41573832,41576490,41576967,41577131,41578167,41578846,41579759,41580081,41581674,41582183,41582244,41583599,41587526,41589068,41592298,41593974,41594856,41597364,41602176,41603314,41603316,41603490,41606169,41606171,41606505,41608334,41611714,41613066,41613253,41616945,41618609,41618818,41619118,41619865,41620728,41623068,41623793,41626410,41627014,41629058,41631509,41633286,41633371,41636778,41637801,41638374,41639015,41639945,41639956,41641699,41643310,41645021,41645023,41646505,41648563,41648599,41649806,41651151,41653174,41653281,41655398,41656651,41657146,41660236,41666695,41667294,41669093,41672681,41675250,41678177,41679866,41680184,41680805,41681703,41683529,41683531,41683533,41685443,41685595,41689447,41693029,41693521,41693523,41696582,41696903,41698730,41699068,41699112
ENST00000331886	1	55932028	55932255	ENSG00000065357	DGKA	55930986,55939759,55939761,55939883,55940851,55949161,55949163,55949165,55949916,55951038,55951477,55952397,55952802,55952804,55953368
ENST00000510573	1	38051899	38052060	ENSG00000065882	TBC1D1	37892761,37894643,37895842,37895980,37896026,37900940,37906730,37907525,37907536,37907698,37909131,37909210,37909831,37909970,37910560,37911591,37912439,37918111,37920631,37922146,37923198,37923419,37924736,37925106,37925223,37927609,37928010,37929990,37930320,37930763,37931031,37935713,37936049,37938991,37939836,37942421,37946332,37946414,37946416,37946418,37946878,37950587,37953091,37953395,37957000,37959873,37964304,37964306,37965312,37965457,37966950,37970919,37972156,37972349,37972770,37974528,37974530,37976616,37978350,37978496,37979307,37979309,37982096,37983674,37985414,37988113,37989210,37989627,37991483,37991551,37991917,37994648,38003736,38009066,38009664,38010966,38011221,38014472,38016854,38017012,38017347,38017838,38019630,38019818,38020346,38025721,38026923,38027497,38030245,38030492,38030771,38031401,38031930,38032902,38036049,38036184,38038445,38039498,38039521,38040204,38044767,38046035,38046517,38048340,38050130,38052148,38052689,38052691,38053825,38055002,38058028,38060187,38060189,38060191,38066682,38069392,38074357,38075704,38077176,38078826,38080375,38080864,38084406,38086720,38086883,38091073,38091276,38091469,38095351,38098370,38099819,38101100,38101539,38101734,38101736,38101838,38104407,38105796,38112023,38113991,38114018,38114887,38125244,38126433,38127022,38127659,38127661,38129434,38131838,38135529
ENST00000456393	1	40709357	40709616	ENSG00000066136	NFYC	40692420,40692422,40693186,40694341,40696861,40696863,40696865,40701494,40701632,40708182,40708719,40709717,40709765,40709982,40711131,40713155,40713758,40716136,40716138,40717797,40722435,40722874,40725165,40730155,40730274,40731018,40732590,40734705,40735697,40735738,40738312,40739887,40746300,40749526,40750395,40750630,40751288,40751550,40752299,40754021,40754030,40754272,40756501,40756910,40757868,40761186,40761587,40762650,40762992,40763336,40766314,40767844,40768589,40768591,40770656,40771555,40771571
ENST00000560328	1	73274692	73274724	ENSG00000067141	NEO1	73055224,73055773,73056195,73056647,73058003,73063852,73068742,73072508,73072707,73074474,73075515,73081351,73081720,73082018,73084393,73089524,73090363,73090397,73090916,73091978,73093422,73095809,73096330,73109828,73110510,73113827,73118811,73121724,73121766,73128530,73128532,73131906,73132098,73133078,73133080,73134694,73135698,73137403,73139760,73140662,73141385,73143157,73144234,73145471,73145483,73145485,73145914,73145981,73146779,73148684,73149781,73156478,73156611,73158083,73160767,73164702,73165865,73165867,73167041,73167961,73168328,73175928,73177402,73181233,73182470,73184796,73185367,73186630,73189103,73189411,73195470,73196496,73197519,73201505,73204660,73207827,73211243,73216398,73223092,73223626,73223628,73223809,73225552,73226165,73226353,73226532,73228788,73231512,73231602,73232105,73233850,73234156,73235937,73236122,73239804,73240039,73246620,73246659,73246732,73248242,73248244,73250091,73251926,73258108,73260579,73264481,73266780,73267436,73268777,73279317,73279319,73279321,73279323,73281308,73282493,73282911,73283501,73284310,73284340,73286185,73290823,73291682,73292173,73292696,73295243,73297846,73300055
ENST00000378567	1	2073462	2073929	ENSG00000067606	PRKCZ	2062342,2062544,2064578,2071908,2072150,2074792,2075266,2077925,2081737,2082436,2084092,2084094,2085559,2086704,2089269,2090241,2093233,2095591,2097585,2097650,2099016,2100821,2103540,2106020,2107443,2108359,2109183,2116086,2124788,2125885,2127537,2128217,2134588,2136938,2137616,2142709,2143968,2145134,2146708,2150965,2151060,2151113,2151995,2152084,2153229,2156816,2157845,2158911,2161437,2161795,2163533,2163535,2169128,2169566,2170388,2170390,2173071,2173131,2173133,2174122,2176788,2180294,2180550,2183264,2185077
ENST00000401507	1	62372103	62372551	ENSG00000068796	KIF2A	62309376,62310033,62316959,62322806,62323988,62326072,62327468,62330643,62331279,62332326,62337364,62337693,62338002,62338136,62338138,62339805,62340543,62341883,62342380,62345415,62346608,62353723,62356930,62357228,62358815,62362971,62363738,62365348,62367081,62368645,62372692,62373643,62384646,62385966,62385968,62386557
ENST00000326448	1	160383437	160383656	ENSG00000068885	IFT80	160258379,160261877,160263821,160264576,160267846,160271464,160274430,160278207,160280776,160281776,160281812,160283589,160283591,160285598,160286299,160288999,160289001,160290276,160291636,160295911,160305758,160308266,160315521,160315880,160319761,160319887,160322105,160322501,160325432,160325544,160328684,160329131,160329698,160331804,160333685,160333687,160337882,160342458,160345349,160345975,160353452,160355201,160359164,160360206,160361139,160364544,160365239,160367018,160369950,160379656,160379979,160386876,160389796,160390233,160390285,160398451
ENST00000666163	1	6041831	6041872	ENSG00000069424	KCNAB2	5992571,5995585,5997790,5998115,6001284,6007197,6008263,6010894,6012866,6017039,6019968,6020058,6020097,6022852,6023917,6028442,6029472,6030217,6031261,6033192,6033208,6033232,6033270,6033317,6033336,6033393,6033413,6033423,6033478,6033486,6035157,6037585,6038435,6042548,6043768,6044053,6048377,6049744,6049752,6051177,6051698,6052293,6052823,6053329,6054897,6059696,6060975,6061668,6062558,6066064,6068278,6068280,6068885,6071512,6073246,6073248,6078674,6079388,6080429,6081306,6084392,6084426,6086398,6087124,6091535,6092384,6092559,6093991,6094672,6094934
ENST00000286371	2	141902136;141916555	141902227;141916574	ENSG00000069849	ATP1B3	141878271,141878646,141879693,141884324,141887692,141888211,141892619,141892621,141894611,141895157,141895753,141897122,141898053,141898779,141898832,141901869,141902949,141903498,141903563,141905811,141905933,141906324,141909478,141913357,141913731,141913763,141914098,141920385,141921039,141921041,141922059,141923150
ENST00000452853	1	149966316	149966586	ENSG00000070087	PFN2	149965745,149965747,149965955,149968324,149973571,149978677,149978679,149980651,149980952,149986935,149987304,149991065,149991119,149991121,149991213,149992885,149992887,149993195,149993197,149995794,149997965,149998569,149998571,149999019,149999237,150002187,150003329,150005461,150005681,150006940,150011428,150012458,150012460,150016204,150018090,150018103,150020599,150020752,150021132,150022328,150024877,150025802,150027857,150029301,150030065,150031984,150032275,150035003,150036437,150037330,150039421,150040310,150040312,150041748,150042075,150045637,150046615,150047000,150047886
ENST00000455322	3	121382208;121401868;121418622	121382324;121401870;121418729	ENSG00000074054	CLASP1	121340152,121342941,121342943,121343453,121345697,121346605,121348140,121350597,121352234,121352340,121352342,121353785,121355121,121356073,121356681,121356683,121358398,121358589,121361832,121362793,121363573,121364197,121364227,121364881,121370702,121372533,121374746,121376825,121378783,121379635,121382645,121382647,121383274,121386475,121389436,121389500,121389502,121393911,121394493,121395475,121395940,121396541,121396951,121400142,121401899,121403542,121404029,121404329,121404820,121406390,121407826,121408010,121414119,121414641,121414764,121415605,121416796,121417533,121418462,121419632,121427504,121429306,121429388,121430346,121435592,121436831,121436956,121438131,121440343,121441819,121443941,121444090,121444833,121448019,121449475,121452191,121453161,121453448,121454621,121455568,121455950,121457312,121457314,121459104,121461229,121463707,121464311,121466628,121466840,121467587,121469148,121469332,121473629,121474993,121477598,121479217,121479296,121479298,121483988,121484463,121484503,121488458,121491548,121496307,121496543,121501736,121502346,121504483,121506607,121508219,121508805,121511456,121513690,121515180,121516470,121516897,121516899,121517050,121520015,121521521,121522008,121522895,121523122,121523965,121528517,121528625,121528627,121528982,121533574,121535147,121535428,121538280,121540111,121541339,121542052,121543823,121544533,121546016,121547486,121549200,121552562,121552882,121552884,121553106,121554950,121556814,121556897,121560339,121560709,121565313,121565433,121565764,121568072,121570548,121573788,121577274,121577808,121578290,121578596,121580758,121580791,121583324,121586674,121586812,121591221,121592184,121593877,121595336,121595338,121595498,121597799,121599456,121600241,121604894,121609050,121613575,121613608,121613919,121614142,121618085,121625281,121627003,121632498,121632712,121633177,121634622,121637754,121639912,121641598,121642843,121644826,121646341
ENST00000541377	3	121382208;121418622;121427404	121382324;121418729;121427430	ENSG00000074054	CLASP1	121340152,121342941,121342943,121343453,121345697,121346605,121348140,121350597,121352234,121352340,121352342,121353785,121355121,121356073,121356681,121356683,121358398,121358589,121361832,121362793,121363573,121364197,121364227,121364881,121370702,121372533,121374746,121376825,121378783,121379635,121382645,121382647,121383274,121386475,121389436,121389500,121389502,121393911,121394493,121395475,121395940,121396541,121396951,121400142,121401899,121403542,121404029,121404329,121404820,121406390,121407826,121408010,121414119,121414641,121414764,121415605,121416796,121417533,121418462,121419632,121427504,121429306,121429388,121430346,121435592,121436831,121436956,121438131,121440343,121441819,121443941,121444090,121444833,121448019,121449475,121452191,121453161,121453448,121454621,121455568,121455950,121457312,121457314,121459104,121461229,121463707,121464311,121466628,121466840,121467587,121469148,121469332,121473629,121474993,121477598,121479217,121479296,121479298,121483988,121484463,121484503,121488458,121491548,121496307,121496543,121501736,121502346,121504483,121506607,121508219,121508805,121511456,121513690,121515180,121516470,121516897,121516899,121517050,121520015,121521521,121522008,121522895,121523122,121523965,121528517,121528625,121528627,121528982,121533574,121535147,121535428,121538280,121540111,121541339,121542052,121543823,121544533,121546016,121547486,121549200,121552562,121552882,121552884,121553106,121554950,121556814,121556897,121560339,121560709,121565313,121565433,121565764,121568072,121570548,121573788,121577274,121577808,121578290,121578596,121580758,121580791,121583324,121586674,121586812,121591221,121592184,121593877,121595336,121595338,121595498,121597799,121599456,121600241,121604894,121609050,121613575,121613608,121613919,121614142,121618085,121625281,121627003,121632498,121632712,121633177,121634622,121637754,121639912,121641598,121642843,121644826,121646341
ENST00000700755	4	121382208;121409024;121418622;121427404	121382324;121409047;121418729;121427430	ENSG00000074054	CLASP1	121340152,121342941,121342943,121343453,121345697,121346605,121348140,121350597,121352234,121352340,121352342,121353785,121355121,121356073,121356681,121356683,121358398,121358589,121361832,121362793,121363573,121364197,121364227,121364881,121370702,121372533,121374746,121376825,121378783,121379635,121382645,121382647,121383274,121386475,121389436,121389500,121389502,121393911,121394493,121395475,121395940,121396541,121396951,121400142,121401899,121403542,121404029,121404329,121404820,121406390,121407826,121408010,121414119,121414641,121414764,121415605,121416796,121417533,121418462,121419632,121427504,121429306,121429388,121430346,121435592,121436831,121436956,121438131,121440343,121441819,121443941,121444090,121444833,121448019,121449475,121452191,121453161,121453448,121454621,121455568,121455950,121457312,121457314,121459104,121461229,121463707,121464311,121466628,121466840,121467587,121469148,121469332,121473629,121474993,121477598,121479217,121479296,121479298,121483988,121484463,121484503,121488458,121491548,121496307,121496543,121501736,121502346,121504483,121506607,121508219,121508805,121511456,121513690,121515180,121516470,121516897,121516899,121517050,121520015,121521521,121522008,121522895,121523122,121523965,121528517,121528625,121528627,121528982,121533574,121535147,121535428,121538280,121540111,121541339,121542052,121543823,121544533,121546016,121547486,121549200,121552562,121552882,121552884,121553106,121554950,121556814,121556897,121560339,121560709,121565313,121565433,121565764,121568072,121570548,121573788,121577274,121577808,121578290,121578596,121580758,121580791,121583324,121586674,121586812,121591221,121592184,121593877,121595336,121595338,121595498,121597799,121599456,121600241,121604894,121609050,121613575,121613608,121613919,121614142,121618085,121625281,121627003,121632498,121632712,121633177,121634622,121637754,121639912,121641598,121642843,121644826,121646341
ENST00000374765	1	21622339	21622568	ENSG00000076864	RAP1GAP	21596718,21598310,21602611,21603514,21604753,21605606,21610173,21610985,21612323,21614458,21616219,21617133,21617135,21618363,21619551,21620553,21621087,21624031,21624033,21627001,21629338,21634621,21637301,21638019,21640444,21641052,21643900,21646010,21647332,21647543,21647744,21648804,21651421,21651474,21651546,21652612,21653877,21655321,21656845,21657092,21657122,21657173,21657175,21657234,21657283,21657314,21657316,21658482,21659049,21661120,21661913,21662732,21662734,21666242,21666748,21666807,21668466
