isoform_id	ATTS	ATTS_genomic_start	ATTS_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000515144	1	14489687;14492567;14496879;14497847;14498089;14498519;14502579;14504393;14507122;14507880	14489817;14492814;14497017;14497874;14498251;14498640;14502657;14504593;14507260;14510204	ENSG00000038382	TRIO	14146429,14149136,14150216,14150418,14151050,14151280,14151879,14152276,14153118,14160857,14162857,14163125,14163127,14163669,14164437,14164811,14165317,14165356,14166268,14168608,14169080,14169842,14170441,14171199,14173355,14174204,14175767,14177383,14179581,14180992,14186722,14189610,14190940,14191129,14193115,14194046,14206820,14207575,14208380,14208422,14212007,14214058,14215226,14216085,14216487,14217061,14220646,14226404,14228386,14230478,14233682,14235720,14237458,14238241,14238380,14238536,14238588,14239720,14242986,14249137,14249532,14249756,14249896,14250340,14252945,14253168,14254466,14255501,14259740,14260454,14261971,14262128,14263269,14263736,14263848,14267486,14270123,14274750,14276313,14278294,14278907,14279760,14279762,14283514,14283528,14283649,14287211,14287506,14295004,14295262,14299305,14299337,14301761,14305238,14306614,14307534,14309104,14311044,14312209,14313417,14316767,14321422,14321517,14322380,14324848,14325084,14327789,14328061,14329636,14329831,14330511,14330513,14331744,14331746,14332496,14333725,14335960,14337204,14338472,14343132,14343502,14345239,14347766,14348506,14348582,14348588,14348590,14348617,14348635,14348637,14348699,14348779,14348896,14349058,14349115,14349117,14349991,14350709,14350971,14351626,14355142,14356762,14357143,14357570,14357981,14358749,14363603,14363687,14363831,14365314,14367814,14370034,14374379,14375237,14376429,14376784,14376786,14379540,14380759,14383386,14383388,14385284,14385582,14387050,14387138,14389369,14390727,14390970,14391753,14392620,14393722,14393739,14394976,14396614,14397132,14398313,14399505,14399812,14400422,14401892,14401915,14402468,14405049,14406263,14411162,14411203,14413358,14415996,14418939,14420109,14420631,14422161,14423006,14429405,14430353,14433440,14434964,14434966,14436025,14436711,14437625,14440569,14442155,14442512,14446482,14446603,14446605,14448457,14452088,14452571,14452573,14452678,14457770,14461906,14463263,14463327,14463329,14463875,14467682,14468992,14470613,14472371,14472562,14473893,14474107,14477088,14481288,14482022,14482251,14483718,14486914,14489185,14490560,14490562,14491718,14491898,14493425,14496357,14498082,14499060,14499421,14503020,14505696,14507756,14507758,14510095,14513089,14514437,14515081,14515083,14516925,14518960,14524678,14524703,14526592,14529326
ENST00000512629	1	34830765	34832612	ENSG00000039560	RAI14	34659532,34659911,34660822,34660885,34662400,34666569,34676423,34682786,34683425,34684506,34688984,34689740,34690147,34691105,34692131,34692405,34693051,34693530,34696999,34699503,34700680,34705792,34710478,34712456,34717141,34720817,34722325,34724161,34727703,34727812,34728106,34730544,34735547,34735797,34746549,34747785,34748238,34748854,34751512,34751514,34751743,34752155,34755508,34755565,34758091,34760193,34761194,34761908,34762488,34762926,34763669,34764595,34777039,34778086,34780912,34785360,34792723,34792725,34793890,34793946,34795117,34795119,34795420,34795422,34796266,34799035,34799070,34805709,34807430,34809962,34813407,34813409,34830024
ENST00000409016	1	98594390	98594392	ENSG00000040933	INPP4A	98445467,98446484,98447437,98450155,98451132,98456472,98457042,98457281,98457337,98459554,98461719,98461836,98463832,98464313,98464477,98466200,98466499,98471183,98471185,98471187,98472549,98473786,98475643,98477253,98479451,98483526,98484045,98484474,98485164,98488929,98489878,98494244,98495760,98496734,98500393,98502258,98503545,98507629,98514993,98517405,98520572,98520806,98521193,98531929,98533472,98534607,98535394,98538354,98538356,98538460,98538676,98538678,98539079,98539335,98547404,98548431,98548580,98549016,98550751,98551413,98551507,98551907,98552550,98553774,98553776,98555632,98555783,98555902,98555949,98558039,98559894,98560249,98561742,98562228,98563562,98563902,98563904,98564686,98565038,98565427,98568501,98568759,98568769,98568944,98572878,98573766,98574973,98577133,98577238,98577450,98578967,98580240,98583096,98583712,98583714,98584395,98585591,98586645,98586895,98588111,98589088,98589531,98591283,98593782,98593964,98593966
ENST00000696973	1	113797874	113797875	ENSG00000048028	USP28	113798283,113799103,113800835,113803706,113806374,113806562,113809364,113810487,113810489,113810491,113812484,113812486,113816570,113817289,113819443,113821680,113823961,113824016,113826787,113830032,113830453,113831208,113837335,113840750,113843918,113844502,113849414,113849912,113854974,113858362,113858961,113859205,113859207,113859419,113859497,113867052,113867961,113868063,113870030,113871243,113872082,113873787
BambuTx495	1	113797874	113797877	ENSG00000048028	USP28	113798283,113799103,113800835,113803706,113806374,113806562,113809364,113810487,113810489,113810491,113812484,113812486,113816570,113817289,113819443,113821680,113823961,113824016,113826787,113830032,113830453,113831208,113837335,113840750,113843918,113844502,113849414,113849912,113854974,113858362,113858961,113859205,113859207,113859419,113859497,113867052,113867961,113868063,113870030,113871243,113872082,113873787
ENST00000628915	1	135725268	135725270	ENSG00000048991	R3HDM1	135533969,135536884,135538989,135540551,135547263,135548379,135548884,135551197,135555705,135556503,135557971,135559092,135560458,135561584,135563204,135566037,135566649,135578128,135579467,135579469,135580118,135583407,135589884,135592042,135597376,135598135,135601423,135603751,135604750,135605829,135609912,135611536,135614972,135617493,135618641,135622466,135622925,135628475,135629492,135629865,135630145,135631188,135632904,135641310,135641439,135646531,135648484,135648511,135648985,135651493,135653285,135657882,135658858,135660398,135660400,135662453,135665585,135670592,135673147,135697921,135698120,135699333,135701429,135701749,135703173,135703388,135704467,135704469,135704471,135704615,135705242,135709498,135710487,135710524,135712404,135714942,135715043,135717665,135718384,135720253,135720796,135721091
ENST00000490130	1	152134922;152138796;152139186;152139675;152144713;152145153;152146599;152148033;152150900;152151442;152152705;152154010;152154267;152155910;152156205;152157761;152158863;152162117;152167146;152168567;152169186;152171264;152174131;152176191;152179834;152180711;152182974;152185558;152187262;152187715;152193741;152194229;152194440;152195522;152195907;152199279;152202860;152205106;152207300;152220523;152222001;152222573;152224015;152224435;152229923;152230220;152235817;152238707;152244088;152249876;152250853;152251939;152252546;152263016;152265038;152273705	152136924;152138904;152139259;152139791;152144881;152145295;152146735;152149152;152151007;152151581;152152954;152154146;152154445;152156057;152156455;152157925;152159072;152163826;152167378;152168589;152169249;152171342;152174242;152178010;152180126;152182594;152183156;152185631;152187476;152187847;152194128;152194261;152194568;152195569;152196011;152199459;152203064;152205225;152208963;152220735;152222066;152222682;152224179;152224616;152230027;152230321;152235933;152238826;152248620;152249953;152250966;152252090;152252715;152263130;152265209;152273867	ENSG00000055609	KMT2C	152137301,152141344,152143428,152143430,152144293,152145547,152146994,152148410,152148445,152149301,152153043,152155152,152155606,152156985,152157196,152159132,152160528,152161736,152163069,152163327,152167722,152168991,152169688,152170387,152171918,152172342,152175559,152187939,152188003,152190047,152193063,152193138,152193219,152194368,152195434,152198254,152200222,152204559,152205565,152205600,152210409,152210411,152212292,152215759,152216937,152217432,152219114,152220864,152220945,152222670,152222672,152223662,152232454,152232691,152233168,152234321,152236183,152239778,152246833,152247223,152252015,152252255,152254871,152256320,152257045,152257254,152257628,152258880,152259053,152262317,152267886,152270663,152270906,152272365,152272570,152273471,152276621,152277909,152278866,152279341,152282029,152282666,152289915,152292384,152298832,152301555,152303481,152303701,152303711,152305381,152306457,152307815,152316040,152316064,152320877,152323217,152330012,152330878,152339387,152343245,152343727,152347787,152347916,152347918,152349312,152351505,152354844,152357141,152357875,152358522,152365191,152374931,152375717,152378544,152378754,152383153,152383155,152383157,152384075,152386601,152388893,152388903,152389586,152391197,152391531,152392160,152392560,152393389,152393760,152393970,152405389,152405852,152407076,152408629,152408957,152414398,152414400,152415002,152419525,152421865,152423208,152423314,152423504,152423506,152427530,152432801,152433385
ENST00000440577	1	20248691	20249864	ENSG00000055917	PUM2	20251024,20252278,20252280,20253826,20257957,20260322,20260925,20262559,20264555,20265354,20265356,20267749,20268684,20268833,20276066,20279798,20280602,20283532,20284345,20284843,20287546,20289242,20289760,20290905,20292120,20294229,20302581,20302583,20302585,20302998,20310483,20311750,20317254,20318381,20318548,20319164,20319217,20322478,20329039,20330348,20332097,20334180,20335068,20338884,20339185,20339235,20339237,20342067,20342202,20346258,20349344,20351625
ENST00000405094	1	42756946	42756947	ENSG00000057935	MTA3	42497795,42498108,42498557,42499312,42499656,42504384,42505028,42505260,42506307,42507316,42507318,42507398,42511584,42513145,42514832,42515473,42515475,42517128,42518216,42518218,42518575,42523294,42523786,42531342,42531344,42532764,42534926,42535732,42540703,42541176,42545719,42546694,42546878,42549042,42549878,42550257,42553775,42554102,42554520,42555323,42556165,42558688,42558788,42567171,42571267,42571815,42573064,42574279,42575741,42577331,42578571,42579825,42579827,42580740,42582864,42588780,42592452,42598811,42598929,42611595,42617519,42623349,42625820,42625822,42630291,42630293,42633131,42634125,42634381,42638262,42639270,42641299,42641533,42641707,42643647,42646280,42649035,42650894,42652156,42657665,42658693,42658695,42658966,42663084,42666357,42666521,42667058,42667060,42676634,42679618,42681657,42683700,42684076,42684823,42687522,42687948,42691332,42692569,42697741,42705574,42705795,42706005,42708909,42712112,42716573,42716796,42716798,42718232,42718924,42720641,42721562,42722094,42722269,42727064,42729195,42730533,42734374,42749305,42750754,42753070,42753772
ENST00000373779	1	29326800	29326813	ENSG00000060656	PTPRU	29239639,29243347,29244556,29244760,29244870,29245618,29245841,29246041,29246161,29247109,29247147,29248219,29248900,29249201,29249213,29249215,29250437,29250633,29253825,29254503,29254722,29254724,29255579,29256184,29259517,29261877,29265081,29265151,29268655,29270827,29273773,29275105,29276298,29279206,29280774,29280855,29281503,29285474,29286928,29289288,29290111,29290129,29299615,29301211,29302285,29306372,29307905,29312323,29319438,29324123,29324125,29324127,29324189,29326082
ENST00000641654	1	62597583	62600476	ENSG00000061987	MON2	62470049,62475028,62478035,62479792,62483960,62487748,62491054,62491103,62491105,62491222,62492323,62492847,62494471,62495277,62495861,62496067,62496849,62502269,62505266,62506325,62507083,62507161,62508424,62508518,62511558,62512425,62512632,62515549,62519464,62520210,62520212,62523253,62531426,62532129,62539707,62545273,62545607,62546622,62547340,62551446,62551763,62553275,62555226,62557194,62562146,62565260,62565753,62565888,62566193,62566297,62566846,62567023,62567025,62574521,62575317,62575730,62576156,62581865,62582303,62584147,62585062,62588997,62592499,62592707,62593417
ENST00000396595	1	41700043	41700044	ENSG00000064042	LIMCH1	41363202,41363204,41366813,41368786,41370599,41370800,41373095,41373234,41373389,41373703,41373961,41374393,41375622,41377327,41382935,41385482,41386835,41387117,41387313,41387978,41392900,41396339,41397466,41398084,41400490,41400492,41402518,41404046,41405057,41405763,41407050,41409240,41411289,41412576,41413044,41417264,41417266,41418424,41418426,41421951,41425950,41429047,41429892,41433098,41435779,41437065,41437154,41438782,41439174,41439356,41439943,41441057,41441575,41447935,41450452,41453682,41454185,41454789,41456060,41456177,41456358,41458642,41458905,41460828,41460830,41461811,41464261,41464871,41464873,41467217,41472564,41473211,41475759,41479392,41479394,41480475,41482801,41485626,41486139,41486141,41486926,41494033,41496143,41496584,41496586,41498024,41508985,41512288,41512592,41513603,41513874,41515582,41516017,41517235,41518696,41519311,41520050,41521270,41523039,41523041,41523230,41524256,41526060,41526813,41527924,41530577,41531829,41533512,41535030,41547919,41551344,41554281,41556438,41557718,41561317,41561861,41562196,41563714,41568454,41569321,41570513,41573372,41573832,41576490,41576967,41577131,41578167,41578846,41579759,41580081,41581674,41582183,41582244,41583599,41587526,41589068,41592298,41593974,41594856,41597364,41602176,41603314,41603316,41603490,41606169,41606171,41606505,41608334,41611714,41613066,41613253,41616945,41618609,41618818,41619118,41619865,41620728,41623068,41623793,41626410,41627014,41629058,41631509,41633286,41633371,41636778,41637801,41638374,41639015,41639945,41639956,41641699,41643310,41645021,41645023,41646505,41648563,41648599,41649806,41651151,41653174,41653281,41655398,41656651,41657146,41660236,41666695,41667294,41669093,41672681,41675250,41678177,41679866,41680184,41680805,41681703,41683529,41683531,41683533,41685443,41685595,41689447,41693029,41693521,41693523,41696582,41696903,41698730,41699068,41699112
ENST00000691057	1	119730774	119730793	ENSG00000064313	TAF2	119733080,119733679,119737919,119740533,119743460,119745119,119747992,119748443,119761668,119762012,119762759,119765599,119767813,119767977,119768732,119768939,119770642,119770939,119772203,119780381,119784423,119784435,119784885,119788004,119788198,119790304,119791781,119795130,119796023,119798514,119801796,119801798,119802088,119802850,119802865,119807790,119809621,119809785,119809928,119813942,119813992,119817381,119825046,119825254,119827426,119829698,119830563,119830973,119831382
ENST00000394147	1	55954021	55954023	ENSG00000065357	DGKA	55930986,55939759,55939761,55939883,55940851,55949161,55949163,55949165,55949916,55951038,55951477,55952397,55952802,55952804,55953368
ENST00000510573	1	38137743	38139173	ENSG00000065882	TBC1D1	37892761,37894643,37895842,37895980,37896026,37900940,37906730,37907525,37907536,37907698,37909131,37909210,37909831,37909970,37910560,37911591,37912439,37918111,37920631,37922146,37923198,37923419,37924736,37925106,37925223,37927609,37928010,37929990,37930320,37930763,37931031,37935713,37936049,37938991,37939836,37942421,37946332,37946414,37946416,37946418,37946878,37950587,37953091,37953395,37957000,37959873,37964304,37964306,37965312,37965457,37966950,37970919,37972156,37972349,37972770,37974528,37974530,37976616,37978350,37978496,37979307,37979309,37982096,37983674,37985414,37988113,37989210,37989627,37991483,37991551,37991917,37994648,38003736,38009066,38009664,38010966,38011221,38014472,38016854,38017012,38017347,38017838,38019630,38019818,38020346,38025721,38026923,38027497,38030245,38030492,38030771,38031401,38031930,38032902,38036049,38036184,38038445,38039498,38039521,38040204,38044767,38046035,38046517,38048340,38050130,38052148,38052689,38052691,38053825,38055002,38058028,38060187,38060189,38060191,38066682,38069392,38074357,38075704,38077176,38078826,38080375,38080864,38084406,38086720,38086883,38091073,38091276,38091469,38095351,38098370,38099819,38101100,38101539,38101734,38101736,38101838,38104407,38105796,38112023,38113991,38114018,38114887,38125244,38126433,38127022,38127659,38127661,38129434,38131838,38135529
BambuTx214	1	38137629	38139173	ENSG00000065882	TBC1D1	37892761,37894643,37895842,37895980,37896026,37900940,37906730,37907525,37907536,37907698,37909131,37909210,37909831,37909970,37910560,37911591,37912439,37918111,37920631,37922146,37923198,37923419,37924736,37925106,37925223,37927609,37928010,37929990,37930320,37930763,37931031,37935713,37936049,37938991,37939836,37942421,37946332,37946414,37946416,37946418,37946878,37950587,37953091,37953395,37957000,37959873,37964304,37964306,37965312,37965457,37966950,37970919,37972156,37972349,37972770,37974528,37974530,37976616,37978350,37978496,37979307,37979309,37982096,37983674,37985414,37988113,37989210,37989627,37991483,37991551,37991917,37994648,38003736,38009066,38009664,38010966,38011221,38014472,38016854,38017012,38017347,38017838,38019630,38019818,38020346,38025721,38026923,38027497,38030245,38030492,38030771,38031401,38031930,38032902,38036049,38036184,38038445,38039498,38039521,38040204,38044767,38046035,38046517,38048340,38050130,38052148,38052689,38052691,38053825,38055002,38058028,38060187,38060189,38060191,38066682,38069392,38074357,38075704,38077176,38078826,38080375,38080864,38084406,38086720,38086883,38091073,38091276,38091469,38095351,38098370,38099819,38101100,38101539,38101734,38101736,38101838,38104407,38105796,38112023,38113991,38114018,38114887,38125244,38126433,38127022,38127659,38127661,38129434,38131838,38135529
ENST00000456393	1	40771601	40771603	ENSG00000066136	NFYC	40692420,40692422,40693186,40694341,40696861,40696863,40696865,40701494,40701632,40708182,40708719,40709717,40709765,40709982,40711131,40713155,40713758,40716136,40716138,40717797,40722435,40722874,40725165,40730155,40730274,40731018,40732590,40734705,40735697,40735738,40738312,40739887,40746300,40749526,40750395,40750630,40751288,40751550,40752299,40754021,40754030,40754272,40756501,40756910,40757868,40761186,40761587,40762650,40762992,40763336,40766314,40767844,40768589,40768591,40770656,40771555,40771571
ENST00000560328	1	73305198	73305205	ENSG00000067141	NEO1	73055224,73055773,73056195,73056647,73058003,73063852,73068742,73072508,73072707,73074474,73075515,73081351,73081720,73082018,73084393,73089524,73090363,73090397,73090916,73091978,73093422,73095809,73096330,73109828,73110510,73113827,73118811,73121724,73121766,73128530,73128532,73131906,73132098,73133078,73133080,73134694,73135698,73137403,73139760,73140662,73141385,73143157,73144234,73145471,73145483,73145485,73145914,73145981,73146779,73148684,73149781,73156478,73156611,73158083,73160767,73164702,73165865,73165867,73167041,73167961,73168328,73175928,73177402,73181233,73182470,73184796,73185367,73186630,73189103,73189411,73195470,73196496,73197519,73201505,73204660,73207827,73211243,73216398,73223092,73223626,73223628,73223809,73225552,73226165,73226353,73226532,73228788,73231512,73231602,73232105,73233850,73234156,73235937,73236122,73239804,73240039,73246620,73246659,73246732,73248242,73248244,73250091,73251926,73258108,73260579,73264481,73266780,73267436,73268777,73279317,73279319,73279321,73279323,73281308,73282493,73282911,73283501,73284310,73284340,73286185,73290823,73291682,73292173,73292696,73295243,73297846,73300055
ENST00000400921	1	2185390	2185395	ENSG00000067606	PRKCZ	2062342,2062544,2064578,2071908,2072150,2074792,2075266,2077925,2081737,2082436,2084092,2084094,2085559,2086704,2089269,2090241,2093233,2095591,2097585,2097650,2099016,2100821,2103540,2106020,2107443,2108359,2109183,2116086,2124788,2125885,2127537,2128217,2134588,2136938,2137616,2142709,2143968,2145134,2146708,2150965,2151060,2151113,2151995,2152084,2153229,2156816,2157845,2158911,2161437,2161795,2163533,2163535,2169128,2169566,2170388,2170390,2173071,2173131,2173133,2174122,2176788,2180294,2180550,2183264,2185077
ENST00000401507	1	62385676	62391025	ENSG00000068796	KIF2A	62309376,62310033,62316959,62322806,62323988,62326072,62327468,62330643,62331279,62332326,62337364,62337693,62338002,62338136,62338138,62339805,62340543,62341883,62342380,62345415,62346608,62353723,62356930,62357228,62358815,62362971,62363738,62365348,62367081,62368645,62372692,62373643,62384646,62385966,62385968,62386557
ENST00000666163	1	6101188	6101193	ENSG00000069424	KCNAB2	5992571,5995585,5997790,5998115,6001284,6007197,6008263,6010894,6012866,6017039,6019968,6020058,6020097,6022852,6023917,6028442,6029472,6030217,6031261,6033192,6033208,6033232,6033270,6033317,6033336,6033393,6033413,6033423,6033478,6033486,6035157,6037585,6038435,6042548,6043768,6044053,6048377,6049744,6049752,6051177,6051698,6052293,6052823,6053329,6054897,6059696,6060975,6061668,6062558,6066064,6068278,6068280,6068885,6071512,6073246,6073248,6078674,6079388,6080429,6081306,6084392,6084426,6086398,6087124,6091535,6092384,6092559,6093991,6094672,6094934
ENST00000590550	1	1573596	1576640	ENSG00000071655	MBD3	1577679,1582232
ENST00000322910	1	7225265	7225266	ENSG00000072778	ACADVL	7218433,7221219,7221564,7221566,7221827,7222787
ENST00000341590	1	52857271	52857273	ENSG00000073712	FERMT2	52857904,52858003,52861159,52861488,52865663,52874923,52882708,52883436,52889571,52891605,52891884,52891949,52893559,52895522,52897511,52907157,52913350,52913666,52914036,52914238,52915224,52915226,52916771,52921408,52923354,52924268,52928491,52932440,52933959,52935936,52936084,52944783
ENST00000700755	1	121337776	121338222	ENSG00000074054	CLASP1	121340152,121342941,121342943,121343453,121345697,121346605,121348140,121350597,121352234,121352340,121352342,121353785,121355121,121356073,121356681,121356683,121358398,121358589,121361832,121362793,121363573,121364197,121364227,121364881,121370702,121372533,121374746,121376825,121378783,121379635,121382645,121382647,121383274,121386475,121389436,121389500,121389502,121393911,121394493,121395475,121395940,121396541,121396951,121400142,121401899,121403542,121404029,121404329,121404820,121406390,121407826,121408010,121414119,121414641,121414764,121415605,121416796,121417533,121418462,121419632,121427504,121429306,121429388,121430346,121435592,121436831,121436956,121438131,121440343,121441819,121443941,121444090,121444833,121448019,121449475,121452191,121453161,121453448,121454621,121455568,121455950,121457312,121457314,121459104,121461229,121463707,121464311,121466628,121466840,121467587,121469148,121469332,121473629,121474993,121477598,121479217,121479296,121479298,121483988,121484463,121484503,121488458,121491548,121496307,121496543,121501736,121502346,121504483,121506607,121508219,121508805,121511456,121513690,121515180,121516470,121516897,121516899,121517050,121520015,121521521,121522008,121522895,121523122,121523965,121528517,121528625,121528627,121528982,121533574,121535147,121535428,121538280,121540111,121541339,121542052,121543823,121544533,121546016,121547486,121549200,121552562,121552882,121552884,121553106,121554950,121556814,121556897,121560339,121560709,121565313,121565433,121565764,121568072,121570548,121573788,121577274,121577808,121578290,121578596,121580758,121580791,121583324,121586674,121586812,121591221,121592184,121593877,121595336,121595338,121595498,121597799,121599456,121600241,121604894,121609050,121613575,121613608,121613919,121614142,121618085,121625281,121627003,121632498,121632712,121633177,121634622,121637754,121639912,121641598,121642843,121644826,121646341
ENST00000409197	1	171748411	171750158	ENSG00000077380	DYNC1I2	171691298,171691787,171693848,171694790,171695822,171698371,171698999,171704722,171704724,171706600,171706602,171707080,171707095,171708197,171709862,171710407,171710409,171712573,171712575,171714764,171720382,171725249,171729072,171729770,171731609,171731611,171737987,171739016,171742317,171743577,171746119,171746179,171747955,171748053
ENST00000340296	1	171748411	171750158	ENSG00000077380	DYNC1I2	171691298,171691787,171693848,171694790,171695822,171698371,171698999,171704722,171704724,171706600,171706602,171707080,171707095,171708197,171709862,171710407,171710409,171712573,171712575,171714764,171720382,171725249,171729072,171729770,171731609,171731611,171737987,171739016,171742317,171743577,171746119,171746179,171747955,171748053
ENST00000517730	1	17960103;17960315;17962034;17963101;17964568;17965999;17966328;17966980;17969577;17972329;17980591;17983233;17985447;17985959;17989859;17991542;17993483;18006263;18009547;18010609;18011237;18011667;18013964;18014584;18025361;18025544;18027637	17960165;17960444;17962174;17963291;17964768;17966218;17966473;17967170;17969748;17972687;17980755;17983289;17985619;17986087;17989979;17991700;17993619;18006397;18009744;18010668;18011366;18011827;18014036;18014840;18025453;18025658;18029948	ENSG00000078674	PCM1	17924864,17925301,17926973,17928168,17929735,17935334,17935951,17937585,17939543,17940860,17943043,17945732,17947562,17952091,17966074,17966878,17970199,17975711,17977283,17977839,17981616,17983270,17983272,17983694,17991178,17991945,17992202,17993965,17999949,18002540,18003009,18003209,18003513,18011586,18013238,18015108,18020994,18023850,18027097,18029400,18029503,18029505
ENST00000392811	1	151238780	151238973	ENSG00000082014	SMARCD3	151239271,151240574,151242907,151244314,151248259,151250867,151253451,151254270,151255520,151255598,151255660,151255876,151257002,151257759,151258433,151259754,151261514,151261964,151266856,151267231,151272236,151273127,151274677,151277434
ENST00000370479	1	70561170	70561174	ENSG00000082269	FAM135A	70418048,70422666,70425740,70428730,70438844,70446407,70446863,70449323,70450075,70452560,70452562,70453461,70453880,70463156,70464811,70465122,70470282,70471663,70472785,70475198,70476226,70476380,70477295,70484309,70484631,70486177,70487264,70496103,70502499,70502501,70503368,70503370,70504221,70511453,70518936,70520644,70522344,70534464,70538106,70538108,70538710,70540818,70545348,70545350,70545876,70559309,70561097
