gene_id	gene_name
ENSG00000156475	PPP2R2B
ENSG00000067057	PFKP
ENSG00000176840	MIR7-3HG
ENSG00000109881	CCDC34
ENSG00000130520	LSM4
ENSG00000062822	POLD1
ENSG00000143933	CALM2
ENSG00000149485	FADS1
ENSG00000163808	KIF15
ENSG00000177103	DSCAML1
ENSG00000182973	CNOT10
ENSG00000188486	H2AX
ENSG00000188338	SLC38A3
ENSG00000085662	AKR1B1
ENSG00000130203	APOE
ENSG00000144857	BOC
ENSG00000145920	CPLX2
ENSG00000133119	RFC3
ENSG00000140859	KIFC3
ENSG00000065150	IPO5
ENSG00000079215	SLC1A3
ENSG00000132646	PCNA
ENSG00000145087	STXBP5L
ENSG00000198056	PRIM1
ENSG00000140939	NOL3
ENSG00000166582	CENPV
ENSG00000112186	CAP2
ENSG00000104973	MED25
ENSG00000108018	SORCS1
ENSG00000114739	ACVR2B
ENSG00000117632	STMN1
ENSG00000163507	CIP2A
ENSG00000079819	EPB41L2
ENSG00000162063	CCNF
ENSG00000164294	GPX8
ENSG00000175792	RUVBL1
ENSG00000133401	PDZD2
ENSG00000168268	NT5DC2
ENSG00000134294	SLC38A2
ENSG00000148948	LRRC4C
ENSG00000121621	KIF18A
ENSG00000183044	ABAT
ENSG00000114999	TTL
ENSG00000151725	CENPU
ENSG00000224905	NA
ENSG00000137804	NUSAP1
ENSG00000099284	MACROH2A2
ENSG00000152061	RABGAP1L
ENSG00000136531	SCN2A
ENSG00000107105	ELAVL2
ENSG00000183826	BTBD9
ENSG00000214140	PRCD
ENSG00000214140	NA
ENSG00000069849	ATP1B3
ENSG00000110987	BCL7A
ENSG00000166833	NAV2
ENSG00000166833	NA
ENSG00000269416	LINC01224
ENSG00000152455	SUV39H2
ENSG00000198795	ZNF521
ENSG00000162849	KIF26B
ENSG00000104738	NA
ENSG00000104738	MCM4
ENSG00000164104	HMGB2
